ticker,tradedate,open,high,low,close,value,volume,boardid
RBCM,2014-06-09 00:00:00,4.489,4.545,4.42,4.427,2085239.1,467200,TQBR
RBCM,2014-06-10 00:00:00,4.428,4.428,4.39,4.4,447796.2,101700,TQBR
RBCM,2014-06-11 00:00:00,4.442,4.539,4.35,4.386,979266.1,222300,TQBR
RBCM,2014-06-16 00:00:00,4.376,4.75,4.282,4.52,4117480.5,903500,TQBR
RBCM,2014-06-17 00:00:00,4.301,4.877,4.301,4.74,4765830.2,1005000,TQBR
RBCM,2014-06-18 00:00:00,4.788,4.847,4.734,4.8,1463852.6,304800,TQBR
RBCM,2014-06-19 00:00:00,4.839,4.85,4.612,4.685,665380.8,139500,TQBR
RBCM,2014-06-20 00:00:00,4.699,4.7,4.499,4.568,2135032.8,466500,TQBR
RBCM,2014-06-23 00:00:00,4.61,5.21,4.61,4.656,1897010.1,392100,TQBR
RBCM,2014-06-24 00:00:00,4.654,4.755,4.615,4.7,1369020.8,292700,TQBR
RBCM,2014-06-25 00:00:00,4.673,4.694,4.641,4.655,235078.8,50400,TQBR
RBCM,2014-06-26 00:00:00,4.672,4.693,4.622,4.64,224119.5,48100,TQBR
RBCM,2014-06-27 00:00:00,4.623,4.623,4.38,4.51,3820496.7,859300,TQBR
RBCM,2014-06-30 00:00:00,4.502,4.565,4.47,4.521,703965.5,155500,TQBR
RBCM,2014-07-01 00:00:00,4.503,4.54,4.488,4.5,371715.9,82600,TQBR
RBCM,2014-07-02 00:00:00,4.5,4.52,4.485,4.504,128465.6,28500,TQBR
RBCM,2014-07-03 00:00:00,4.503,4.689,4.503,4.53,996089.8,217300,TQBR
RBCM,2014-07-04 00:00:00,4.55,4.575,4.452,4.5,286426.4,63600,TQBR
RBCM,2014-07-07 00:00:00,4.486,4.55,4.448,4.546,1977526.8,440100,TQBR
RBCM,2014-07-08 00:00:00,4.567,4.633,4.53,4.53,629928.1,137700,TQBR
RBCM,2014-07-09 00:00:00,4.57,4.599,4.474,4.506,170072.9,37700,TQBR
RBCM,2014-07-10 00:00:00,4.498,4.51,4.39,4.419,406953.0,91400,TQBR
RBCM,2014-07-11 00:00:00,4.399,4.449,4.392,4.42,915536.2,207600,TQBR
RBCM,2014-07-14 00:00:00,4.434,4.606,4.434,4.455,859907.0,191100,TQBR
RBCM,2014-07-15 00:00:00,4.47,4.5,4.42,4.45,483778.2,108500,TQBR
RBCM,2014-07-16 00:00:00,4.424,4.45,4.389,4.45,1044694.5,236600,TQBR
RBCM,2014-07-17 00:00:00,4.404,4.423,4.198,4.395,1839570.2,428800,TQBR
RBCM,2014-07-18 00:00:00,4.301,4.355,4.25,4.329,1080199.3,251000,TQBR
RBCM,2014-07-21 00:00:00,4.319,4.328,4.0,4.05,1825725.8,447900,TQBR
RBCM,2014-07-22 00:00:00,4.08,4.188,4.075,4.168,376840.0,91500,TQBR
RBCM,2014-07-23 00:00:00,4.18,4.323,4.168,4.2,324847.8,76900,TQBR
RBCM,2014-07-24 00:00:00,4.166,4.198,4.132,4.16,86983.0,20900,TQBR
RBCM,2014-07-25 00:00:00,4.15,4.16,4.114,4.114,96119.7,23200,TQBR
RBCM,2014-07-28 00:00:00,4.106,4.106,3.999,4.014,333715.0,83300,TQBR
RBCM,2014-07-29 00:00:00,4.03,4.05,4.0,4.019,1523697.3,379300,TQBR
RBCM,2014-07-30 00:00:00,4.001,4.07,3.999,4.027,1227008.0,306000,TQBR
RBCM,2014-07-31 00:00:00,4.037,4.1,4.024,4.06,374652.5,92600,TQBR
RBCM,2014-08-01 00:00:00,4.051,4.148,4.041,4.074,961628.6,235000,TQBR
RBCM,2014-08-04 00:00:00,4.109,4.142,4.081,4.081,187880.9,45500,TQBR
RBCM,2014-08-05 00:00:00,4.095,4.095,4.011,4.03,118391.1,29300,TQBR
RBCM,2014-08-06 00:00:00,3.963,4.039,3.941,3.998,870951.9,218900,TQBR
RBCM,2014-08-07 00:00:00,3.995,4.04,3.951,4.04,527881.0,132400,TQBR
RBCM,2014-08-08 00:00:00,4.041,4.15,4.004,4.15,1048228.2,258200,TQBR
RBCM,2014-08-11 00:00:00,4.15,4.325,4.142,4.2,3264920.7,779900,TQBR
RBCM,2014-08-12 00:00:00,4.202,4.326,3.78,4.25,3204751.9999999995,776700,TQBR
RBCM,2014-08-13 00:00:00,4.25,4.405,4.21,4.368,1997251.1,462000,TQBR
RBCM,2014-08-14 00:00:00,4.4,4.476,4.337,4.398,1132157.1999999995,257400,TQBR
RBCM,2014-08-15 00:00:00,4.399,4.5,4.331,4.333,561084.6,128100,TQBR
RBCM,2014-08-18 00:00:00,4.35,4.42,4.114,4.42,4365726.4,1038300,TQBR
