ticker,tradedate,open,high,low,close,value,volume,boardid
RTGZ,2014-07-02 00:00:00,11221,11221,11221,11221,11221.0,1,TQBR
RTGZ,2014-07-04 00:00:00,11230,11230,11200,11200,123287.0,11,TQBR
RTGZ,2014-08-05 00:00:00,12501,12501,12500,12500,137501.0,11,TQBR
RTGZ,2014-08-28 00:00:00,13989,13989,13989,13989,13989.0,1,TQBR
RTGZ,2014-08-29 00:00:00,13200,13200,13200,13200,250800.0,19,TQBR
RTGZ,2014-09-01 00:00:00,13200,13300,13200,13300,26500.0,2,TQBR
RTGZ,2014-09-04 00:00:00,12500,12500,12500,12500,12500.0,1,TQBR
RTGZ,2014-09-08 00:00:00,12500,12500,12500,12500,12500.0,1,TQBR
RTGZ,2014-09-26 00:00:00,12500,12500,12500,12500,125000.0,10,TQBR
RTGZ,2014-10-01 00:00:00,12500,12500,12500,12500,12500.0,1,TQBR
RTGZ,2014-11-05 00:00:00,12500,12500,12500,12500,25000.0,2,TQBR
RTGZ,2014-11-10 00:00:00,13750,13800,13750,13800,68900.0,5,TQBR
RTGZ,2014-11-11 00:00:00,13000,13650,12500,12500,155300.0,12,TQBR
RTGZ,2014-11-13 00:00:00,13000,13600,13000,13600,66750.0,5,TQBR
RTGZ,2014-12-04 00:00:00,10650,13600,10650,13600,50850.0,4,TQBR
RTGZ,2014-12-05 00:00:00,11250,13000,11250,13000,37250.0,3,TQBR
RTGZ,2014-12-08 00:00:00,11300,12900,11300,12900,24200.0,2,TQBR
RTGZ,2014-12-11 00:00:00,11400,11500,11400,11500,34350.0,3,TQBR
RTGZ,2014-12-12 00:00:00,12500,12500,12500,12500,12500.0,1,TQBR
RTGZ,2014-12-22 00:00:00,9400,11400,8850,9950,227100.0,24,TQBR
RTGZ,2014-12-23 00:00:00,8000,9500,7000,8100,299300.0,38,TQBR
RTGZ,2014-12-24 00:00:00,6050,8900,5000,8900,174700.0,26,TQBR
RTGZ,2014-12-30 00:00:00,11000,11000,11000,11000,11000.0,1,TQBR
