ticker,tradedate,open,high,low,close,value,volume,boardid
RTKMP,2003-10-01 00:00:00,35.63,37.39,35.56,36.99,12801591.61,346303,TQBR
RTKMP,2003-10-02 00:00:00,37.02,38.25,36.82,37.78,40469043.09,1078042,TQBR
RTKMP,2003-10-03 00:00:00,35.9,38.76,35.9,36.65,17191297.3,454271,TQBR
RTKMP,2003-10-06 00:00:00,36.21,37.0,36.0,36.57,7996820.94,219649,TQBR
RTKMP,2003-10-07 00:00:00,36.65,37.09,36.08,36.6,8659884.34,235169,TQBR
RTKMP,2003-10-08 00:00:00,36.51,38.5,35.61,38.5,31395021.64,838857,TQBR
RTKMP,2003-10-09 00:00:00,38.89,40.44,38.4,40.01,31673116.75,799463,TQBR
RTKMP,2003-10-10 00:00:00,39.65,40.0,39.1,39.39,12630966.07,318973,TQBR
RTKMP,2003-10-13 00:00:00,39.39,39.9,39.02,39.7,18908103.26,478311,TQBR
RTKMP,2003-10-14 00:00:00,39.6,40.5,39.5,39.94,29241076.39,728983,TQBR
RTKMP,2003-10-15 00:00:00,39.61,40.24,39.5,40.1,30170711.04,756692,TQBR
RTKMP,2003-10-16 00:00:00,39.6,41.9,39.6,41.9,58689339.48,1427331,TQBR
RTKMP,2003-10-17 00:00:00,42.13,44.2,41.95,43.95,66227711.91,1531584,TQBR
RTKMP,2003-10-20 00:00:00,43.55,45.99,43.22,43.94,71018190.64,1583623,TQBR
RTKMP,2003-10-21 00:00:00,44.39,44.4,33.33,41.31,42231138.45,999340,TQBR
RTKMP,2003-10-22 00:00:00,41.2,41.4,39.91,40.35,9056832.88,223271,TQBR
RTKMP,2003-10-23 00:00:00,39.91,41.1,39.5,40.9,8929241.96,220276,TQBR
RTKMP,2003-10-24 00:00:00,41.1,41.86,40.6,41.79,9073876.03,219658,TQBR
RTKMP,2003-10-27 00:00:00,38.4,38.4,35.01,37.4,44790705.52,1217732,TQBR
RTKMP,2003-10-28 00:00:00,37.98,38.46,37.1,37.83,28210118.43,741604,TQBR
RTKMP,2003-10-29 00:00:00,38.0,38.19,37.0,38.06,24466748.97,651901,TQBR
RTKMP,2003-10-30 00:00:00,38.0,38.29,35.0,35.0,38287076.44,1049221,TQBR
RTKMP,2003-10-31 00:00:00,36.0,36.99,35.21,36.35,23813121.68,656923,TQBR
RTKMP,2003-11-03 00:00:00,36.75,39.0,36.75,39.0,38474272.47,1019782,TQBR
RTKMP,2003-11-04 00:00:00,39.6,39.88,37.88,38.29,22233402.04,575860,TQBR
RTKMP,2003-11-05 00:00:00,38.2,38.59,37.11,37.72,6396404.14,169248,TQBR
RTKMP,2003-11-06 00:00:00,37.99,38.1,37.1,37.47,10574563.01,282630,TQBR
RTKMP,2003-11-10 00:00:00,37.87,38.27,37.41,38.0,37208421.03,981471,TQBR
RTKMP,2003-11-11 00:00:00,37.9,38.17,35.82,36.7,36929572.46,1002216,TQBR
RTKMP,2003-11-12 00:00:00,36.9,37.5,34.8,35.51,20521408.4,573340,TQBR
RTKMP,2003-11-13 00:00:00,35.98,36.5,35.61,35.9,11377749.12,314947,TQBR
RTKMP,2003-11-14 00:00:00,36.0,36.2,35.7,35.97,12995300.15,361075,TQBR
RTKMP,2003-11-17 00:00:00,35.84,35.84,34.7,34.82,14686127.96,419560,TQBR
RTKMP,2003-11-18 00:00:00,34.87,35.0,33.63,33.85,18017730.59,528315,TQBR
RTKMP,2003-11-19 00:00:00,33.73,34.2,33.01,33.93,23223771.83,689777,TQBR
RTKMP,2003-11-20 00:00:00,34.2,35.4,34.0,35.4,22983992.23,660609,TQBR
RTKMP,2003-11-21 00:00:00,35.28,35.8,34.85,35.41,14637702.84,412019,TQBR
RTKMP,2003-11-24 00:00:00,35.8,35.8,34.81,35.76,16032266.29,452253,TQBR
RTKMP,2003-11-25 00:00:00,35.71,37.24,35.11,37.24,26957879.32,745302,TQBR
RTKMP,2003-11-26 00:00:00,36.56,37.5,36.56,37.17,13789012.86,371798,TQBR
RTKMP,2003-11-27 00:00:00,37.37,37.46,36.42,36.96,11075492.44,301473,TQBR
RTKMP,2003-11-28 00:00:00,37.0,37.8,36.5,37.05,29453274.6,793474,TQBR
RTKMP,2003-12-01 00:00:00,36.73,37.69,36.52,37.45,10064032.19,270739,TQBR
RTKMP,2003-12-02 00:00:00,37.8,38.85,37.71,38.85,16227050.58,424458,TQBR
RTKMP,2003-12-03 00:00:00,38.85,39.22,38.17,39.05,23534680.88,605315,TQBR
