ticker,tradedate,open,high,low,close,value,volume,boardid
RTSB,2014-06-24 00:00:00,0.29005,0.3,0.29005,0.3,26403.0,90000,TQBR
RTSB,2014-06-25 00:00:00,0.31995,0.41,0.3,0.34,1534706.9,4280000,TQBR
RTSB,2014-06-26 00:00:00,0.4,0.45,0.4,0.45,123610.0,280000,TQBR
RTSB,2014-07-01 00:00:00,0.3,0.38999,0.3,0.32001,13600.0,40000,TQBR
RTSB,2014-07-14 00:00:00,0.332,0.34,0.332,0.34,10120.0,30000,TQBR
RTSB,2014-07-16 00:00:00,0.33201,0.33201,0.33201,0.33201,36521.1,110000,TQBR
RTSB,2014-07-17 00:00:00,0.332,0.332,0.332,0.332,6640.0,20000,TQBR
RTSB,2014-07-22 00:00:00,0.3879,0.38791,0.3879,0.38791,7758.1,20000,TQBR
RTSB,2014-07-30 00:00:00,0.33,0.33,0.33,0.33,3300.0,10000,TQBR
RTSB,2014-08-04 00:00:00,0.34001,0.34001,0.34001,0.34001,3400.1,10000,TQBR
RTSB,2014-08-14 00:00:00,0.33,0.33,0.33,0.33,3300.0,10000,TQBR
RTSB,2014-08-15 00:00:00,0.33,0.33,0.33,0.33,198000.0,600000,TQBR
RTSB,2014-08-25 00:00:00,0.35,0.35,0.35,0.35,3500.0,10000,TQBR
RTSB,2014-08-28 00:00:00,0.27,0.30001,0.262,0.3,38140.5,140000,TQBR
RTSB,2014-08-29 00:00:00,0.314,0.314,0.314,0.314,6280.0,20000,TQBR
RTSB,2014-09-01 00:00:00,0.30001,0.30002,0.30001,0.30002,36002.3,120000,TQBR
RTSB,2014-09-02 00:00:00,0.34591,0.346,0.34591,0.346,10378.6,30000,TQBR
RTSB,2014-09-04 00:00:00,0.38,0.398,0.35084,0.35084,232642.0,640000,TQBR
RTSB,2014-09-08 00:00:00,0.32999,0.33002,0.32999,0.33,118800.4,360000,TQBR
RTSB,2014-09-10 00:00:00,0.39999,0.39999,0.39999,0.39999,3999.9,10000,TQBR
RTSB,2014-09-16 00:00:00,0.34001,0.34001,0.34001,0.34001,3400.1,10000,TQBR
RTSB,2014-09-17 00:00:00,0.34001,0.34019,0.34001,0.34019,112260.8,330000,TQBR
RTSB,2014-09-19 00:00:00,0.39997,0.39997,0.39997,0.39997,3999.7,10000,TQBR
RTSB,2014-09-24 00:00:00,0.32513,0.35231,0.32511,0.33901,13415.6,40000,TQBR
RTSB,2014-10-17 00:00:00,0.316,0.316,0.316,0.316,6320.0,20000,TQBR
RTSB,2014-10-28 00:00:00,0.33,0.332,0.316,0.33,336210.0,1020000,TQBR
RTSB,2014-10-30 00:00:00,0.33,0.331,0.33,0.33,293810.0,890000,TQBR
RTSB,2014-11-03 00:00:00,0.325,0.325,0.26,0.26,5850.0,20000,TQBR
RTSB,2014-11-12 00:00:00,0.32,0.32,0.32,0.32,32000.0,100000,TQBR
RTSB,2014-11-13 00:00:00,0.335,0.335,0.335,0.335,3350.0,10000,TQBR
RTSB,2014-11-17 00:00:00,0.32,0.32,0.32,0.32,22400.0,70000,TQBR
RTSB,2014-11-21 00:00:00,0.335,0.335,0.335,0.335,3350.0,10000,TQBR
RTSB,2014-11-25 00:00:00,0.35,0.35,0.35,0.35,73500.0,210000,TQBR
RTSB,2014-11-26 00:00:00,0.379,0.379,0.314,0.314,51350.0,150000,TQBR
RTSB,2014-12-01 00:00:00,0.32,0.32,0.32,0.32,3200.0,10000,TQBR
RTSB,2014-12-04 00:00:00,0.331,0.331,0.331,0.331,33100.0,100000,TQBR
RTSB,2014-12-08 00:00:00,0.377,0.39,0.33,0.33,21460.0,60000,TQBR
RTSB,2014-12-12 00:00:00,0.361,0.37,0.361,0.37,70210.0,190000,TQBR
RTSB,2014-12-15 00:00:00,0.262,0.262,0.262,0.262,2620.0,10000,TQBR
RTSB,2014-12-16 00:00:00,0.34,0.34,0.259,0.299,11630.0,40000,TQBR
RTSB,2014-12-18 00:00:00,0.32,0.418,0.301,0.326,672240.0,1780000,TQBR
RTSB,2014-12-19 00:00:00,0.339,0.42,0.33,0.33,323800.0,790000,TQBR
RTSB,2014-12-26 00:00:00,0.331,0.331,0.331,0.331,3310.0,10000,TQBR
RTSB,2014-12-30 00:00:00,0.33,0.419,0.33,0.419,7490.0,20000,TQBR
RTSB,2015-01-13 00:00:00,0.333,0.37,0.333,0.37,14270.0,40000,TQBR
RTSB,2015-01-15 00:00:00,0.301,0.301,0.3,0.3,6010.0,20000,TQBR
RTSB,2015-01-20 00:00:00,0.349,0.349,0.349,0.349,6980.0,20000,TQBR
RTSB,2015-01-21 00:00:00,0.34,0.34,0.34,0.34,3400.0,10000,TQBR
RTSB,2015-01-22 00:00:00,0.326,0.34,0.326,0.34,6660.0,20000,TQBR
