ticker,tradedate,open,high,low,close,value,volume,boardid
RTSBP,2014-06-09 00:00:00,0.2,0.2,0.191,0.2,23909.7,120000,TQBR
RTSBP,2014-06-10 00:00:00,0.19003,0.2,0.19003,0.2,15900.2,80000,TQBR
RTSBP,2014-06-11 00:00:00,0.1979,0.2,0.1979,0.2,39978.0,200000,TQBR
RTSBP,2014-06-16 00:00:00,0.20199,0.20199,0.19788,0.19788,3998.7,20000,TQBR
RTSBP,2014-06-18 00:00:00,0.2,0.2,0.19801,0.19801,61930.2,310000,TQBR
RTSBP,2014-06-19 00:00:00,0.19801,0.20151,0.19,0.19,159226.8,810000,TQBR
RTSBP,2014-06-20 00:00:00,0.19018,0.19018,0.19,0.19,28513.2,150000,TQBR
RTSBP,2014-06-23 00:00:00,0.19973,0.19973,0.19,0.19,7794.9,40000,TQBR
RTSBP,2014-06-24 00:00:00,0.19001,0.21,0.19001,0.2,209173.0,1030000,TQBR
RTSBP,2014-06-25 00:00:00,0.20298,0.22,0.2,0.219,269427.2,1310000,TQBR
RTSBP,2014-06-26 00:00:00,0.21995,0.22,0.215,0.215,19549.5,90000,TQBR
RTSBP,2014-06-27 00:00:00,0.215,0.215,0.215,0.215,4300.0,20000,TQBR
RTSBP,2014-06-30 00:00:00,0.214,0.215,0.21,0.215,94329.7,440000,TQBR
RTSBP,2014-07-01 00:00:00,0.21497,0.22688,0.20002,0.215,121544.5,560000,TQBR
RTSBP,2014-07-02 00:00:00,0.21998,0.22,0.20717,0.22,34812.9,160000,TQBR
RTSBP,2014-07-03 00:00:00,0.21207,0.221,0.21207,0.2121,61591.7,280000,TQBR
RTSBP,2014-07-04 00:00:00,0.22099,0.224,0.215,0.222,84570.6,380000,TQBR
RTSBP,2014-07-07 00:00:00,0.21154,0.21502,0.21154,0.21501,45083.2,210000,TQBR
RTSBP,2014-07-08 00:00:00,0.215,0.22442,0.21105,0.22442,133504.7,620000,TQBR
RTSBP,2014-07-09 00:00:00,0.21606,0.22442,0.21606,0.22442,69222.8,320000,TQBR
RTSBP,2014-07-10 00:00:00,0.21699,0.22446,0.21699,0.22446,80364.3,370000,TQBR
RTSBP,2014-07-15 00:00:00,0.219,0.219,0.20504,0.21498,48534.0,230000,TQBR
RTSBP,2014-07-16 00:00:00,0.22399,0.22399,0.216,0.216,28159.9,130000,TQBR
RTSBP,2014-07-17 00:00:00,0.22,0.22,0.21555,0.21555,4355.5,20000,TQBR
RTSBP,2014-07-18 00:00:00,0.21503,0.21503,0.20999,0.20999,51203.5,240000,TQBR
RTSBP,2014-07-23 00:00:00,0.20106,0.20106,0.20105,0.20105,124651.2,620000,TQBR
RTSBP,2014-07-25 00:00:00,0.21947,0.22,0.209,0.209,160268.9,730000,TQBR
RTSBP,2014-07-28 00:00:00,0.209,0.22397,0.209,0.22397,95138.7,450000,TQBR
RTSBP,2014-07-29 00:00:00,0.215,0.215,0.215,0.215,2150.0,10000,TQBR
RTSBP,2014-07-31 00:00:00,0.22389,0.2239,0.22389,0.2239,4477.9,20000,TQBR
RTSBP,2014-08-01 00:00:00,0.213,0.213,0.213,0.213,115020.0,540000,TQBR
RTSBP,2014-08-07 00:00:00,0.2012,0.21999,0.2,0.215,168631.0,800000,TQBR
RTSBP,2014-08-11 00:00:00,0.2239,0.22498,0.2145,0.2145,44277.6,200000,TQBR
RTSBP,2014-08-12 00:00:00,0.215,0.22001,0.215,0.2155,80705.5,370000,TQBR
RTSBP,2014-08-13 00:00:00,0.22,0.22,0.21502,0.21701,124354.0,570000,TQBR
RTSBP,2014-08-15 00:00:00,0.2033,0.211,0.2033,0.211,14308.0,70000,TQBR
RTSBP,2014-08-18 00:00:00,0.20201,0.22299,0.19104,0.22299,28096.9,140000,TQBR
RTSBP,2014-08-21 00:00:00,0.20201,0.22402,0.202,0.22402,20450.5,100000,TQBR
RTSBP,2014-08-27 00:00:00,0.22497,0.22497,0.215,0.22488,13318.1,60000,TQBR
RTSBP,2014-08-28 00:00:00,0.2001,0.2248,0.2001,0.2248,22383.1,110000,TQBR
RTSBP,2014-09-01 00:00:00,0.22222,0.22486,0.22222,0.22485,20210.9,90000,TQBR
RTSBP,2014-09-02 00:00:00,0.22,0.22878,0.22,0.22878,101232.9,450000,TQBR
RTSBP,2014-09-03 00:00:00,0.22421,0.22842,0.22421,0.22842,4526.3,20000,TQBR
RTSBP,2014-09-04 00:00:00,0.22878,0.22878,0.22878,0.22878,13726.8,60000,TQBR
RTSBP,2014-09-05 00:00:00,0.22798,0.22997,0.22798,0.22997,47897.8,210000,TQBR
RTSBP,2014-09-08 00:00:00,0.235,0.235,0.22406,0.22601,170976.4,750000,TQBR
RTSBP,2014-09-10 00:00:00,0.23,0.2499,0.23,0.2499,49751.7,210000,TQBR
RTSBP,2014-09-11 00:00:00,0.24,0.24101,0.24,0.241,33640.1,140000,TQBR
RTSBP,2014-09-17 00:00:00,0.201,0.201,0.2,0.2,22020.7,110000,TQBR
RTSBP,2014-09-19 00:00:00,0.22,0.22,0.20001,0.20001,22202.2,110000,TQBR
RTSBP,2014-09-22 00:00:00,0.22,0.22,0.22,0.22,8800.0,40000,TQBR
RTSBP,2014-09-23 00:00:00,0.229,0.2398,0.229,0.2398,9356.2,40000,TQBR
RTSBP,2014-09-26 00:00:00,0.23495,0.23495,0.23495,0.23495,2349.5,10000,TQBR
RTSBP,2014-10-02 00:00:00,0.205,0.23,0.205,0.218,127160.0,560000,TQBR
RTSBP,2014-10-03 00:00:00,0.235,0.239,0.235,0.239,35780.0,150000,TQBR
RTSBP,2014-10-09 00:00:00,0.237,0.237,0.237,0.237,2370.0,10000,TQBR
RTSBP,2014-10-10 00:00:00,0.236,0.239,0.22,0.22,70150.0,310000,TQBR
RTSBP,2014-10-13 00:00:00,0.234,0.243,0.234,0.243,96850.0,410000,TQBR
RTSBP,2014-10-21 00:00:00,0.22,0.22,0.22,0.22,2200.0,10000,TQBR
RTSBP,2014-10-24 00:00:00,0.24,0.24,0.22,0.22,13500.0,60000,TQBR
RTSBP,2014-10-28 00:00:00,0.22,0.224,0.22,0.224,22040.0,100000,TQBR
RTSBP,2014-10-29 00:00:00,0.22,0.232,0.219,0.232,57510.0,260000,TQBR
RTSBP,2014-10-30 00:00:00,0.239,0.24,0.235,0.235,208730.0,870000,TQBR
RTSBP,2014-10-31 00:00:00,0.23,0.23,0.23,0.23,6900.0,30000,TQBR
RTSBP,2014-11-03 00:00:00,0.221,0.224,0.22,0.224,6650.0,30000,TQBR
RTSBP,2014-11-05 00:00:00,0.225,0.227,0.224,0.227,9010.0,40000,TQBR
RTSBP,2014-11-06 00:00:00,0.224,0.239,0.2,0.216,1066410.0,5260000,TQBR
RTSBP,2014-11-11 00:00:00,0.208,0.208,0.207,0.207,4150.0,20000,TQBR
RTSBP,2014-11-13 00:00:00,0.209,0.209,0.209,0.209,4180.0,20000,TQBR
RTSBP,2014-11-19 00:00:00,0.208,0.208,0.208,0.208,6240.0,30000,TQBR
RTSBP,2014-11-20 00:00:00,0.205,0.205,0.205,0.205,2050.0,10000,TQBR
RTSBP,2014-11-28 00:00:00,0.205,0.235,0.205,0.235,16780.0,80000,TQBR
RTSBP,2014-12-02 00:00:00,0.207,0.207,0.207,0.207,2070.0,10000,TQBR
RTSBP,2014-12-03 00:00:00,0.21,0.217,0.207,0.217,29560.0,140000,TQBR
RTSBP,2014-12-04 00:00:00,0.215,0.215,0.21,0.21,12690.0,60000,TQBR
RTSBP,2014-12-05 00:00:00,0.229,0.229,0.21,0.21,115990.0,550000,TQBR
RTSBP,2014-12-08 00:00:00,0.22,0.229,0.207,0.229,276150.0,1230000,TQBR
RTSBP,2014-12-09 00:00:00,0.226,0.226,0.226,0.226,2260.0,10000,TQBR
RTSBP,2014-12-10 00:00:00,0.22,0.22,0.22,0.22,28600.0,130000,TQBR
RTSBP,2014-12-11 00:00:00,0.22,0.22,0.208,0.208,104050.0,480000,TQBR
RTSBP,2014-12-12 00:00:00,0.222,0.225,0.21,0.21,13260.0,60000,TQBR
RTSBP,2014-12-15 00:00:00,0.209,0.209,0.142,0.171,310860.0,1550000,TQBR
RTSBP,2014-12-16 00:00:00,0.176,0.177,0.146,0.151,44860.0,270000,TQBR
RTSBP,2014-12-17 00:00:00,0.175,0.184,0.167,0.184,39460.0,230000,TQBR
RTSBP,2014-12-18 00:00:00,0.198,0.2,0.183,0.183,11780.0,60000,TQBR
RTSBP,2014-12-23 00:00:00,0.184,0.199,0.184,0.199,3830.0,20000,TQBR
RTSBP,2014-12-24 00:00:00,0.209,0.209,0.185,0.19,5840.0,30000,TQBR
RTSBP,2014-12-25 00:00:00,0.208,0.208,0.191,0.192,35790.0,180000,TQBR
RTSBP,2014-12-26 00:00:00,0.205,0.205,0.194,0.204,18090.0,90000,TQBR
RTSBP,2014-12-29 00:00:00,0.192,0.226,0.191,0.226,61310.0,290000,TQBR
RTSBP,2014-12-30 00:00:00,0.204,0.204,0.202,0.202,12170.0,60000,TQBR
RTSBP,2015-01-08 00:00:00,0.205,0.205,0.205,0.205,10250.0,50000,TQBR
RTSBP,2015-01-09 00:00:00,0.214,0.215,0.214,0.215,21490.0,100000,TQBR
RTSBP,2015-01-15 00:00:00,0.215,0.226,0.215,0.226,33620.0,150000,TQBR
RTSBP,2015-01-16 00:00:00,0.224,0.225,0.224,0.225,6740.0,30000,TQBR
RTSBP,2015-01-19 00:00:00,0.196,0.202,0.19,0.19,235660.0,1230000,TQBR
RTSBP,2015-01-20 00:00:00,0.19,0.19,0.19,0.19,1900.0,10000,TQBR
RTSBP,2015-01-21 00:00:00,0.208,0.215,0.19,0.19,27850.0,140000,TQBR
RTSBP,2015-01-22 00:00:00,0.191,0.191,0.188,0.188,62620.0,330000,TQBR
RTSBP,2015-01-23 00:00:00,0.19,0.19,0.189,0.19,89100.0,470000,TQBR
RTSBP,2015-01-29 00:00:00,0.188,0.188,0.186,0.186,82220.0,440000,TQBR
RTSBP,2015-01-30 00:00:00,0.186,0.19,0.18,0.18,179050.0,980000,TQBR
RTSBP,2015-02-02 00:00:00,0.19,0.19,0.177,0.177,7220.0,40000,TQBR
RTSBP,2015-02-03 00:00:00,0.178,0.196,0.177,0.177,48010.0,270000,TQBR
RTSBP,2015-02-04 00:00:00,0.176,0.177,0.174,0.174,29690.0,170000,TQBR
RTSBP,2015-02-05 00:00:00,0.174,0.188,0.169,0.185,252180.0,1470000,TQBR
RTSBP,2015-02-06 00:00:00,0.179,0.187,0.17,0.17,93770.0,540000,TQBR
RTSBP,2015-02-09 00:00:00,0.18,0.18,0.179,0.179,7190.0,40000,TQBR
RTSBP,2015-02-10 00:00:00,0.177,0.177,0.169,0.176,21060.0,120000,TQBR
RTSBP,2015-02-11 00:00:00,0.178,0.178,0.17,0.17,180680.0,1060000,TQBR
