ticker,tradedate,open,high,low,close,value,volume,boardid
RUSI,2014-06-09 00:00:00,36.63,36.63,36.63,36.63,43956.0,1200,TQBR
RUSI,2014-06-10 00:00:00,36.7,36.7,36.62,36.62,51324.0,1400,TQBR
RUSI,2014-06-11 00:00:00,36.65,36.65,36.65,36.65,36650.0,1000,TQBR
RUSI,2014-06-16 00:00:00,36.86,36.86,36.86,36.86,47918.0,1300,TQBR
RUSI,2014-06-17 00:00:00,36.86,36.86,36.86,36.86,66348.0,1800,TQBR
RUSI,2014-06-18 00:00:00,36.79,36.79,36.79,36.79,66222.0,1800,TQBR
RUSI,2014-06-19 00:00:00,36.85,36.85,36.85,36.85,36850.0,1000,TQBR
RUSI,2014-06-20 00:00:00,36.89,36.89,36.89,36.89,81158.0,2200,TQBR
RUSI,2014-06-23 00:00:00,36.92,36.92,36.92,36.92,81224.0,2200,TQBR
RUSI,2014-06-24 00:00:00,36.97,36.97,36.97,36.97,81334.0,2200,TQBR
RUSI,2014-06-25 00:00:00,37.0,37.0,37.0,37.0,85100.0,2300,TQBR
RUSI,2014-06-26 00:00:00,36.9,36.9,36.9,36.9,73800.0,2000,TQBR
RUSI,2014-06-27 00:00:00,37.1,37.1,37.1,37.1,66780.0,1800,TQBR
RUSI,2014-06-30 00:00:00,37.2,37.2,37.2,37.2,44640.0,1200,TQBR
RUSI,2014-07-01 00:00:00,37.33,37.33,37.33,37.33,33597.0,900,TQBR
RUSI,2014-07-02 00:00:00,37.46,37.46,37.46,37.46,26222.0,700,TQBR
RUSI,2014-07-03 00:00:00,37.98,37.98,37.98,37.98,26586.0,700,TQBR
RUSI,2014-07-04 00:00:00,37.87,37.87,37.87,37.87,30296.0,800,TQBR
RUSI,2014-07-07 00:00:00,37.81,37.81,37.81,37.81,18905.0,500,TQBR
RUSI,2014-07-08 00:00:00,38.06,38.06,38.06,38.06,22836.0,600,TQBR
RUSI,2014-07-09 00:00:00,38.0,38.0,38.0,38.0,15200.0,400,TQBR
