ticker,tradedate,open,high,low,close,value,volume,boardid
RZSB,2014-06-10 00:00:00,1.9,1.9,1.9,1.9,1900.0,1000,TQBR
RZSB,2014-06-19 00:00:00,1.764,1.764,1.764,1.764,1764.0,1000,TQBR
RZSB,2014-07-07 00:00:00,1.58,1.763,1.58,1.763,29787.0,17000,TQBR
RZSB,2014-07-08 00:00:00,1.763,1.79,1.6,1.646,58717.0,35000,TQBR
RZSB,2014-07-10 00:00:00,1.71,1.71,1.71,1.71,1710.0,1000,TQBR
RZSB,2014-07-15 00:00:00,1.71,1.71,1.71,1.71,1710.0,1000,TQBR
RZSB,2014-07-18 00:00:00,1.699,1.7,1.699,1.7,13595.0,8000,TQBR
RZSB,2014-07-23 00:00:00,1.608,1.7,1.565,1.6,27669.0,17000,TQBR
RZSB,2014-07-25 00:00:00,1.719,1.72,1.719,1.72,12039.0,7000,TQBR
RZSB,2014-07-28 00:00:00,1.908,1.908,1.908,1.908,5724.0,3000,TQBR
RZSB,2014-07-29 00:00:00,1.7,1.7,1.7,1.7,17000.0,10000,TQBR
RZSB,2014-07-31 00:00:00,1.602,1.602,1.602,1.602,1602.0,1000,TQBR
RZSB,2014-08-06 00:00:00,1.6,1.6,1.6,1.6,16000.0,10000,TQBR
RZSB,2014-08-08 00:00:00,1.564,1.564,1.563,1.563,40652.0,26000,TQBR
RZSB,2014-08-11 00:00:00,1.55,1.68,1.55,1.68,47800.0,29000,TQBR
RZSB,2014-08-14 00:00:00,1.55,1.555,1.5,1.5,23111.0,15000,TQBR
RZSB,2014-08-15 00:00:00,1.55,1.55,1.55,1.55,1550.0,1000,TQBR
RZSB,2014-08-22 00:00:00,1.6,1.6,1.6,1.6,1600.0,1000,TQBR
RZSB,2014-09-01 00:00:00,1.649,1.649,1.649,1.649,1649.0,1000,TQBR
RZSB,2014-09-08 00:00:00,1.502,1.502,1.5,1.5,18008.0,12000,TQBR
RZSB,2014-09-09 00:00:00,1.599,1.599,1.599,1.599,14391.0,9000,TQBR
RZSB,2014-09-12 00:00:00,1.599,1.599,1.599,1.599,1599.0,1000,TQBR
RZSB,2014-09-18 00:00:00,1.502,1.55,1.5,1.55,22603.0,15000,TQBR
RZSB,2014-09-19 00:00:00,1.597,1.597,1.597,1.597,1597.0,1000,TQBR
RZSB,2014-10-06 00:00:00,1.5,1.5,1.5,1.5,1500.0,1000,TQBR
RZSB,2014-10-10 00:00:00,1.45,1.45,1.4,1.4,16860.0,12000,TQBR
RZSB,2014-10-13 00:00:00,1.39,1.39,1.36,1.36,5520.0,4000,TQBR
RZSB,2014-10-16 00:00:00,1.26,1.35,1.26,1.35,2041350.0,1601000,TQBR
RZSB,2014-10-27 00:00:00,1.31,1.31,1.31,1.31,1310.0,1000,TQBR
RZSB,2014-10-29 00:00:00,1.54,1.55,1.54,1.55,7740.0,5000,TQBR
RZSB,2014-11-05 00:00:00,1.55,1.55,1.55,1.55,9300.0,6000,TQBR
RZSB,2014-11-12 00:00:00,1.5,1.58,1.5,1.58,3080.0,2000,TQBR
RZSB,2014-11-13 00:00:00,1.59,1.59,1.59,1.59,1590.0,1000,TQBR
RZSB,2014-11-18 00:00:00,1.41,1.41,1.4,1.4,14010.0,10000,TQBR
RZSB,2014-11-19 00:00:00,1.58,1.58,1.57,1.58,25270.0,16000,TQBR
RZSB,2014-11-24 00:00:00,1.41,1.6,1.4,1.6,4410.0,3000,TQBR
RZSB,2014-11-25 00:00:00,1.47,1.58,1.45,1.58,10380.0,7000,TQBR
RZSB,2014-11-26 00:00:00,1.63,1.65,1.63,1.65,29660.0,18000,TQBR
RZSB,2014-11-27 00:00:00,1.5,1.68,1.5,1.68,51950.0,32000,TQBR
RZSB,2014-12-08 00:00:00,1.51,1.51,1.5,1.5,16510.0,11000,TQBR
RZSB,2014-12-10 00:00:00,1.4,1.4,1.4,1.4,14000.0,10000,TQBR
RZSB,2014-12-12 00:00:00,1.31,1.44,1.3,1.44,4050.0,3000,TQBR
RZSB,2014-12-15 00:00:00,1.41,1.42,1.41,1.42,11330.0,8000,TQBR
RZSB,2014-12-16 00:00:00,1.22,1.4,1.1,1.4,24350.0,20000,TQBR
RZSB,2014-12-17 00:00:00,1.35,1.39,1.35,1.39,28610.0,21000,TQBR
RZSB,2014-12-18 00:00:00,1.39,1.4,1.39,1.4,16730.0,12000,TQBR
RZSB,2014-12-22 00:00:00,1.35,1.35,1.35,1.35,4050.0,3000,TQBR
RZSB,2014-12-24 00:00:00,1.35,1.35,1.3,1.3,10700.0,8000,TQBR
RZSB,2014-12-25 00:00:00,1.36,1.5,1.36,1.5,39960.0,28000,TQBR
RZSB,2014-12-26 00:00:00,1.35,1.35,1.3,1.3,30390.0,23000,TQBR
