ticker,tradedate,open,high,low,close,value,volume,boardid
SAGOP,2003-07-21 00:00:00,0.7,0.7,0.673,0.684,109316.0,161100,TQBR
SAGOP,2003-07-22 00:00:00,0.7,0.709,0.677,0.677,20448.7,29100,TQBR
SAGOP,2003-07-24 00:00:00,0.687,0.687,0.687,0.687,480.9,700,TQBR
SAGOP,2003-07-28 00:00:00,0.7,0.71,0.7,0.71,225484.4,320800,TQBR
SAGOP,2003-07-29 00:00:00,0.739,0.75,0.705,0.72,1147720.5,1580500,TQBR
SAGOP,2003-07-30 00:00:00,0.705,0.75,0.705,0.732,45333.2,62400,TQBR
SAGOP,2003-07-31 00:00:00,0.72,0.74,0.72,0.74,1200.5,1637,TQBR
SAGOP,2003-08-01 00:00:00,0.721,0.73,0.72,0.729,641227.0,889763,TQBR
SAGOP,2003-08-05 00:00:00,0.75,0.76,0.74,0.75,1003835.5,1324537,TQBR
SAGOP,2003-08-06 00:00:00,0.76,0.76,0.76,0.76,152000.0,200000,TQBR
SAGOP,2003-08-07 00:00:00,0.76,0.76,0.752,0.752,110216.0,145500,TQBR
SAGOP,2003-08-08 00:00:00,0.737,0.746,0.737,0.746,30226.0,41000,TQBR
SAGOP,2003-08-11 00:00:00,0.764,0.765,0.764,0.765,23913.4,31300,TQBR
SAGOP,2003-08-12 00:00:00,0.76,0.76,0.76,0.76,15124.0,19900,TQBR
SAGOP,2003-08-13 00:00:00,0.76,0.76,0.76,0.76,250876.0,330100,TQBR
SAGOP,2003-08-14 00:00:00,0.75,0.76,0.75,0.76,10540.0,14000,TQBR
SAGOP,2003-08-15 00:00:00,0.751,0.8,0.751,0.8,899840.1,1142500,TQBR
SAGOP,2003-08-18 00:00:00,0.755,0.8,0.755,0.8,147965.0,193000,TQBR
SAGOP,2003-08-19 00:00:00,0.8,0.8,0.8,0.8,320000.0,400000,TQBR
SAGOP,2003-08-20 00:00:00,0.8,0.8,0.752,0.787,309923.1,399900,TQBR
SAGOP,2003-08-21 00:00:00,0.79,0.79,0.765,0.79,5524.5,7000,TQBR
SAGOP,2003-08-22 00:00:00,0.793,0.8,0.793,0.799,551602.1,690000,TQBR
SAGOP,2003-08-25 00:00:00,0.799,0.799,0.799,0.799,43945.0,55000,TQBR
SAGOP,2003-08-26 00:00:00,0.8,0.8,0.757,0.79,36554.7,46900,TQBR
SAGOP,2003-08-27 00:00:00,0.795,0.795,0.775,0.795,106084.9,134200,TQBR
SAGOP,2003-08-29 00:00:00,0.8,0.8,0.8,0.8,1760.0,2200,TQBR
SAGOP,2003-09-01 00:00:00,0.795,0.82,0.795,0.82,1167853.5,1448800,TQBR
