ticker,tradedate,open,high,low,close,value,volume,boardid
SIBN,2003-07-10 00:00:00,75.68,75.68,72.0,73.8,29036838.0,396000,TQBR
SIBN,2003-07-11 00:00:00,72.85,73.35,69.52,71.2,33913177.0,472900,TQBR
SIBN,2003-07-14 00:00:00,71.2,73.49,70.41,73.0,11025628.0,153100,TQBR
SIBN,2003-07-15 00:00:00,77.74,77.74,50.0,72.5,13575563.0,187900,TQBR
SIBN,2003-07-16 00:00:00,74.0,74.0,65.01,65.01,15924460.0,233800,TQBR
SIBN,2003-07-17 00:00:00,65.1,66.0,60.2,60.55,19049760.0,306500,TQBR
SIBN,2003-07-18 00:00:00,60.88,65.0,60.0,62.55,24531322.0,383300,TQBR
SIBN,2003-07-21 00:00:00,64.98,65.0,63.01,64.5,5445529.0,84800,TQBR
SIBN,2003-07-22 00:00:00,65.0,67.5,64.12,67.0,11834563.0,178400,TQBR
SIBN,2003-07-23 00:00:00,66.8,66.8,65.0,65.1,11151460.0,170400,TQBR
SIBN,2003-07-24 00:00:00,65.2,68.91,65.2,68.78,12213608.0,180400,TQBR
SIBN,2003-07-25 00:00:00,68.5,75.0,68.21,73.15,62135825.0,858400,TQBR
SIBN,2003-07-28 00:00:00,73.5,75.98,72.6,72.93,59358923.0,802100,TQBR
SIBN,2003-07-29 00:00:00,72.95,73.5,70.5,72.45,19284726.0,269500,TQBR
SIBN,2003-07-30 00:00:00,72.4,73.48,72.1,73.19,12921636.0,176900,TQBR
SIBN,2003-07-31 00:00:00,73.6,73.6,72.78,73.1,22377527.0,305800,TQBR
SIBN,2003-08-01 00:00:00,70.85,70.85,64.8,64.9,117791292.0,1782400,TQBR
SIBN,2003-08-04 00:00:00,65.05,66.99,65.05,65.75,20742548.0,313500,TQBR
SIBN,2003-08-05 00:00:00,65.99,67.9,65.81,67.69,35894598.0,534200,TQBR
SIBN,2003-08-06 00:00:00,67.69,71.05,64.05,70.59,69338564.0,1013400,TQBR
SIBN,2003-08-07 00:00:00,70.0,72.0,69.9,70.55,34321995.0,481500,TQBR
SIBN,2003-08-08 00:00:00,70.1,72.0,69.22,72.0,15209416.0,213100,TQBR
SIBN,2003-08-11 00:00:00,71.95,73.55,71.9,73.44,26852013.0,367500,TQBR
SIBN,2003-08-12 00:00:00,73.7,74.6,72.76,74.6,16540607.0,224700,TQBR
SIBN,2003-08-13 00:00:00,75.01,77.15,75.01,76.8,57379717.0,749800,TQBR
SIBN,2003-08-14 00:00:00,77.0,77.4,73.8,76.32,26890814.0,355200,TQBR
SIBN,2003-08-15 00:00:00,76.6,78.72,76.05,78.24,23957233.0,307900,TQBR
SIBN,2003-08-18 00:00:00,78.19,81.5,78.0,80.85,39696423.0,495400,TQBR
SIBN,2003-08-19 00:00:00,81.49,82.49,79.0,80.31,45424176.0,561100,TQBR
SIBN,2003-08-20 00:00:00,80.5,80.5,77.0,78.0,20037668.0,256300,TQBR
SIBN,2003-08-21 00:00:00,78.0,80.6,78.0,79.8,11691546.0,147800,TQBR
SIBN,2003-08-22 00:00:00,80.45,81.84,78.01,81.05,29454041.0,366500,TQBR
SIBN,2003-08-25 00:00:00,81.06,82.05,80.06,81.4,16563129.0,203100,TQBR
SIBN,2003-08-26 00:00:00,81.4,81.84,80.11,80.35,16143645.0,199900,TQBR
SIBN,2003-08-27 00:00:00,80.5,81.77,79.07,80.0,23740847.0,294900,TQBR
SIBN,2003-08-28 00:00:00,80.4,81.3,79.01,80.3,9213413.0,114600,TQBR
SIBN,2003-08-29 00:00:00,80.8,82.2,80.5,82.1,37981742.0,463600,TQBR
SIBN,2003-09-01 00:00:00,82.0,85.91,82.0,85.12,27203944.0,321500,TQBR
SIBN,2003-09-02 00:00:00,85.01,87.0,84.75,86.11,19377484.0,226100,TQBR
SIBN,2003-09-03 00:00:00,86.3,86.7,82.0,83.0,28386498.0,336700,TQBR
SIBN,2003-09-04 00:00:00,83.89,85.3,82.0,85.1,24129569.0,288400,TQBR
SIBN,2003-09-05 00:00:00,85.1,87.5,84.8,85.6,26271421.0,305400,TQBR
SIBN,2003-09-08 00:00:00,85.2,85.4,83.52,84.2,8691159.0,103200,TQBR
SIBN,2003-09-09 00:00:00,84.2,84.79,83.6,83.61,13995588.0,166500,TQBR
SIBN,2003-09-10 00:00:00,84.12,87.4,82.6,87.19,16306007.0,193100,TQBR
SIBN,2003-09-11 00:00:00,86.25,88.5,84.5,84.99,36695810.0,420500,TQBR
SIBN,2003-09-12 00:00:00,85.0,85.5,84.01,84.69,16419972.0,193800,TQBR
SIBN,2003-09-15 00:00:00,84.98,86.8,84.98,86.8,18437339.0,213800,TQBR
SIBN,2003-09-16 00:00:00,87.5,87.5,85.7,87.0,8317244.0,96100,TQBR
SIBN,2003-09-17 00:00:00,87.1,87.33,84.9,85.01,7742072.0,90300,TQBR
SIBN,2003-09-18 00:00:00,85.04,85.68,84.55,85.1,3795079.0,44700,TQBR
SIBN,2003-09-19 00:00:00,85.58,85.58,83.25,84.05,17258140.0,204240,TQBR
SIBN,2003-09-22 00:00:00,83.61,84.95,83.0,83.9,2356868.0,28100,TQBR
SIBN,2003-09-23 00:00:00,84.0,87.25,84.0,86.99,11662350.0,135400,TQBR
SIBN,2003-09-24 00:00:00,86.55,88.45,86.55,88.0,19003166.0,215900,TQBR
SIBN,2003-09-25 00:00:00,88.0,88.3,87.51,88.0,8472201.0,96300,TQBR
SIBN,2003-09-26 00:00:00,87.5,89.8,87.06,87.85,14629236.0,165100,TQBR
SIBN,2003-09-29 00:00:00,88.35,89.25,84.02,89.05,21654983.0,244000,TQBR
SIBN,2003-09-30 00:00:00,89.11,92.4,89.11,90.7,57927853.0,637300,TQBR
SIBN,2003-10-01 00:00:00,88.99,93.99,88.5,92.5,30996296.0,338000,TQBR
SIBN,2003-10-02 00:00:00,93.2,99.1,93.2,99.0,45372086.0,474000,TQBR
SIBN,2003-10-03 00:00:00,101.98,105.0,95.5,97.5,85762255.0,858220,TQBR
SIBN,2003-10-06 00:00:00,99.0,99.0,94.5,96.4,26257828.0,272600,TQBR
SIBN,2003-10-07 00:00:00,96.4,97.93,96.0,96.53,14257356.0,147400,TQBR
SIBN,2003-10-08 00:00:00,97.75,99.0,93.71,98.35,25193735.0,259300,TQBR
SIBN,2003-10-09 00:00:00,98.4,100.0,94.75,95.1,36049797.0,371500,TQBR
SIBN,2003-10-10 00:00:00,95.5,96.68,93.7,94.2,18948764.0,199700,TQBR
SIBN,2003-10-13 00:00:00,94.2,95.5,93.56,94.5,13786833.0,146400,TQBR
SIBN,2003-10-14 00:00:00,94.5,97.43,94.5,94.7,29223211.0,303100,TQBR
SIBN,2003-10-15 00:00:00,95.5,96.5,94.01,95.0,5480468.0,57500,TQBR
SIBN,2003-10-16 00:00:00,95.48,96.75,94.51,96.6,15304574.0,159800,TQBR
SIBN,2003-10-17 00:00:00,96.99,97.55,95.65,96.98,10751975.0,110800,TQBR
SIBN,2003-10-20 00:00:00,97.97,97.97,95.62,95.62,13393177.0,139300,TQBR
SIBN,2003-10-21 00:00:00,95.9,95.9,90.5,91.93,32933639.0,354200,TQBR
SIBN,2003-10-22 00:00:00,91.02,91.02,85.0,85.5,22694742.0,261700,TQBR
SIBN,2003-10-23 00:00:00,84.01,86.0,84.0,85.1,16889217.0,198600,TQBR
SIBN,2003-10-24 00:00:00,85.89,87.49,85.89,86.6,3480269.0,40100,TQBR
SIBN,2003-10-27 00:00:00,79.51,79.51,66.55,75.55,48086528.0,662600,TQBR
SIBN,2003-10-28 00:00:00,75.9,79.98,73.2,75.7,48214081.0,630500,TQBR
SIBN,2003-10-29 00:00:00,74.98,74.98,68.31,71.35,48086575.0,676500,TQBR
SIBN,2003-10-30 00:00:00,71.4,71.6,61.0,61.99,31262792.0,473500,TQBR
SIBN,2003-10-31 00:00:00,60.75,65.8,60.75,65.39,46913593.0,738900,TQBR
SIBN,2003-11-03 00:00:00,65.99,74.47,65.05,74.47,50992233.0,738100,TQBR
SIBN,2003-11-04 00:00:00,74.47,79.86,71.6,74.16,31735209.0,428000,TQBR
SIBN,2003-11-05 00:00:00,73.5,75.0,69.05,70.68,27482330.0,383600,TQBR
SIBN,2003-11-06 00:00:00,72.0,72.0,69.01,70.14,15776019.0,224600,TQBR
SIBN,2003-11-10 00:00:00,70.43,70.43,69.1,69.7,7671198.0,109800,TQBR
SIBN,2003-11-11 00:00:00,69.5,69.79,67.01,68.67,14157256.0,207300,TQBR
SIBN,2003-11-12 00:00:00,67.6,68.78,65.0,68.0,9983709.0,148900,TQBR
SIBN,2003-11-13 00:00:00,67.8,70.0,67.8,70.0,13458805.0,194800,TQBR
SIBN,2003-11-14 00:00:00,70.0,70.5,69.28,69.28,7404675.0,106000,TQBR
SIBN,2003-11-17 00:00:00,69.0,69.01,65.7,65.7,8164703.0,121300,TQBR
SIBN,2003-11-18 00:00:00,66.06,66.97,61.0,61.08,24134578.0,383700,TQBR
SIBN,2003-11-19 00:00:00,60.51,60.51,56.02,59.4,20822543.0,354200,TQBR
SIBN,2003-11-20 00:00:00,59.98,63.4,58.7,62.99,10932617.0,179700,TQBR
SIBN,2003-11-21 00:00:00,63.25,65.49,62.26,65.01,21314645.0,332800,TQBR
SIBN,2003-11-24 00:00:00,66.45,70.71,64.03,69.3,33904189.0,496500,TQBR
SIBN,2003-11-25 00:00:00,69.3,70.69,67.36,69.5,24391360.0,354700,TQBR
SIBN,2003-11-26 00:00:00,70.38,72.8,68.75,71.32,14770714.0,209200,TQBR
SIBN,2003-11-27 00:00:00,71.0,72.4,70.0,72.0,5255047.0,73900,TQBR
