ticker,tradedate,open,high,low,close,value,volume,boardid
SMLT,2020-10-29 00:00:00,969.0,1053.0,908.0,953.0,201748750.0,210997,TQBR
SMLT,2020-10-30 00:00:00,955.0,990.0,951.6,955.0,52488207.2,54402,TQBR
SMLT,2020-11-02 00:00:00,955.0,958.0,952.0,957.0,15857360.4,16599,TQBR
SMLT,2020-11-03 00:00:00,959.6,959.6,952.0,952.6,8569232.6,8985,TQBR
SMLT,2020-11-05 00:00:00,959.0,959.0,944.8,952.8,14773301.6,15505,TQBR
SMLT,2020-11-06 00:00:00,958.2,958.2,950.6,952.0,9228375.4,9682,TQBR
SMLT,2020-11-09 00:00:00,952.0,954.2,940.6,942.0,14100818.0,14891,TQBR
SMLT,2020-11-10 00:00:00,940.2,951.0,935.0,950.0,11997319.0,12696,TQBR
SMLT,2020-11-11 00:00:00,950.8,950.8,940.2,948.0,9441366.0,9998,TQBR
SMLT,2020-11-12 00:00:00,950.0,950.6,941.0,947.0,3596689.4,3810,TQBR
SMLT,2020-11-13 00:00:00,947.0,950.0,941.0,947.0,5926348.4,6267,TQBR
SMLT,2020-11-16 00:00:00,949.8,951.0,941.2,948.4,12077021.4,12746,TQBR
SMLT,2020-11-17 00:00:00,942.0,950.8,941.2,947.6,4739125.0,5005,TQBR
SMLT,2020-11-18 00:00:00,948.0,948.0,940.0,947.0,9839649.4,10422,TQBR
SMLT,2020-11-19 00:00:00,949.6,949.6,942.8,946.2,3487561.0,3687,TQBR
SMLT,2020-11-20 00:00:00,946.2,949.6,942.2,943.2,3680091.4,3896,TQBR
SMLT,2020-11-23 00:00:00,949.4,949.6,941.2,946.2,8424947.0,8916,TQBR
SMLT,2020-11-24 00:00:00,942.4,948.0,941.2,947.8,5182374.8,5497,TQBR
SMLT,2020-11-25 00:00:00,949.0,950.0,941.2,949.0,13448767.4,14179,TQBR
SMLT,2020-11-26 00:00:00,948.2,949.6,941.2,945.0,6289686.0,6659,TQBR
SMLT,2020-11-27 00:00:00,948.8,948.8,941.8,946.8,7219531.0,7648,TQBR
SMLT,2020-11-30 00:00:00,948.4,948.4,942.2,944.0,2211574.0,2344,TQBR
SMLT,2020-12-01 00:00:00,942.0,948.4,940.0,945.0,5325458.4,5640,TQBR
SMLT,2020-12-02 00:00:00,941.4,946.6,941.2,946.0,6746587.4,7150,TQBR
SMLT,2020-12-03 00:00:00,942.2,946.0,941.2,942.6,6343554.6,6730,TQBR
SMLT,2020-12-04 00:00:00,941.2,944.0,941.0,943.8,6401970.0,6791,TQBR
SMLT,2020-12-07 00:00:00,941.6,944.4,933.0,935.6,16093114.2,17152,TQBR
SMLT,2020-12-08 00:00:00,942.0,942.0,930.0,935.0,5329383.6,5705,TQBR
SMLT,2020-12-09 00:00:00,940.0,946.0,931.0,940.8,6090387.2,6474,TQBR
SMLT,2020-12-10 00:00:00,945.0,945.0,935.0,939.0,7424360.8,7900,TQBR
SMLT,2020-12-11 00:00:00,939.0,943.8,932.0,936.0,2159689.6,2306,TQBR
SMLT,2020-12-14 00:00:00,940.0,959.4,934.8,952.2,21225385.8,22428,TQBR
SMLT,2020-12-15 00:00:00,952.0,970.0,932.0,967.0,17530557.2,18436,TQBR
SMLT,2020-12-16 00:00:00,967.0,967.0,955.6,959.8,17573321.6,18274,TQBR
SMLT,2020-12-17 00:00:00,963.0,963.0,952.2,954.0,8650160.4,9040,TQBR
SMLT,2020-12-18 00:00:00,957.6,957.6,935.0,955.0,11238688.4,11896,TQBR
SMLT,2020-12-21 00:00:00,945.6,953.0,939.0,944.4,18080729.4,19114,TQBR
SMLT,2020-12-22 00:00:00,941.0,955.0,936.0,950.2,8054303.2,8513,TQBR
