ticker,tradedate,open,high,low,close,value,volume,boardid
SNGSP,2014-06-09 00:00:00,27.5,27.59,27.313,27.48,348435218.3,12674200,TQBR
SNGSP,2014-06-10 00:00:00,27.394,27.58,27.311,27.55,385641688.8,14035900,TQBR
SNGSP,2014-06-11 00:00:00,27.472,28.15,27.444,28.15,760214606.6,27208800,TQBR
SNGSP,2014-06-16 00:00:00,28.3,28.3,27.87,28.27,1913160272.0,68059900,TQBR
SNGSP,2014-06-17 00:00:00,28.986,28.986,28.2,28.2,629284373.3,22101600,TQBR
SNGSP,2014-06-18 00:00:00,28.2,29.1,28.2,29.1,1091428151.6,37906800,TQBR
SNGSP,2014-06-19 00:00:00,29.475,29.475,28.364,28.411,854800596.8,29664000,TQBR
SNGSP,2014-06-20 00:00:00,28.551,28.551,27.859,27.859,595141043.9,21161600,TQBR
SNGSP,2014-06-23 00:00:00,28.001,28.489,27.998,28.25,568601512.8,20111600,TQBR
SNGSP,2014-06-24 00:00:00,26.994,28.979,26.994,28.75,808779571.4,28189100,TQBR
SNGSP,2014-06-25 00:00:00,28.502,29.099,28.126,28.16,523318201.4,18307800,TQBR
SNGSP,2014-06-26 00:00:00,28.381,28.59,27.962,28.185,554222690.1,19616400,TQBR
SNGSP,2014-06-27 00:00:00,28.499,28.499,28.044,28.255,403099191.7,14263700,TQBR
SNGSP,2014-06-30 00:00:00,27.983,28.283,27.472,28.0,641438598.2,23086700,TQBR
SNGSP,2014-07-01 00:00:00,27.965,28.08,27.611,27.811,427140771.6,15362300,TQBR
SNGSP,2014-07-02 00:00:00,27.875,28.22,27.824,28.19,603425536.4,21503300,TQBR
SNGSP,2014-07-03 00:00:00,28.2,28.493,28.14,28.28,451561848.5,15931500,TQBR
SNGSP,2014-07-04 00:00:00,28.272,28.384,27.712,27.786,459197428.9,16341700,TQBR
SNGSP,2014-07-07 00:00:00,28.555,28.555,27.8,28.0,681185782.0,24238300,TQBR
SNGSP,2014-07-08 00:00:00,28.074,28.42,28.0,28.223,729250485.7,25781900,TQBR
SNGSP,2014-07-09 00:00:00,28.25,28.667,28.065,28.62,750676172.8,26436500,TQBR
