ticker,tradedate,open,high,low,close,value,volume,boardid
STSBP,2014-06-11 00:00:00,0.0988,0.0988,0.0923,0.0949,72898.0,783000,TQBR
STSBP,2014-06-16 00:00:00,0.092,0.092,0.0913,0.0913,53327.9,582000,TQBR
STSBP,2014-06-17 00:00:00,0.095,0.095,0.095,0.095,475.0,5000,TQBR
STSBP,2014-06-18 00:00:00,0.092,0.092,0.092,0.092,123924.0,1347000,TQBR
STSBP,2014-06-19 00:00:00,0.0921,0.0921,0.092,0.092,184.1,2000,TQBR
STSBP,2014-06-23 00:00:00,0.0903,0.0933,0.09,0.0933,30488.2,338000,TQBR
STSBP,2014-06-24 00:00:00,0.0941,0.0941,0.0902,0.0929,17606.1,192000,TQBR
STSBP,2014-06-25 00:00:00,0.0911,0.0931,0.0908,0.0931,1377.2,15000,TQBR
STSBP,2014-06-26 00:00:00,0.0945,0.0949,0.0945,0.0949,142774.7,1508000,TQBR
STSBP,2014-06-27 00:00:00,0.0932,0.0943,0.093,0.0943,186097.8,2001000,TQBR
STSBP,2014-07-01 00:00:00,0.0931,0.0931,0.0929,0.0929,279.0,3000,TQBR
STSBP,2014-07-03 00:00:00,0.0948,0.0949,0.0948,0.0949,1992.7,21000,TQBR
STSBP,2014-07-04 00:00:00,0.0934,0.0948,0.0934,0.0934,17833.6,190000,TQBR
STSBP,2014-07-07 00:00:00,0.0993,0.0993,0.0939,0.0939,569.5,6000,TQBR
STSBP,2014-07-08 00:00:00,0.0943,0.0949,0.0943,0.0949,946.0,10000,TQBR
STSBP,2014-07-09 00:00:00,0.0949,0.0949,0.0949,0.0949,3511.3,37000,TQBR
STSBP,2014-07-10 00:00:00,0.0951,0.0951,0.0899,0.0913,140202.9,1537000,TQBR
STSBP,2014-07-11 00:00:00,0.0982,0.0982,0.0911,0.0931,62341.2,671000,TQBR
STSBP,2014-07-16 00:00:00,0.0929,0.0929,0.0929,0.0929,278.7,3000,TQBR
STSBP,2014-07-17 00:00:00,0.0901,0.0926,0.09,0.0916,6044.5,67000,TQBR
STSBP,2014-07-18 00:00:00,0.0988,0.0988,0.0923,0.0957,10370.2,108000,TQBR
STSBP,2014-07-21 00:00:00,0.092,0.0942,0.0901,0.0942,19341.6,208000,TQBR
STSBP,2014-07-22 00:00:00,0.0934,0.0959,0.0931,0.095,108801.1,1148000,TQBR
STSBP,2014-07-23 00:00:00,0.0946,0.0946,0.0945,0.0945,6048.1,64000,TQBR
STSBP,2014-07-24 00:00:00,0.0941,0.0949,0.0936,0.0936,9488.6,101000,TQBR
STSBP,2014-07-25 00:00:00,0.0942,0.0946,0.093,0.0946,28217.5,302000,TQBR
STSBP,2014-07-28 00:00:00,0.092,0.0939,0.0902,0.0935,6899.9,75000,TQBR
STSBP,2014-07-30 00:00:00,0.0937,0.094,0.093,0.093,98804.8,1057000,TQBR
STSBP,2014-07-31 00:00:00,0.0943,0.0943,0.0932,0.0932,187.5,2000,TQBR
STSBP,2014-08-05 00:00:00,0.0939,0.0939,0.0931,0.0931,280.9,3000,TQBR
STSBP,2014-08-06 00:00:00,0.0931,0.095,0.0931,0.095,23927.3,252000,TQBR
STSBP,2014-08-08 00:00:00,0.0906,0.0906,0.0906,0.0906,90.6,1000,TQBR
STSBP,2014-08-11 00:00:00,0.0933,0.0937,0.0933,0.0936,3183.5,34000,TQBR
STSBP,2014-08-12 00:00:00,0.093,0.093,0.0927,0.0927,371.4,4000,TQBR
STSBP,2014-08-13 00:00:00,0.0927,0.0933,0.0927,0.0933,372.4,4000,TQBR
STSBP,2014-08-14 00:00:00,0.094,0.0942,0.0939,0.0939,30252.0,322000,TQBR
STSBP,2014-08-15 00:00:00,0.0957,0.099,0.093,0.0977,266256.19999999995,2753000,TQBR
STSBP,2014-08-18 00:00:00,0.0986,0.0999,0.0958,0.0958,16749.5,168000,TQBR
STSBP,2014-08-19 00:00:00,0.0996,0.0996,0.0973,0.0973,294.5,3000,TQBR
STSBP,2014-08-21 00:00:00,0.099,0.0997,0.0975,0.0997,198825.9,1995000,TQBR
STSBP,2014-08-22 00:00:00,0.099,0.0997,0.099,0.0995,298.2,3000,TQBR
STSBP,2014-08-27 00:00:00,0.099,0.099,0.0966,0.099,1263.0,13000,TQBR
STSBP,2014-08-28 00:00:00,0.0998,0.0998,0.0942,0.0959,294799.5,3100000,TQBR
STSBP,2014-08-29 00:00:00,0.0902,0.1075,0.09,0.1048,92946.2,986000,TQBR
STSBP,2014-09-01 00:00:00,0.0946,0.0978,0.0946,0.0978,384.2,4000,TQBR
STSBP,2014-09-03 00:00:00,0.0998,0.0998,0.0975,0.0975,197.3,2000,TQBR
STSBP,2014-09-05 00:00:00,0.0987,0.0987,0.0978,0.0978,6217.2,63000,TQBR
STSBP,2014-09-08 00:00:00,0.0911,0.0976,0.091,0.0966,1292.7,14000,TQBR
STSBP,2014-09-10 00:00:00,0.0966,0.0977,0.0954,0.096,3556.8,37000,TQBR
STSBP,2014-09-11 00:00:00,0.0954,0.0962,0.0954,0.0962,191.6,2000,TQBR
STSBP,2014-09-15 00:00:00,0.1023,0.1023,0.094,0.0965,49029.9,518000,TQBR
STSBP,2014-09-16 00:00:00,0.0926,0.0967,0.0925,0.0951,14900.1,158000,TQBR
STSBP,2014-09-17 00:00:00,0.0982,0.0983,0.0978,0.0978,883.2,9000,TQBR
STSBP,2014-09-18 00:00:00,0.0934,0.095,0.0926,0.095,1780.5,19000,TQBR
STSBP,2014-09-19 00:00:00,0.0969,0.097,0.0969,0.097,290.8,3000,TQBR
STSBP,2014-09-22 00:00:00,0.0955,0.0966,0.0953,0.0966,1337.4,14000,TQBR
STSBP,2014-09-24 00:00:00,0.0964,0.0964,0.0938,0.0948,240117.4,2540000,TQBR
STSBP,2014-09-25 00:00:00,0.0984,0.0984,0.0965,0.0973,1167.9,12000,TQBR
STSBP,2014-09-26 00:00:00,0.0923,0.0952,0.0901,0.0951,372.7,4000,TQBR
STSBP,2014-09-29 00:00:00,0.0903,0.0964,0.0903,0.0964,663.1,7000,TQBR
STSBP,2014-09-30 00:00:00,0.0967,0.0968,0.0967,0.0968,774.3,8000,TQBR
STSBP,2014-10-03 00:00:00,0.0921,0.0962,0.092,0.0962,3358.6,36000,TQBR
STSBP,2014-10-06 00:00:00,0.0964,0.0964,0.0964,0.0964,964.0,10000,TQBR
STSBP,2014-10-07 00:00:00,0.0964,0.097,0.0945,0.097,37639.4,391000,TQBR
