ticker,tradedate,open,high,low,close,value,volume,boardid
SVET,2021-01-18 00:00:00,70.0,105.14,70.0,105.13,5110201.6,55470,TQBR
SVET,2021-01-19 00:00:00,114.0,147.14,114.0,147.14,45319454.5,317130,TQBR
SVET,2021-01-20 00:00:00,150.0,150.0,133.0,138.82,23994191.6,169000,TQBR
SVET,2021-01-21 00:00:00,139.0,145.0,138.82,142.25,27192099.2,191550,TQBR
SVET,2021-01-22 00:00:00,145.9,145.9,128.2,131.5,5953060.6,45080,TQBR
SVET,2021-01-25 00:00:00,131.02,136.0,131.02,132.04,2545367.4,19220,TQBR
SVET,2021-01-26 00:00:00,130.2,130.77,122.0,123.14,6523521.7,52660,TQBR
SVET,2021-01-27 00:00:00,123.0,128.0,123.0,123.7,1276583.6,10300,TQBR
SVET,2021-01-28 00:00:00,124.0,124.88,116.9,121.0,4654264.8,38670,TQBR
SVET,2021-01-29 00:00:00,121.97,122.0,117.0,118.51,2076760.6,17460,TQBR
SVET,2021-02-01 00:00:00,118.0,119.0,115.45,116.0,2869224.8,24650,TQBR
SVET,2021-02-02 00:00:00,115.5,118.0,115.0,118.0,865642.9,7370,TQBR
SVET,2021-02-03 00:00:00,118.5,119.0,116.5,117.0,1034399.3,8800,TQBR
SVET,2021-02-04 00:00:00,118.84,120.0,116.34,117.01,1550398.7,13170,TQBR
SVET,2021-02-05 00:00:00,120.2,130.0,116.95,117.33,6121701.5,50450,TQBR
SVET,2021-02-08 00:00:00,119.13,123.98,116.8,121.01,5104016.8,41980,TQBR
SVET,2021-02-09 00:00:00,124.99,124.99,120.6,120.99,3541761.3,28850,TQBR
SVET,2021-02-10 00:00:00,120.03,122.99,118.0,118.6,3658377.1,30500,TQBR
SVET,2021-02-11 00:00:00,120.07,120.88,118.61,119.6,891381.5,7440,TQBR
SVET,2021-02-12 00:00:00,120.95,120.95,117.49,119.0,2443494.3,20660,TQBR
SVET,2021-02-15 00:00:00,121.97,121.97,119.3,119.55,1177509.1,9810,TQBR
SVET,2021-02-16 00:00:00,120.97,123.97,118.0,119.12,3776694.6,31720,TQBR
SVET,2021-02-17 00:00:00,118.51,119.15,117.52,118.0,1720274.5,14560,TQBR
SVET,2021-02-18 00:00:00,118.01,119.94,118.0,118.21,1326158.0,11200,TQBR
