ticker,tradedate,open,high,low,close,value,volume,boardid
TASBP,2014-06-19 00:00:00,0.0621,0.07389,0.0621,0.069,193901.0,3080000,TQBR
TASBP,2014-06-27 00:00:00,0.063,0.0673,0.0629,0.0673,118433.0,1880000,TQBR
TASBP,2014-07-01 00:00:00,0.06181,0.06181,0.04936,0.04936,10253.5,180000,TQBR
TASBP,2014-07-02 00:00:00,0.06413,0.0721,0.06413,0.067,21339.1,310000,TQBR
TASBP,2014-07-03 00:00:00,0.06011,0.06011,0.06,0.06,9610.5,160000,TQBR
TASBP,2014-07-21 00:00:00,0.058,0.058,0.058,0.058,4060.0,70000,TQBR
TASBP,2014-07-23 00:00:00,0.0505,0.07097,0.0505,0.07097,2224.7,40000,TQBR
TASBP,2014-07-24 00:00:00,0.06,0.06,0.05999,0.06,23399.9,390000,TQBR
TASBP,2014-07-28 00:00:00,0.0715,0.0715,0.0715,0.0715,715.0,10000,TQBR
TASBP,2014-08-05 00:00:00,0.06,0.07149,0.059,0.062,8553.8,140000,TQBR
TASBP,2014-08-21 00:00:00,0.0635,0.06862,0.0635,0.06862,1956.2,30000,TQBR
TASBP,2014-08-26 00:00:00,0.054,0.057,0.054,0.05401,126508.90000000002,2320000,TQBR
TASBP,2014-09-05 00:00:00,0.05101,0.05897,0.04961,0.05797,18043.7,350000,TQBR
TASBP,2014-09-08 00:00:00,0.05168,0.05168,0.05168,0.05168,2067.2,40000,TQBR
TASBP,2014-09-15 00:00:00,0.05746,0.05746,0.05534,0.05746,39607.7,690000,TQBR
TASBP,2014-09-19 00:00:00,0.0582,0.0582,0.0582,0.0582,13386.0,230000,TQBR
TASBP,2014-09-22 00:00:00,0.05,0.0511,0.05,0.05108,5592.9,110000,TQBR
TASBP,2014-09-23 00:00:00,0.04989,0.055,0.04906,0.055,12611.2,250000,TQBR
TASBP,2014-09-26 00:00:00,0.05927,0.062,0.05927,0.062,1817.7,30000,TQBR
TASBP,2014-09-29 00:00:00,0.062,0.062,0.0597,0.0597,1217.0,20000,TQBR
TASBP,2014-10-01 00:00:00,0.0648,0.0648,0.0648,0.0648,41472.0,640000,TQBR
TASBP,2014-10-06 00:00:00,0.06,0.0645,0.06,0.0645,1845.0,30000,TQBR
TASBP,2014-10-07 00:00:00,0.0648,0.0648,0.0648,0.0648,41472.0,640000,TQBR
TASBP,2014-10-08 00:00:00,0.06,0.06,0.05,0.055,53974.0,1070000,TQBR
TASBP,2014-10-09 00:00:00,0.0549,0.0549,0.0549,0.0549,549.0,10000,TQBR
TASBP,2014-10-10 00:00:00,0.0548,0.0548,0.0548,0.0548,548.0,10000,TQBR
TASBP,2014-10-14 00:00:00,0.0547,0.0547,0.0547,0.0547,547.0,10000,TQBR
TASBP,2014-10-15 00:00:00,0.052,0.0529,0.052,0.0529,11629.0,220000,TQBR
TASBP,2014-10-21 00:00:00,0.0526,0.0526,0.0525,0.0525,5251.0,100000,TQBR
TASBP,2014-10-22 00:00:00,0.0557,0.0557,0.0557,0.0557,557.0,10000,TQBR
TASBP,2014-10-23 00:00:00,0.051,0.051,0.051,0.051,510.0,10000,TQBR
TASBP,2014-10-24 00:00:00,0.0549,0.0549,0.0549,0.0549,549.0,10000,TQBR
TASBP,2014-10-27 00:00:00,0.0506,0.0506,0.0506,0.0506,506.0,10000,TQBR
TASBP,2014-10-30 00:00:00,0.0537,0.055,0.0537,0.055,21936.0,400000,TQBR
TASBP,2014-10-31 00:00:00,0.0618,0.0644,0.0618,0.0644,7462.0,120000,TQBR
TASBP,2014-11-03 00:00:00,0.0617,0.0621,0.0617,0.0621,5569.0,90000,TQBR
