ticker,tradedate,open,high,low,close,value,volume,boardid
TATNP,2002-01-04 00:00:00,10.93,11.28,10.77,11.18,1052703.0,95000,TQBR
TATNP,2002-01-08 00:00:00,11.43,11.9,11.2,11.4,665298.0,57100,TQBR
TATNP,2002-01-09 00:00:00,11.65,11.8,10.9,11.725,13113441.0,1154300,TQBR
TATNP,2002-01-10 00:00:00,11.19,12.05,11.19,12.05,17604515.5,1514900,TQBR
TATNP,2002-01-11 00:00:00,11.8,12.7,11.75,12.45,3833470.0,316700,TQBR
TATNP,2002-01-14 00:00:00,12.99,12.99,11.66,11.66,1290813.0,108100,TQBR
TATNP,2002-01-15 00:00:00,11.4,11.98,11.21,11.98,1724475.2,149100,TQBR
TATNP,2002-01-16 00:00:00,11.95,12.3,11.5,11.9,2100922.9,178800,TQBR
TATNP,2002-01-17 00:00:00,11.55,12.45,9.0,11.95,13272197.8,1215200,TQBR
TATNP,2002-01-18 00:00:00,12.1,12.19,11.05,12.18,20884456.0,1790600,TQBR
TATNP,2002-01-21 00:00:00,11.5,12.18,11.5,12.0,435003.9,36100,TQBR
TATNP,2002-01-22 00:00:00,12.0,12.32,12.0,12.3,2035132.4,167700,TQBR
TATNP,2002-01-23 00:00:00,12.3,12.55,12.021,12.021,21610713.8,1724200,TQBR
TATNP,2002-01-24 00:00:00,12.12,12.48,11.6,11.6,2751854.9,230200,TQBR
TATNP,2002-01-25 00:00:00,11.0,12.0,9.0,11.251,22460690.4,2403200,TQBR
TATNP,2002-01-28 00:00:00,11.849,11.849,11.0,11.46,167923.9,14700,TQBR
TATNP,2002-01-29 00:00:00,11.9,15.0,11.5,11.81,25254967.0,1716300,TQBR
TATNP,2002-01-30 00:00:00,11.85,11.85,11.509,11.58,251587.5,21600,TQBR
TATNP,2002-01-31 00:00:00,11.7,11.8,11.55,11.77,223609.4,19100,TQBR
TATNP,2002-02-01 00:00:00,11.6,11.8,11.5,11.5,2716962.0,234200,TQBR
TATNP,2002-02-04 00:00:00,11.5,11.55,11.3,11.55,79500.0,6900,TQBR
TATNP,2002-02-05 00:00:00,11.5,11.5,11.4,11.45,133460.0,11700,TQBR
TATNP,2002-02-06 00:00:00,11.65,11.876,11.65,11.85,1444745.8,123100,TQBR
TATNP,2002-02-07 00:00:00,12.2,12.2,11.751,11.849,1996209.0,165000,TQBR
TATNP,2002-02-08 00:00:00,11.71,11.98,11.71,11.85,1048541.5,88300,TQBR
TATNP,2002-02-11 00:00:00,11.751,11.83,11.751,11.83,445580.2,37700,TQBR
TATNP,2002-02-12 00:00:00,12.3,12.3,11.98,12.0,2366733.8,197000,TQBR
TATNP,2002-02-13 00:00:00,12.1,12.1,11.989,12.05,773708.7,64300,TQBR
TATNP,2002-02-14 00:00:00,11.96,12.24,11.96,12.107,873357.0,72100,TQBR
TATNP,2002-02-15 00:00:00,12.1,12.9,12.1,12.42,2982969.5,237500,TQBR
TATNP,2002-02-18 00:00:00,12.35,12.785,12.35,12.55,348243.5,27700,TQBR
TATNP,2002-02-19 00:00:00,12.55,12.55,12.25,12.255,673285.2,54200,TQBR
TATNP,2002-02-20 00:00:00,12.19,12.34,12.1,12.19,663631.4,54600,TQBR
TATNP,2002-02-21 00:00:00,12.29,12.5,12.2,12.3,275043.0,22200,TQBR
TATNP,2002-02-22 00:00:00,12.49,12.56,12.4,12.4,287237.0,22900,TQBR
TATNP,2002-02-26 00:00:00,12.5,12.8,12.1,12.3,831762.0,67100,TQBR
TATNP,2002-02-27 00:00:00,12.49,12.49,12.12,12.2,673386.5,55400,TQBR
TATNP,2002-02-28 00:00:00,12.1,12.338,12.1,12.3,293642.0,24000,TQBR
TATNP,2002-03-01 00:00:00,12.449,12.85,12.2,12.85,3876642.8,308300,TQBR
TATNP,2002-03-04 00:00:00,12.99,15.999,12.82,12.82,3868023.9,288700,TQBR
TATNP,2002-03-05 00:00:00,13.099,13.099,12.5,12.95,2738233.6,215700,TQBR
TATNP,2002-03-06 00:00:00,12.999,12.999,12.71,12.8,699646.7,54800,TQBR
TATNP,2002-03-07 00:00:00,13.099,13.099,12.76,12.95,1041480.9,80600,TQBR
TATNP,2002-03-11 00:00:00,13.0,13.35,12.86,13.199,3709282.8,281600,TQBR
TATNP,2002-03-12 00:00:00,13.3,14.12,13.3,13.5,3771895.4,276600,TQBR
TATNP,2002-03-13 00:00:00,13.5,14.55,13.5,14.35,10597116.6,747100,TQBR
TATNP,2002-03-14 00:00:00,14.4,14.65,14.31,14.55,8523243.5,585900,TQBR
TATNP,2002-03-15 00:00:00,14.505,14.75,14.505,14.6,6947666.6,475600,TQBR
TATNP,2002-03-18 00:00:00,14.7,15.199,14.5,14.679,4927072.5,331800,TQBR
TATNP,2002-03-19 00:00:00,14.4,14.4,14.0,14.26,2085125.5,147200,TQBR
TATNP,2002-03-20 00:00:00,14.1,14.3,14.0,14.001,2980959.4,212200,TQBR
TATNP,2002-03-21 00:00:00,14.0,14.2,13.9,14.19,3485284.0,247500,TQBR
