ticker,tradedate,open,high,low,close,value,volume,boardid
TNSE,2015-06-17 00:00:00,1185.0,1272.5,1100.0,1245.0,10385334.5,9084,TQBR
TNSE,2015-06-18 00:00:00,1250.0,1290.0,1250.0,1271.0,1293694.0,1023,TQBR
TNSE,2015-06-19 00:00:00,1277.0,1350.0,1277.0,1350.0,511544.0,387,TQBR
TNSE,2015-06-22 00:00:00,1295.0,1295.0,1226.5,1268.5,2099178.0,1681,TQBR
TNSE,2015-06-23 00:00:00,1242.0,1259.0,1225.0,1245.0,4036577.5,3232,TQBR
TNSE,2015-06-24 00:00:00,1220.0,1279.0,1210.0,1260.0,4438145.5,3545,TQBR
TNSE,2015-06-25 00:00:00,1235.5,1299.0,1200.0,1299.0,3822577.5,3045,TQBR
TNSE,2015-06-26 00:00:00,1277.0,1320.0,1277.0,1300.0,882664.5,685,TQBR
TNSE,2015-06-29 00:00:00,1290.5,1339.5,1290.5,1314.5,376687.0,285,TQBR
TNSE,2015-06-30 00:00:00,1302.0,1344.0,1291.0,1344.0,1455536.5,1116,TQBR
TNSE,2015-07-01 00:00:00,1320.0,1340.0,1300.5,1340.0,533986.0,410,TQBR
TNSE,2015-07-02 00:00:00,1329.5,1329.5,1315.0,1328.0,126241.5,95,TQBR
TNSE,2015-07-03 00:00:00,1300.5,1445.0,1300.0,1445.0,2756648.0,1955,TQBR
TNSE,2015-07-06 00:00:00,1349.5,1349.5,1300.0,1339.5,10138611.5,7794,TQBR
TNSE,2015-07-07 00:00:00,1305.0,1332.5,1300.0,1332.5,1594175.0,1226,TQBR
TNSE,2015-07-08 00:00:00,1303.0,1314.5,1280.0,1314.5,3381979.0,2607,TQBR
TNSE,2015-07-09 00:00:00,1287.5,1310.0,1283.5,1310.0,1389095.5,1068,TQBR
TNSE,2015-07-10 00:00:00,1290.5,1310.0,1290.0,1310.0,74970.5,58,TQBR
TNSE,2015-07-13 00:00:00,1300.0,1300.0,1278.0,1285.0,344317.0,267,TQBR
TNSE,2015-07-14 00:00:00,1298.0,1299.0,1270.0,1297.0,205054.0,160,TQBR
TNSE,2015-07-15 00:00:00,1290.0,1299.5,1290.0,1290.0,74962.5,58,TQBR
TNSE,2015-07-16 00:00:00,1290.0,1300.0,1285.0,1300.0,185535.0,144,TQBR
TNSE,2015-07-17 00:00:00,1299.0,1319.5,1299.0,1319.5,32885.0,25,TQBR
TNSE,2015-07-20 00:00:00,1310.0,1310.0,1301.5,1305.5,43089.5,33,TQBR
TNSE,2015-07-21 00:00:00,1309.5,1309.5,1300.5,1300.5,62608.0,48,TQBR
TNSE,2015-07-22 00:00:00,1339.0,1339.0,1320.5,1320.5,152627.5,114,TQBR
TNSE,2015-07-23 00:00:00,1310.0,1310.0,1260.0,1289.0,9401429.0,7364,TQBR
TNSE,2015-07-24 00:00:00,1256.0,1310.0,1256.0,1300.0,3759084.0,2924,TQBR
TNSE,2015-07-27 00:00:00,1290.0,1290.0,1285.5,1285.5,1311260.0,1020,TQBR
TNSE,2015-07-28 00:00:00,1300.0,1305.0,1300.0,1305.0,109615.0,84,TQBR
TNSE,2015-07-29 00:00:00,1311.0,1325.0,1300.0,1305.0,403104.0,309,TQBR
TNSE,2015-07-30 00:00:00,1315.0,1315.0,1285.0,1315.0,1363646.0,1048,TQBR
TNSE,2015-07-31 00:00:00,1318.0,1320.0,1318.0,1320.0,395600.0,300,TQBR
TNSE,2015-08-03 00:00:00,1338.0,1338.0,1285.0,1290.0,302082.0,234,TQBR
TNSE,2015-08-04 00:00:00,1314.5,1314.5,1290.0,1300.0,812243.5,629,TQBR
TNSE,2015-08-05 00:00:00,1305.0,1305.0,1285.0,1300.0,1100787.5,847,TQBR
TNSE,2015-08-06 00:00:00,1300.0,1310.0,1300.0,1310.0,210715.5,162,TQBR
TNSE,2015-08-07 00:00:00,1310.0,1320.0,1307.0,1320.0,376955.5,287,TQBR
TNSE,2015-08-10 00:00:00,1312.0,1339.0,1305.0,1339.0,185625.0,141,TQBR
TNSE,2015-08-11 00:00:00,1321.5,1330.0,1320.0,1330.0,884087.0,669,TQBR
TNSE,2015-08-12 00:00:00,1330.0,1330.0,1320.0,1320.0,138631.0,105,TQBR
TNSE,2015-08-13 00:00:00,1320.0,1320.5,1310.0,1320.0,595020.5,451,TQBR
TNSE,2015-08-14 00:00:00,1320.0,1337.0,1310.0,1337.0,1108606.0,844,TQBR
TNSE,2015-08-17 00:00:00,1320.0,1320.0,1320.0,1320.0,495000.0,375,TQBR
