ticker,tradedate,open,high,low,close,value,volume,boardid
TORS,2014-06-09 00:00:00,0.5,0.5,0.5,0.5,5000.0,10000,TQBR
TORS,2014-06-10 00:00:00,0.5,0.5,0.5,0.5,95000.0,190000,TQBR
TORS,2014-06-11 00:00:00,0.5,0.51,0.5,0.51,160100.0,320000,TQBR
TORS,2014-06-16 00:00:00,0.5,0.5,0.5,0.5,50000.0,100000,TQBR
TORS,2014-06-26 00:00:00,0.5,0.5,0.5,0.5,25000.0,50000,TQBR
TORS,2014-06-30 00:00:00,0.5,0.5,0.5,0.5,5000.0,10000,TQBR
TORS,2014-07-07 00:00:00,0.5,0.5,0.5,0.5,25000.0,50000,TQBR
TORS,2014-07-11 00:00:00,0.5,0.502,0.5,0.502,30020.0,60000,TQBR
TORS,2014-09-01 00:00:00,0.3551,0.3551,0.3,0.336,603738.0,1930000,TQBR
TORS,2014-09-02 00:00:00,0.3496,0.3499,0.3496,0.3499,27980.0,80000,TQBR
TORS,2014-09-04 00:00:00,0.3014,0.33,0.3,0.3,30363.0,100000,TQBR
TORS,2014-09-16 00:00:00,0.31,0.31,0.31,0.31,3100.0,10000,TQBR
TORS,2014-09-22 00:00:00,0.3488,0.3488,0.3488,0.3488,3488.0,10000,TQBR
TORS,2014-09-26 00:00:00,0.32,0.345,0.32,0.345,6650.0,20000,TQBR
TORS,2014-09-29 00:00:00,0.35,0.35,0.35,0.35,3500.0,10000,TQBR
TORS,2014-10-01 00:00:00,0.301,0.35,0.301,0.35,13020.0,40000,TQBR
TORS,2014-10-21 00:00:00,0.3,0.34,0.255,0.33,30000.0,100000,TQBR
TORS,2014-10-23 00:00:00,0.32,0.32,0.31,0.31,6300.0,20000,TQBR
TORS,2014-10-24 00:00:00,0.29,0.29,0.27,0.27,22460.0,80000,TQBR
TORS,2014-10-30 00:00:00,0.315,0.315,0.315,0.315,6300.0,20000,TQBR
TORS,2014-11-03 00:00:00,0.345,0.345,0.345,0.345,3450.0,10000,TQBR
TORS,2014-11-11 00:00:00,0.305,0.31,0.3,0.3,55600.0,180000,TQBR
TORS,2014-11-12 00:00:00,0.315,0.315,0.315,0.315,103950.0,330000,TQBR
TORS,2014-11-13 00:00:00,0.32,0.32,0.32,0.32,3200.0,10000,TQBR
TORS,2014-11-25 00:00:00,0.271,0.311,0.271,0.311,5820.0,20000,TQBR
TORS,2014-11-27 00:00:00,0.32,0.345,0.32,0.345,23400.0,70000,TQBR
TORS,2014-11-28 00:00:00,0.32,0.35,0.32,0.35,29100.0,90000,TQBR
TORS,2014-12-04 00:00:00,0.35,0.35,0.35,0.35,3500.0,10000,TQBR
TORS,2014-12-12 00:00:00,0.33,0.35,0.33,0.35,10250.0,30000,TQBR
TORS,2014-12-19 00:00:00,0.35,0.35,0.35,0.35,3500.0,10000,TQBR
TORS,2014-12-24 00:00:00,0.39,0.39,0.39,0.39,19500.0,50000,TQBR
TORS,2014-12-26 00:00:00,0.35,0.35,0.343,0.343,58380.0,170000,TQBR
TORS,2015-01-05 00:00:00,0.4,0.4,0.4,0.4,4000.0,10000,TQBR
TORS,2015-01-14 00:00:00,0.35,0.35,0.35,0.35,3500.0,10000,TQBR
TORS,2015-01-21 00:00:00,0.4,0.4,0.4,0.4,4000.0,10000,TQBR
TORS,2015-01-23 00:00:00,0.37,0.43,0.37,0.43,54800.0,140000,TQBR
TORS,2015-01-26 00:00:00,0.31,0.399,0.31,0.399,50490.0,160000,TQBR
TORS,2015-01-27 00:00:00,0.311,0.369,0.311,0.369,13780.0,40000,TQBR
TORS,2015-01-29 00:00:00,0.357,0.357,0.357,0.357,28560.0,80000,TQBR
TORS,2015-03-04 00:00:00,0.425,0.425,0.425,0.425,4250.0,10000,TQBR
TORS,2015-03-10 00:00:00,0.25,0.45,0.25,0.371,186580.0,560000,TQBR
TORS,2015-03-11 00:00:00,0.283,0.32,0.283,0.3,206150.0,680000,TQBR
TORS,2015-03-12 00:00:00,0.288,0.3,0.288,0.3,17450.0,60000,TQBR
TORS,2015-03-13 00:00:00,0.3,0.3,0.274,0.274,73110.0,260000,TQBR
TORS,2015-03-16 00:00:00,0.299,0.299,0.261,0.265,16120.0,60000,TQBR
TORS,2015-03-18 00:00:00,0.26,0.26,0.26,0.26,10400.0,40000,TQBR
TORS,2015-03-19 00:00:00,0.28,0.28,0.28,0.28,14000.0,50000,TQBR
TORS,2015-03-20 00:00:00,0.26,0.26,0.253,0.253,12720.0,50000,TQBR
TORS,2015-03-23 00:00:00,0.253,0.253,0.253,0.253,10120.0,40000,TQBR
TORS,2015-03-24 00:00:00,0.253,0.253,0.251,0.251,22660.0,90000,TQBR
TORS,2015-03-25 00:00:00,0.252,0.252,0.25,0.25,7530.0,30000,TQBR
