ticker,tradedate,open,high,low,close,value,volume,boardid
TORSP,2014-06-10 00:00:00,0.2598,0.26,0.255,0.255,624571.0,2420000,TQBR
TORSP,2014-06-11 00:00:00,0.2501,0.262,0.25,0.257,986945.0,3840000,TQBR
TORSP,2014-06-16 00:00:00,0.2582,0.26,0.2522,0.26,155281.0,600000,TQBR
TORSP,2014-06-17 00:00:00,0.2648,0.2648,0.26,0.26,31248.0,120000,TQBR
TORSP,2014-06-18 00:00:00,0.2598,0.2598,0.2598,0.2598,5196.0,20000,TQBR
TORSP,2014-06-19 00:00:00,0.2523,0.2599,0.2523,0.2599,5122.0,20000,TQBR
TORSP,2014-06-20 00:00:00,0.2555,0.27,0.2555,0.26,913696.0,3540000,TQBR
TORSP,2014-06-23 00:00:00,0.2602,0.2602,0.2599,0.26,299008.0,1150000,TQBR
TORSP,2014-06-25 00:00:00,0.2699,0.277,0.2699,0.275,108978.0,400000,TQBR
TORSP,2014-06-26 00:00:00,0.2603,0.2603,0.2599,0.26,416004.0,1600000,TQBR
TORSP,2014-06-30 00:00:00,0.265,0.265,0.2563,0.2563,20775.0,80000,TQBR
TORSP,2014-07-01 00:00:00,0.2564,0.2599,0.255,0.2596,74357.0,290000,TQBR
TORSP,2014-07-02 00:00:00,0.2501,0.2588,0.2499,0.25,770682.0,3080000,TQBR
TORSP,2014-07-03 00:00:00,0.2551,0.2551,0.2357,0.244,191502.0,780000,TQBR
TORSP,2014-07-04 00:00:00,0.2352,0.2401,0.228,0.2321,1696288.0,7250000,TQBR
TORSP,2014-07-07 00:00:00,0.2397,0.2397,0.2397,0.2397,2397.0,10000,TQBR
TORSP,2014-07-08 00:00:00,0.2397,0.2397,0.2397,0.2397,4794.0,20000,TQBR
TORSP,2014-07-11 00:00:00,0.2365,0.2388,0.2317,0.2388,37506.0,160000,TQBR
TORSP,2014-07-14 00:00:00,0.2345,0.2345,0.2345,0.2345,23450.0,100000,TQBR
TORSP,2014-07-15 00:00:00,0.2355,0.2355,0.235,0.235,49355.0,210000,TQBR
TORSP,2014-07-16 00:00:00,0.2636,0.2638,0.2636,0.2638,10548.0,40000,TQBR
TORSP,2014-07-17 00:00:00,0.2596,0.2596,0.25,0.25,1032596.0,4130000,TQBR
TORSP,2014-07-18 00:00:00,0.2495,0.2495,0.242,0.242,101820.0,420000,TQBR
TORSP,2014-07-22 00:00:00,0.248,0.25,0.247,0.248,19880.0,80000,TQBR
TORSP,2014-07-23 00:00:00,0.2488,0.2488,0.2488,0.2488,4976.0,20000,TQBR
TORSP,2014-07-28 00:00:00,0.25,0.25,0.25,0.25,22500.0,90000,TQBR
TORSP,2014-07-30 00:00:00,0.25,0.2597,0.25,0.2501,40109.0,160000,TQBR
TORSP,2014-07-31 00:00:00,0.25,0.255,0.25,0.25,110050.0,440000,TQBR
TORSP,2014-08-01 00:00:00,0.2408,0.259,0.2408,0.2552,40724.0,160000,TQBR
TORSP,2014-08-04 00:00:00,0.2588,0.2649,0.2499,0.2649,2209931.0,8720000,TQBR
TORSP,2014-08-05 00:00:00,0.2598,0.2599,0.2598,0.2599,5197.0,20000,TQBR
TORSP,2014-08-06 00:00:00,0.2698,0.2698,0.2698,0.2698,2698.0,10000,TQBR
TORSP,2014-08-07 00:00:00,0.2697,0.2697,0.2526,0.26,23727.0,90000,TQBR
TORSP,2014-08-08 00:00:00,0.2644,0.2644,0.25,0.261,1383118.0,5450000,TQBR
TORSP,2014-08-11 00:00:00,0.2519,0.2687,0.2517,0.2687,15274.0,60000,TQBR
TORSP,2014-08-13 00:00:00,0.27,0.2729,0.27,0.2729,18989.0,70000,TQBR
TORSP,2014-08-15 00:00:00,0.2729,0.2772,0.2649,0.265,245195.0,920000,TQBR
TORSP,2014-08-18 00:00:00,0.27,0.27,0.265,0.265,8050.0,30000,TQBR
TORSP,2014-08-19 00:00:00,0.27,0.27,0.27,0.27,5400.0,20000,TQBR
TORSP,2014-08-20 00:00:00,0.27,0.27,0.261,0.261,151047.0,570000,TQBR
TORSP,2014-08-22 00:00:00,0.2612,0.2612,0.26,0.26,70233.0,270000,TQBR
TORSP,2014-08-26 00:00:00,0.26,0.2629,0.257,0.2628,70168.0,270000,TQBR
TORSP,2014-08-27 00:00:00,0.263,0.263,0.263,0.263,2630.0,10000,TQBR
TORSP,2014-09-01 00:00:00,0.2525,0.2525,0.2452,0.2524,203537.0,810000,TQBR
TORSP,2014-09-02 00:00:00,0.2477,0.2477,0.2477,0.2477,153574.0,620000,TQBR
TORSP,2014-09-03 00:00:00,0.2505,0.2597,0.25,0.25,72670.0,290000,TQBR
TORSP,2014-09-08 00:00:00,0.2649,0.265,0.2649,0.265,26495.0,100000,TQBR
TORSP,2014-09-12 00:00:00,0.2639,0.2639,0.2639,0.2639,2639.0,10000,TQBR
TORSP,2014-09-15 00:00:00,0.26,0.265,0.26,0.26,133999.0,510000,TQBR
TORSP,2014-09-16 00:00:00,0.259,0.26,0.2555,0.2555,127030.0,490000,TQBR
TORSP,2014-09-17 00:00:00,0.2555,0.26,0.25,0.2591,138580.0,540000,TQBR
