ticker,tradedate,open,high,low,close,value,volume,boardid
TRMK,2009-07-14 00:00:00,67.0,69.0,65.99,65.99,3994725.47,59275,TQBR
TRMK,2009-07-15 00:00:00,68.5,68.5,65.51,67.62,13781854.4,206210,TQBR
TRMK,2009-07-16 00:00:00,67.99,68.0,64.02,66.63,14415164.08,216553,TQBR
TRMK,2009-07-17 00:00:00,67.0,69.93,65.1,69.5,22992234.7,335624,TQBR
TRMK,2009-07-20 00:00:00,69.97,75.0,69.97,71.6,18288733.31,252346,TQBR
TRMK,2009-07-21 00:00:00,72.95,76.48,70.0,73.8,25685246.33,343499,TQBR
TRMK,2009-07-22 00:00:00,73.8,75.4,73.02,73.2,3354978.13,45241,TQBR
TRMK,2009-07-23 00:00:00,73.2,82.0,73.2,79.9,35520610.6,457354,TQBR
TRMK,2009-07-24 00:00:00,81.71,81.71,76.7,77.0,16059430.71,206234,TQBR
TRMK,2009-07-27 00:00:00,79.06,82.0,74.01,76.1,22384796.13,286363,TQBR
TRMK,2009-07-28 00:00:00,76.99,78.0,74.5,75.55,8182704.08,106726,TQBR
TRMK,2009-07-29 00:00:00,75.0,77.74,73.7,75.25,6615794.35,86543,TQBR
TRMK,2009-07-30 00:00:00,76.99,77.77,75.3,77.77,6349813.15,83451,TQBR
TRMK,2009-07-31 00:00:00,78.07,84.3,77.0,82.01,28901257.21,358934,TQBR
TRMK,2009-08-03 00:00:00,82.1,88.5,80.84,84.0,57435934.44,678217,TQBR
TRMK,2009-08-04 00:00:00,84.9,84.9,81.5,82.85,8453863.0,102457,TQBR
TRMK,2009-08-05 00:00:00,83.0,84.7,81.5,81.97,18520374.9,222442,TQBR
TRMK,2009-08-06 00:00:00,82.0,84.8,82.0,83.49,12093777.18,145240,TQBR
TRMK,2009-08-07 00:00:00,83.18,84.0,81.31,83.73,10809037.08,130432,TQBR
TRMK,2009-08-10 00:00:00,87.15,89.65,81.65,82.29,18660781.8,221826,TQBR
TRMK,2009-08-11 00:00:00,83.0,83.0,78.66,79.7,12621063.09,155480,TQBR
TRMK,2009-08-12 00:00:00,79.0,79.51,76.0,79.2,11944455.42,153670,TQBR
TRMK,2009-08-13 00:00:00,80.0,81.1,77.03,78.0,13675488.06,171176,TQBR
TRMK,2009-08-14 00:00:00,80.5,87.98,78.51,81.0,58925743.17,704486,TQBR
TRMK,2009-08-17 00:00:00,77.4,85.9,76.01,80.6,33213252.31,411174,TQBR
TRMK,2009-08-18 00:00:00,81.7,90.09,81.02,87.49,64307319.17,748541,TQBR
TRMK,2009-08-19 00:00:00,87.05,87.08,81.7,83.0,34898729.96,417486,TQBR
TRMK,2009-08-20 00:00:00,80.49,86.04,80.49,83.0,63079972.06,759177,TQBR
TRMK,2009-08-21 00:00:00,83.0,91.5,81.99,90.69,68434931.04,781672,TQBR
TRMK,2009-08-24 00:00:00,91.0,99.6,89.14,93.0,59725208.93,631683,TQBR
TRMK,2009-08-25 00:00:00,92.0,99.8,90.61,91.45,59230122.3,620290,TQBR
TRMK,2009-08-26 00:00:00,93.0,94.62,87.6,90.8,38874195.17,425628,TQBR
TRMK,2009-08-27 00:00:00,90.0,93.05,86.2,87.0,36897883.41,417120,TQBR
TRMK,2009-08-28 00:00:00,88.05,90.5,88.05,89.0,10649622.93,118969,TQBR
TRMK,2009-08-31 00:00:00,90.99,90.99,85.15,86.5,13310087.23,153152,TQBR
TRMK,2009-09-01 00:00:00,87.0,88.7,85.0,86.0,23089134.53,266395,TQBR
TRMK,2009-09-02 00:00:00,85.0,87.21,83.12,85.33,16569042.78,194183,TQBR
TRMK,2009-09-03 00:00:00,86.83,89.13,84.5,85.33,25330339.93,290861,TQBR
TRMK,2009-09-04 00:00:00,86.83,86.86,80.5,82.1,65298230.26,784618,TQBR
TRMK,2009-09-07 00:00:00,83.99,84.25,82.55,84.25,8636783.07,103348,TQBR
TRMK,2009-09-08 00:00:00,84.5,87.0,84.15,86.45,20974368.95,245182,TQBR
TRMK,2009-09-09 00:00:00,86.68,89.79,85.0,89.62,27482994.81,313760,TQBR
TRMK,2009-09-10 00:00:00,90.0,97.0,90.0,94.0,49067774.83,519495,TQBR
TRMK,2009-09-11 00:00:00,94.94,104.01,94.51,102.0,65467927.76,657542,TQBR
TRMK,2009-09-14 00:00:00,100.28,104.9,97.0,101.05,47850348.85,469237,TQBR
TRMK,2009-09-15 00:00:00,99.93,102.69,98.14,99.45,14753232.81,147696,TQBR
TRMK,2009-09-16 00:00:00,97.09,101.0,95.98,96.7,29841294.85,306099,TQBR
TRMK,2009-09-17 00:00:00,98.94,103.0,97.7,99.95,52584064.91,528256,TQBR
TRMK,2009-09-18 00:00:00,98.48,107.8,96.63,104.35,34893310.85,339299,TQBR
TRMK,2009-09-21 00:00:00,102.9,104.0,99.84,101.84,28999971.22,286858,TQBR
TRMK,2009-09-22 00:00:00,101.02,106.0,100.99,105.5,19709819.79,191368,TQBR
TRMK,2009-09-23 00:00:00,103.08,111.8,102.0,107.84,67994797.22,627306,TQBR
TRMK,2009-09-24 00:00:00,106.11,113.7,103.13,106.4,27496024.89,252704,TQBR
TRMK,2009-09-25 00:00:00,106.03,109.7,104.52,106.25,11230277.69,106042,TQBR
TRMK,2009-09-28 00:00:00,103.44,111.98,102.29,111.8,13374530.35,125478,TQBR
TRMK,2009-09-29 00:00:00,111.8,114.3,109.12,112.39,23321572.63,208408,TQBR
TRMK,2009-09-30 00:00:00,112.36,115.0,111.03,111.03,39178321.02,346778,TQBR
TRMK,2009-10-01 00:00:00,112.98,116.4,109.08,115.99,30528811.71,268673,TQBR
TRMK,2009-10-02 00:00:00,116.0,117.0,111.6,114.8,21399389.16,187027,TQBR
TRMK,2009-10-05 00:00:00,116.0,123.0,115.11,116.84,12328207.96,104604,TQBR
TRMK,2009-10-06 00:00:00,119.5,119.7,114.21,118.55,20604686.07,175521,TQBR
TRMK,2009-10-07 00:00:00,119.42,125.0,118.6,123.67,20499001.25,167513,TQBR
TRMK,2009-10-08 00:00:00,122.77,132.0,122.77,125.93,6600696.66,52062,TQBR
TRMK,2009-10-09 00:00:00,127.25,127.25,119.01,123.69,10222765.08,83635,TQBR
TRMK,2009-10-12 00:00:00,127.5,130.0,124.19,126.44,63114370.19,498143,TQBR
TRMK,2009-10-13 00:00:00,130.75,134.98,125.83,128.02,52440510.09,399301,TQBR
TRMK,2009-10-14 00:00:00,130.74,139.24,130.0,137.75,27156485.71,199479,TQBR
TRMK,2009-10-15 00:00:00,140.43,142.0,136.25,138.94,21102860.79,151676,TQBR
TRMK,2009-10-16 00:00:00,140.93,141.7,131.51,134.49,19955532.85,147351,TQBR
TRMK,2009-10-19 00:00:00,134.49,137.91,132.0,135.86,10768165.18,80549,TQBR
TRMK,2009-10-20 00:00:00,136.08,138.0,133.52,135.95,9092611.9,67121,TQBR
TRMK,2009-10-21 00:00:00,136.0,137.0,132.02,136.0,7197235.05,53574,TQBR
TRMK,2009-10-22 00:00:00,136.0,136.62,131.01,133.32,4037181.53,30247,TQBR
TRMK,2009-10-23 00:00:00,135.02,141.0,133.25,140.25,18785256.19,136005,TQBR
TRMK,2009-10-26 00:00:00,144.13,147.61,136.02,145.99,12602476.75,86752,TQBR
TRMK,2009-10-27 00:00:00,147.06,147.06,136.1,138.02,23829044.12,169662,TQBR
TRMK,2009-10-28 00:00:00,138.99,138.99,125.95,125.95,22783527.73,175419,TQBR
TRMK,2009-10-29 00:00:00,121.4,132.49,121.2,132.49,36531759.53,289765,TQBR
TRMK,2009-10-30 00:00:00,130.99,135.0,125.0,132.98,12270940.8,95849,TQBR
TRMK,2009-11-02 00:00:00,127.73,132.3,127.69,130.5,9612267.86,74019,TQBR
TRMK,2009-11-03 00:00:00,130.0,130.4,124.17,130.4,4120711.65,32593,TQBR
TRMK,2009-11-05 00:00:00,132.39,132.42,128.59,130.83,6300204.93,48068,TQBR
TRMK,2009-11-06 00:00:00,132.1,133.15,129.8,130.97,6769345.59,51662,TQBR
TRMK,2009-11-09 00:00:00,132.23,141.11,131.89,139.9,20763080.86,150290,TQBR
