ticker,tradedate,open,high,low,close,value,volume,boardid
TRNFP,2013-12-16 00:00:00,854.44,863.34,853.4,859.85,245604792.0,2859,TQBR
TRNFP,2013-12-17 00:00:00,846.42,869.0,846.42,858.0,243934892.0,2844,TQBR
TRNFP,2013-12-18 00:00:00,858.0,858.0,852.52,855.0,132664409.0,1552,TQBR
TRNFP,2013-12-19 00:00:00,855.1,865.55,854.49,858.75,245372022.0,2848,TQBR
TRNFP,2013-12-20 00:00:00,858.2,860.65,845.02,853.0,516354366.0,6067,TQBR
TRNFP,2013-12-23 00:00:00,852.95,857.99,843.74,857.25,222335854.0,2610,TQBR
TRNFP,2013-12-24 00:00:00,855.58,863.8,852.29,861.51,153738244.0,1786,TQBR
TRNFP,2013-12-25 00:00:00,862.51,869.8,862.01,867.21,185054931.0,2136,TQBR
TRNFP,2013-12-26 00:00:00,868.02,877.89,866.08,873.86,235719665.0,2699,TQBR
TRNFP,2013-12-27 00:00:00,873.89,874.32,855.0,858.88,314124241.0,3637,TQBR
TRNFP,2013-12-30 00:00:00,854.49,865.39,849.9,859.0,227504114.0,2662,TQBR
TRNFP,2014-01-06 00:00:00,851.02,867.58,832.14,838.17,260837233.0,3074,TQBR
TRNFP,2014-01-08 00:00:00,839.09,841.01,822.51,828.0,422832302.0,5103,TQBR
TRNFP,2014-01-09 00:00:00,830.0,836.1,830.0,832.51,227066991.0,2724,TQBR
TRNFP,2014-01-10 00:00:00,831.01,838.5,827.66,836.35,496209815.0,5957,TQBR
TRNFP,2014-01-13 00:00:00,834.3,840.24,830.11,836.2,285766722.0,3424,TQBR
TRNFP,2014-01-14 00:00:00,830.0,844.56,823.66,839.2,487808016.0,5838,TQBR
TRNFP,2014-01-15 00:00:00,842.93,843.79,834.2,839.02,196264053.0,2341,TQBR
TRNFP,2014-01-16 00:00:00,841.86,843.29,832.17,835.57,357470663.0,4275,TQBR
TRNFP,2014-01-17 00:00:00,834.99,841.34,834.18,837.31,250153943.0,2988,TQBR
TRNFP,2014-01-20 00:00:00,835.05,839.99,834.03,836.45,82051128.0,980,TQBR
TRNFP,2014-01-21 00:00:00,837.11,843.52,836.65,841.72,338463742.0,4030,TQBR
TRNFP,2014-01-22 00:00:00,844.52,856.88,838.06,844.0,326214086.0,3845,TQBR
TRNFP,2014-01-23 00:00:00,842.38,853.5,840.03,850.0,526021690.0,6195,TQBR
TRNFP,2014-01-24 00:00:00,842.22,859.2,841.97,854.46,447639904.0,5252,TQBR
TRNFP,2014-01-27 00:00:00,850.3,860.56,836.62,848.5,624021480.0,7358,TQBR
TRNFP,2014-01-28 00:00:00,845.23,848.28,813.21,837.65,890738281.0,10797,TQBR
TRNFP,2014-01-29 00:00:00,835.11,837.75,808.58,814.8,1044338752.0,12777,TQBR
TRNFP,2014-01-30 00:00:00,811.87,823.79,799.08,804.5,700375595.0,8690,TQBR
TRNFP,2014-01-31 00:00:00,803.69,811.59,794.5,801.82,1059174154.0,13250,TQBR
TRNFP,2014-02-03 00:00:00,798.96,810.98,790.53,794.47,389192832.0,4885,TQBR
TRNFP,2014-02-04 00:00:00,792.5,805.99,782.0,799.86,800263307.0,10022,TQBR
TRNFP,2014-02-05 00:00:00,800.0,804.06,793.78,796.42,255541463.0,3196,TQBR
TRNFP,2014-02-06 00:00:00,799.21,799.96,785.25,792.46,386292436.0,4875,TQBR
TRNFP,2014-02-07 00:00:00,797.09,797.98,786.6,786.8,327096956.0,4143,TQBR
TRNFP,2014-02-10 00:00:00,790.77,799.8,788.07,795.7,276866948.0,3485,TQBR
TRNFP,2014-02-11 00:00:00,797.75,798.56,781.25,783.95,609803728.0,7754,TQBR
TRNFP,2014-02-12 00:00:00,786.75,804.3,781.23,802.9,568876509.0,7202,TQBR
TRNFP,2014-02-13 00:00:00,801.45,822.16,800.0,814.99,694870517.0,8553,TQBR
TRNFP,2014-02-14 00:00:00,816.47,822.84,808.61,817.03,190132675.0,2332,TQBR
TRNFP,2014-02-17 00:00:00,820.99,822.93,805.04,813.0,243375244.0,2996,TQBR
TRNFP,2014-02-18 00:00:00,808.01,821.44,801.01,802.62,330603513.0,4087,TQBR
TRNFP,2014-02-19 00:00:00,802.68,809.31,796.7,803.5,497797597.0,6213,TQBR
TRNFP,2014-02-20 00:00:00,802.51,816.14,797.02,812.0,507392251.0,6308,TQBR
TRNFP,2014-02-21 00:00:00,814.25,814.45,799.6,802.29,217464068.0,2704,TQBR
TRNFP,2014-02-24 00:00:00,802.28,802.79,797.02,798.59,103772859.0,1297,TQBR
TRNFP,2014-02-25 00:00:00,797.93,801.45,795.25,799.01,140326845.0,1757,TQBR
TRNFP,2014-02-26 00:00:00,799.49,811.84,798.17,804.92,1131197774.0,14096,TQBR
TRNFP,2014-02-27 00:00:00,812.99,812.99,799.01,809.51,399257719.0,4950,TQBR
TRNFP,2014-02-28 00:00:00,806.74,811.9,796.51,811.9,311963850.0,3878,TQBR
TRNFP,2014-03-03 00:00:00,800.0,800.0,751.0,783.5,1696386242.0,21906,TQBR
TRNFP,2014-03-04 00:00:00,789.99,805.95,763.92,772.5,1096182015.0,14131,TQBR
TRNFP,2014-03-05 00:00:00,770.03,779.1,752.88,779.0,432474876.0,5632,TQBR
TRNFP,2014-03-06 00:00:00,778.75,781.98,762.02,779.01,576110126.0,7442,TQBR
TRNFP,2014-03-07 00:00:00,773.6,786.98,762.58,778.95,1098041604.0,14119,TQBR
TRNFP,2014-03-11 00:00:00,775.03,785.94,759.19,770.0,651470671.0,8463,TQBR
TRNFP,2014-03-12 00:00:00,768.5,769.0,756.02,760.6,873773911.0,11431,TQBR
TRNFP,2014-03-13 00:00:00,764.99,785.0,757.01,757.1,1025855944.0,13242,TQBR
TRNFP,2014-03-14 00:00:00,755.5,755.71,726.02,741.0,671538757.0,9131,TQBR
TRNFP,2014-03-17 00:00:00,759.95,759.95,726.25,739.51,896499964.0,12156,TQBR
TRNFP,2014-03-18 00:00:00,735.0,742.7,717.0,735.0,613272203.0,8391,TQBR
TRNFP,2014-03-19 00:00:00,735.43,737.9,708.79,726.0,1211439336.0,16823,TQBR
TRNFP,2014-03-20 00:00:00,722.97,735.0,720.0,730.0,504157512.0,6925,TQBR
TRNFP,2014-03-21 00:00:00,717.35,732.0,705.55,722.99,775145399.0,10709,TQBR
TRNFP,2014-03-24 00:00:00,725.39,750.0,725.39,740.0,493125834.0,6651,TQBR
TRNFP,2014-03-25 00:00:00,738.85,754.47,733.31,748.03,449394286.0,6039,TQBR
TRNFP,2014-03-26 00:00:00,747.2,764.76,747.2,753.0,382725384.0,5064,TQBR
TRNFP,2014-03-27 00:00:00,754.05,754.1,735.0,741.99,503344167.0,6775,TQBR
TRNFP,2014-03-28 00:00:00,746.49,762.85,743.47,756.5,756264784.0,10015,TQBR
TRNFP,2014-03-31 00:00:00,756.25,766.83,754.62,762.99,1035865187.0,13625,TQBR
TRNFP,2014-04-01 00:00:00,765.68,773.45,757.62,770.34,587068725.0,7669,TQBR
TRNFP,2014-04-02 00:00:00,770.6,775.86,764.0,771.89,702229569.0,9135,TQBR
TRNFP,2014-04-03 00:00:00,772.99,777.77,769.9,772.0,642812933.0,8313,TQBR
TRNFP,2014-04-04 00:00:00,773.15,778.76,769.5,770.0,636315319.0,8240,TQBR
TRNFP,2014-04-07 00:00:00,769.08,777.5,761.05,775.0,594325762.0,7704,TQBR
TRNFP,2014-04-08 00:00:00,776.25,799.99,776.25,799.99,851651124.0,10809,TQBR
