ticker,tradedate,open,high,low,close,value,volume,boardid
UNKL,2014-06-11 00:00:00,1133.1,1470.0,1076.4,1470.0,49222.2,41,TQBR
UNKL,2014-06-20 00:00:00,1200.0,1300.0,1200.0,1201.0,66450.1,55,TQBR
UNKL,2014-06-25 00:00:00,1400.0,1400.0,1400.0,1400.0,1400.0,1,TQBR
UNKL,2014-06-30 00:00:00,1380.0,1459.8,1380.0,1459.8,30439.8,22,TQBR
UNKL,2014-07-02 00:00:00,1500.0,1500.0,1500.0,1500.0,4500.0,3,TQBR
UNKL,2014-07-03 00:00:00,1500.0,1500.0,1450.0,1450.0,2950.0,2,TQBR
UNKL,2014-07-04 00:00:00,1475.1,1495.0,1475.1,1495.0,59402.0,40,TQBR
UNKL,2014-07-07 00:00:00,1485.8,1485.8,1485.8,1485.8,2971.6,2,TQBR
UNKL,2014-07-10 00:00:00,1333.0,1333.0,1333.0,1333.0,1333.0,1,TQBR
UNKL,2014-07-11 00:00:00,1500.0,1500.0,1500.0,1500.0,4500.0,3,TQBR
UNKL,2014-07-14 00:00:00,1500.0,1500.0,1500.0,1500.0,1500.0,1,TQBR
UNKL,2014-07-17 00:00:00,1400.0,1600.0,1400.0,1600.0,4400.0,3,TQBR
UNKL,2014-07-18 00:00:00,1131.0,1301.0,1131.0,1301.0,2432.0,2,TQBR
UNKL,2014-07-21 00:00:00,1449.0,1450.0,1449.0,1450.0,2899.0,2,TQBR
UNKL,2014-07-22 00:00:00,1300.0,1300.0,1300.0,1300.0,10400.0,8,TQBR
UNKL,2014-07-23 00:00:00,1250.0,1300.0,1250.0,1300.0,65800.0,51,TQBR
UNKL,2014-07-24 00:00:00,1134.9,1200.0,920.1,1200.0,1264616.3,1202,TQBR
UNKL,2014-07-25 00:00:00,1200.0,1200.0,1005.0,1100.0,181040.1,165,TQBR
UNKL,2014-07-28 00:00:00,1050.0,1100.0,1049.9,1100.0,2051149.9,1889,TQBR
UNKL,2014-07-29 00:00:00,1199.9,1200.0,1100.0,1100.0,363499.0,303,TQBR
UNKL,2014-07-30 00:00:00,1249.6,1250.0,1249.6,1250.0,48741.8,39,TQBR
UNKL,2014-07-31 00:00:00,1249.9,1249.9,1240.0,1240.0,2489.9,2,TQBR
UNKL,2014-08-05 00:00:00,1240.0,1240.0,1200.0,1200.0,2440.0,2,TQBR
UNKL,2014-08-06 00:00:00,1300.0,1300.0,1300.0,1300.0,2600.0,2,TQBR
UNKL,2014-08-07 00:00:00,1300.0,1300.0,1300.0,1300.0,2600.0,2,TQBR
UNKL,2014-08-11 00:00:00,1097.0,1300.0,1097.0,1300.0,3696.9,3,TQBR
UNKL,2014-08-12 00:00:00,1300.0,1300.0,1300.0,1300.0,2600.0,2,TQBR
UNKL,2014-08-14 00:00:00,1300.0,1300.0,1156.4,1156.4,2456.4,2,TQBR
UNKL,2014-08-15 00:00:00,1290.0,1290.0,1290.0,1290.0,2580.0,2,TQBR
UNKL,2014-08-18 00:00:00,1333.0,1333.0,1333.0,1333.0,2666.0,2,TQBR
UNKL,2014-08-19 00:00:00,1300.0,1300.0,1300.0,1300.0,2600.0,2,TQBR
UNKL,2014-08-20 00:00:00,1300.0,1300.0,1300.0,1300.0,2600.0,2,TQBR
UNKL,2014-08-22 00:00:00,1499.7,1499.7,1499.7,1499.7,1499.7,1,TQBR
UNKL,2014-08-25 00:00:00,1600.0,1600.0,1600.0,1600.0,1600.0,1,TQBR
UNKL,2014-08-26 00:00:00,1700.0,1700.0,1700.0,1700.0,3400.0,2,TQBR
UNKL,2014-08-28 00:00:00,1196.1,1290.0,1190.0,1195.5,87781.1,73,TQBR
UNKL,2014-08-29 00:00:00,1250.0,1250.0,1220.0,1220.0,8660.0,7,TQBR
UNKL,2014-09-01 00:00:00,1220.1,1220.1,1220.1,1220.1,1220.1,1,TQBR
UNKL,2014-09-02 00:00:00,1220.0,1220.0,1190.0,1190.0,6020.0,5,TQBR
UNKL,2014-09-03 00:00:00,1200.0,1200.0,1200.0,1200.0,1200.0,1,TQBR
UNKL,2014-09-09 00:00:00,1648.9,1648.9,1648.9,1648.9,1648.9,1,TQBR
UNKL,2014-09-10 00:00:00,1109.2,1517.0,1009.3,1225.0,87555.1,73,TQBR
UNKL,2014-09-11 00:00:00,1450.0,1515.0,1350.0,1500.0,208199.5,139,TQBR
UNKL,2014-09-12 00:00:00,1619.2,1630.0,1550.0,1550.0,35538.2,22,TQBR
UNKL,2014-09-17 00:00:00,1500.2,1500.2,1500.2,1500.2,4500.6,3,TQBR
UNKL,2014-09-19 00:00:00,1500.1,1500.9,1500.0,1500.9,7501.0,5,TQBR
UNKL,2014-09-22 00:00:00,1171.3,1250.0,1110.0,1199.8,1784112.7,1529,TQBR
UNKL,2014-09-23 00:00:00,1250.0,1250.0,1055.1,1174.4,28232.1,24,TQBR
UNKL,2014-09-24 00:00:00,1174.3,1174.3,1173.4,1173.5,7041.7,6,TQBR
UNKL,2014-09-25 00:00:00,1173.8,1174.1,1099.9,1100.0,454856.2,413,TQBR
UNKL,2014-09-26 00:00:00,1056.1,1056.1,950.0,1015.0,465086.9,459,TQBR
UNKL,2014-09-29 00:00:00,1046.9,1052.0,1000.0,1000.0,14355.1,14,TQBR
UNKL,2014-09-30 00:00:00,950.9,1017.0,950.9,1017.0,1967.9,2,TQBR
UNKL,2014-10-01 00:00:00,1000.0,1030.0,970.0,1010.0,99865.0,100,TQBR
UNKL,2014-10-02 00:00:00,1040.0,1050.0,1040.0,1050.0,52420.0,50,TQBR
UNKL,2014-10-03 00:00:00,1050.0,1250.0,1050.0,1250.0,496445.0,432,TQBR
UNKL,2014-10-06 00:00:00,1290.0,1290.0,1290.0,1290.0,1290.0,1,TQBR
UNKL,2014-10-07 00:00:00,1200.0,1270.0,1200.0,1270.0,47825.0,39,TQBR
UNKL,2014-10-09 00:00:00,1280.0,1280.0,1280.0,1280.0,1280.0,1,TQBR
UNKL,2014-10-10 00:00:00,1280.0,1280.0,1275.0,1275.0,2555.0,2,TQBR
UNKL,2014-10-13 00:00:00,1280.0,1280.0,1280.0,1280.0,1280.0,1,TQBR
UNKL,2014-10-17 00:00:00,1295.0,1295.0,1295.0,1295.0,1295.0,1,TQBR
UNKL,2014-10-22 00:00:00,1290.0,1290.0,1290.0,1290.0,1290.0,1,TQBR
UNKL,2014-10-28 00:00:00,1450.0,1450.0,1450.0,1450.0,1450.0,1,TQBR
UNKL,2014-10-31 00:00:00,1300.0,1300.0,1250.0,1250.0,5050.0,4,TQBR
UNKL,2014-11-03 00:00:00,1250.0,1400.0,1050.0,1050.0,28380.0,22,TQBR
UNKL,2014-11-05 00:00:00,1200.0,1200.0,1200.0,1200.0,1200.0,1,TQBR
UNKL,2014-11-07 00:00:00,1080.0,1095.0,1080.0,1095.0,6510.0,6,TQBR
UNKL,2014-11-11 00:00:00,1300.0,1300.0,1010.0,1010.0,2310.0,2,TQBR
UNKL,2014-11-17 00:00:00,1270.0,1270.0,815.0,945.0,368095.0,398,TQBR
UNKL,2014-11-18 00:00:00,975.0,1215.0,975.0,1215.0,77740.0,72,TQBR
