ticker,tradedate,open,high,low,close,value,volume,boardid
UPRO,2016-07-01 00:00:00,2.598,2.619,2.51,2.604,67898436.0,26293000,TQBR
UPRO,2016-07-04 00:00:00,2.604,2.619,2.6,2.608,29922945.0,11478000,TQBR
UPRO,2016-07-05 00:00:00,2.605,2.61,2.582,2.598,37685637.0,14489000,TQBR
UPRO,2016-07-06 00:00:00,2.596,2.66,2.596,2.65,66418134.0,25264000,TQBR
UPRO,2016-07-07 00:00:00,2.65,2.679,2.637,2.65,38070243.0,14296000,TQBR
UPRO,2016-07-08 00:00:00,2.643,2.65,2.61,2.638,24025705.0,9133000,TQBR
UPRO,2016-07-11 00:00:00,2.641,2.655,2.629,2.65,51815931.0,19562000,TQBR
UPRO,2016-07-12 00:00:00,2.65,2.67,2.64,2.663,48520423.0,18258000,TQBR
UPRO,2016-07-13 00:00:00,2.658,2.671,2.654,2.654,36262870.0,13632000,TQBR
UPRO,2016-07-14 00:00:00,2.655,2.673,2.639,2.666,43423696.0,16331000,TQBR
UPRO,2016-07-15 00:00:00,2.673,2.743,2.665,2.723,78376945.0,28978000,TQBR
UPRO,2016-07-18 00:00:00,2.727,2.777,2.72,2.773,62703259.0,22772000,TQBR
UPRO,2016-07-19 00:00:00,2.774,2.774,2.743,2.76,20892082.0,7558000,TQBR
UPRO,2016-07-20 00:00:00,2.76,2.77,2.741,2.76,37599921.0,13634000,TQBR
UPRO,2016-07-21 00:00:00,2.76,2.805,2.76,2.803,38231025.0,13737000,TQBR
UPRO,2016-07-22 00:00:00,2.801,2.925,2.703,2.812,97287414.0,34681000,TQBR
UPRO,2016-07-25 00:00:00,2.812,2.87,2.784,2.851,51784261.0,18187000,TQBR
UPRO,2016-07-26 00:00:00,2.89,2.89,2.83,2.847,26853530.0,9408000,TQBR
UPRO,2016-07-27 00:00:00,2.854,2.859,2.816,2.858,17663019.0,6217000,TQBR
UPRO,2016-07-28 00:00:00,2.86,2.958,2.86,2.95,45883877.0,15655000,TQBR
UPRO,2016-07-29 00:00:00,2.94,3.01,2.939,3.0,86438331.0,28880000,TQBR
UPRO,2016-08-01 00:00:00,2.995,3.01,2.922,2.941,55672503.0,18729000,TQBR
UPRO,2016-08-02 00:00:00,2.985,2.985,2.84,2.845,23168940.0,8087000,TQBR
UPRO,2016-08-03 00:00:00,2.855,2.871,2.757,2.848,50426355.0,17973000,TQBR
UPRO,2016-08-04 00:00:00,2.839,2.937,2.839,2.874,59192001.0,20409000,TQBR
UPRO,2016-08-05 00:00:00,2.86,2.9,2.86,2.88,11813033.0,4105000,TQBR
UPRO,2016-08-08 00:00:00,2.873,2.96,2.872,2.923,42063619.0,14457000,TQBR
UPRO,2016-08-09 00:00:00,2.934,2.957,2.904,2.954,29316531.0,9984000,TQBR
UPRO,2016-08-10 00:00:00,2.935,3.015,2.904,2.923,101605682.0,34146000,TQBR
UPRO,2016-08-11 00:00:00,2.93,2.966,2.913,2.92,74291064.0,25349000,TQBR
UPRO,2016-08-12 00:00:00,2.906,2.92,2.886,2.9,33153221.0,11413000,TQBR
UPRO,2016-08-15 00:00:00,2.895,2.904,2.859,2.883,20767117.0,7206000,TQBR
UPRO,2016-08-16 00:00:00,2.856,2.87,2.81,2.84,87147807.0,30673000,TQBR
UPRO,2016-08-17 00:00:00,2.829,2.895,2.82,2.885,36617833.0,12766000,TQBR
UPRO,2016-08-18 00:00:00,2.885,2.905,2.867,2.9,52917469.0,18277000,TQBR
UPRO,2016-08-19 00:00:00,2.88,2.893,2.879,2.892,5870805.0,2035000,TQBR
UPRO,2016-08-22 00:00:00,2.907,2.907,2.817,2.874,16045891.0,5619000,TQBR
UPRO,2016-08-23 00:00:00,2.848,2.86,2.821,2.83,77163068.0,27162000,TQBR
UPRO,2016-08-24 00:00:00,2.82,2.838,2.789,2.794,33434181.0,11926000,TQBR
UPRO,2016-08-25 00:00:00,2.795,2.832,2.787,2.824,10682751.0,3794000,TQBR
UPRO,2016-08-26 00:00:00,2.82,2.83,2.79,2.83,39096806.0,13946000,TQBR
UPRO,2016-08-29 00:00:00,2.83,2.83,2.791,2.81,13625780.0,4860000,TQBR
UPRO,2016-08-30 00:00:00,2.8,2.833,2.791,2.83,29762569.0,10569000,TQBR
UPRO,2016-08-31 00:00:00,2.833,2.85,2.82,2.83,78282387.0,27661000,TQBR
UPRO,2016-09-01 00:00:00,2.82,2.835,2.795,2.8,89891699.0,31877000,TQBR
UPRO,2016-09-02 00:00:00,2.81,2.815,2.8,2.807,89496289.0,31860000,TQBR
UPRO,2016-09-05 00:00:00,2.812,2.817,2.788,2.795,51607143.0,18422000,TQBR
UPRO,2016-09-06 00:00:00,2.815,2.82,2.793,2.796,126573786.0,45004000,TQBR
UPRO,2016-09-07 00:00:00,2.807,2.814,2.796,2.801,11160982.0,3985000,TQBR
UPRO,2016-09-08 00:00:00,2.802,2.805,2.791,2.797,25835719.0,9221000,TQBR
UPRO,2016-09-09 00:00:00,2.795,2.818,2.79,2.818,67256835.0,24010000,TQBR
UPRO,2016-09-12 00:00:00,2.8,2.829,2.8,2.81,15281719.0,5440000,TQBR
