ticker,tradedate,open,high,low,close,value,volume,boardid
USBN,2014-06-09 00:00:00,0.03219,0.03219,0.03049,0.03049,15890.0,510000,TQBR
USBN,2014-06-10 00:00:00,0.03,0.03048,0.03,0.03048,14435.7,480000,TQBR
USBN,2014-06-11 00:00:00,0.03025,0.03156,0.03025,0.0305,26982.2,880000,TQBR
USBN,2014-06-16 00:00:00,0.03,0.03049,0.02951,0.02988,11950.6,400000,TQBR
USBN,2014-06-18 00:00:00,0.02952,0.02952,0.02952,0.02952,59040.0,2000000,TQBR
USBN,2014-06-19 00:00:00,0.03049,0.0305,0.02999,0.03,15636.9,520000,TQBR
USBN,2014-06-20 00:00:00,0.0292,0.0305,0.029,0.0305,96634.8,3280000,TQBR
USBN,2014-06-23 00:00:00,0.03007,0.03007,0.02999,0.02999,14413.8,480000,TQBR
USBN,2014-06-24 00:00:00,0.03043,0.03043,0.03043,0.03043,608.6,20000,TQBR
USBN,2014-06-25 00:00:00,0.03049,0.03049,0.02927,0.02965,6273.8,210000,TQBR
USBN,2014-06-26 00:00:00,0.03046,0.03046,0.029,0.03027,16647.1,570000,TQBR
USBN,2014-06-27 00:00:00,0.03027,0.03027,0.02997,0.03,10497.7,350000,TQBR
USBN,2014-06-30 00:00:00,0.03045,0.03045,0.02943,0.02943,10911.2,370000,TQBR
USBN,2014-07-01 00:00:00,0.02942,0.02998,0.02902,0.02941,4125.0,140000,TQBR
USBN,2014-07-02 00:00:00,0.03047,0.03047,0.02821,0.02999,34446.7,1150000,TQBR
USBN,2014-07-03 00:00:00,0.0302,0.03046,0.02817,0.02935,34842.6,1170000,TQBR
USBN,2014-07-04 00:00:00,0.03047,0.03047,0.02914,0.0295,21978.9,740000,TQBR
USBN,2014-07-07 00:00:00,0.02951,0.02999,0.0295,0.02999,15804.6,530000,TQBR
USBN,2014-07-08 00:00:00,0.02801,0.03043,0.028,0.02915,139108.9,4860000,TQBR
USBN,2014-07-09 00:00:00,0.02882,0.0292,0.02882,0.02915,47468.0,1630000,TQBR
USBN,2014-07-10 00:00:00,0.02909,0.0291,0.02844,0.02886,29210.0,1010000,TQBR
USBN,2014-07-11 00:00:00,0.03017,0.03017,0.02831,0.02831,4156.4,140000,TQBR
USBN,2014-07-14 00:00:00,0.02909,0.02909,0.02873,0.02873,5784.4,200000,TQBR
USBN,2014-07-15 00:00:00,0.03034,0.03034,0.02555,0.027,292323.9,10730000,TQBR
USBN,2014-07-16 00:00:00,0.02731,0.02731,0.02699,0.027,25395.0,940000,TQBR
USBN,2014-07-17 00:00:00,0.02521,0.02796,0.02521,0.02695,38223.1,1410000,TQBR
USBN,2014-07-18 00:00:00,0.02816,0.02817,0.02602,0.0267,22524.7,830000,TQBR
USBN,2014-07-21 00:00:00,0.02735,0.02735,0.02617,0.02681,15952.6,600000,TQBR
USBN,2014-07-22 00:00:00,0.02699,0.02699,0.0259,0.0259,49917.9,1920000,TQBR
USBN,2014-07-23 00:00:00,0.02698,0.02698,0.026,0.026,4949.8,190000,TQBR
USBN,2014-07-24 00:00:00,0.026,0.026,0.026,0.026,16120.0,620000,TQBR
USBN,2014-07-25 00:00:00,0.02531,0.02785,0.02528,0.02785,57059.3,2180000,TQBR
USBN,2014-07-28 00:00:00,0.02528,0.02799,0.02528,0.02796,17508.4,650000,TQBR
USBN,2014-07-29 00:00:00,0.027,0.02791,0.027,0.0279,2214.1,80000,TQBR
USBN,2014-07-30 00:00:00,0.02797,0.02797,0.02599,0.02599,31498.5,1200000,TQBR
USBN,2014-07-31 00:00:00,0.02699,0.02699,0.02563,0.0265,16460.8,620000,TQBR
USBN,2014-08-01 00:00:00,0.02525,0.0269,0.02525,0.0269,16671.9,630000,TQBR
USBN,2014-08-04 00:00:00,0.0269,0.0269,0.02481,0.025,305871.4,12200000,TQBR
USBN,2014-08-05 00:00:00,0.025,0.025,0.0239,0.024,69068.8,2810000,TQBR
USBN,2014-08-06 00:00:00,0.02382,0.02426,0.0237,0.024,6175.4,260000,TQBR
USBN,2014-08-07 00:00:00,0.024,0.02428,0.02199,0.02299,41875.7,1800000,TQBR
USBN,2014-08-08 00:00:00,0.023,0.023,0.02299,0.023,172497.3,7500000,TQBR
USBN,2014-08-11 00:00:00,0.02214,0.02463,0.022,0.0243,288898.3,12100000,TQBR
USBN,2014-08-12 00:00:00,0.026,0.026,0.02371,0.02399,3853.4,160000,TQBR
USBN,2014-08-13 00:00:00,0.02496,0.02499,0.024,0.024,445009.2,18540000,TQBR
USBN,2014-08-14 00:00:00,0.02697,0.02697,0.02482,0.02599,80495.40000000001,3200000,TQBR
USBN,2014-08-15 00:00:00,0.0269,0.02695,0.02522,0.0268,4531.1,170000,TQBR
USBN,2014-08-18 00:00:00,0.02693,0.027,0.02693,0.027,20786.5,770000,TQBR
USBN,2014-08-19 00:00:00,0.02796,0.02796,0.02401,0.02599,31200.5,1220000,TQBR
USBN,2014-08-20 00:00:00,0.02697,0.0289,0.0251,0.027,47236.59999999999,1730000,TQBR
USBN,2014-08-21 00:00:00,0.02754,0.02847,0.02541,0.02589,150914.19999999995,5850000,TQBR
USBN,2014-08-22 00:00:00,0.02796,0.02796,0.02503,0.026,10684.3,410000,TQBR
USBN,2014-08-25 00:00:00,0.02552,0.02638,0.0255,0.0255,8429.1,330000,TQBR
USBN,2014-08-26 00:00:00,0.02503,0.0265,0.02501,0.0255,201001.1,7780000,TQBR
USBN,2014-08-27 00:00:00,0.02788,0.02788,0.02506,0.02506,116019.7,4550000,TQBR
USBN,2014-08-28 00:00:00,0.02772,0.02772,0.02499,0.025,344848.6,13790000,TQBR
USBN,2014-08-29 00:00:00,0.02648,0.02648,0.02451,0.02451,6392.3,260000,TQBR
USBN,2014-09-01 00:00:00,0.02702,0.02705,0.02444,0.025,4730.6,180000,TQBR
USBN,2014-09-02 00:00:00,0.02778,0.02778,0.02581,0.026,3393.9,130000,TQBR
USBN,2014-09-03 00:00:00,0.0288,0.0288,0.02499,0.026,197579.9,7790000,TQBR
USBN,2014-09-04 00:00:00,0.02601,0.02698,0.02503,0.02664,2881.8,110000,TQBR
USBN,2014-09-05 00:00:00,0.0251,0.02699,0.0251,0.0269,55636.8,2070000,TQBR
USBN,2014-09-08 00:00:00,0.02503,0.02653,0.02401,0.02652,28014.5,1150000,TQBR
USBN,2014-09-09 00:00:00,0.02582,0.0259,0.0243,0.02589,192608.0,7590000,TQBR
USBN,2014-09-10 00:00:00,0.0282,0.0282,0.02486,0.02594,13060.8,510000,TQBR
USBN,2014-09-11 00:00:00,0.02498,0.02668,0.02421,0.02475,53145.8,2130000,TQBR
USBN,2014-09-12 00:00:00,0.02402,0.02679,0.02402,0.02597,7760.8,300000,TQBR
USBN,2014-09-15 00:00:00,0.02448,0.02688,0.02446,0.02461,22708.4,890000,TQBR
USBN,2014-09-16 00:00:00,0.0251,0.02598,0.025,0.02598,1261.0,50000,TQBR
USBN,2014-09-17 00:00:00,0.02445,0.02594,0.02412,0.02594,6306.4,250000,TQBR
USBN,2014-09-19 00:00:00,0.02403,0.02607,0.02403,0.0246,4371.0,180000,TQBR
USBN,2014-09-22 00:00:00,0.02698,0.02698,0.02698,0.02698,269.8,10000,TQBR
USBN,2014-09-23 00:00:00,0.02357,0.02598,0.02355,0.025,39093.5,1610000,TQBR
USBN,2014-09-24 00:00:00,0.0255,0.02689,0.02404,0.02451,122784.7,5030000,TQBR
USBN,2014-09-25 00:00:00,0.02587,0.02587,0.02407,0.02587,1961.6,80000,TQBR
USBN,2014-09-29 00:00:00,0.02598,0.02598,0.02574,0.02574,1036.0,40000,TQBR
USBN,2014-09-30 00:00:00,0.026,0.0266,0.02352,0.02515,7676.2,320000,TQBR
USBN,2014-10-01 00:00:00,0.0259,0.026,0.024,0.0241,22405.0,870000,TQBR
USBN,2014-10-02 00:00:00,0.0238,0.0238,0.0229,0.0229,205810.0,8830000,TQBR
USBN,2014-10-03 00:00:00,0.0238,0.0238,0.0225,0.0229,321644.0,14230000,TQBR
USBN,2014-10-06 00:00:00,0.0249,0.0249,0.0223,0.023,28273.0,1220000,TQBR
USBN,2014-10-07 00:00:00,0.023,0.025,0.0226,0.0235,533733.0,22660000,TQBR
USBN,2014-10-08 00:00:00,0.0228,0.0248,0.0226,0.0228,335223.0,14410000,TQBR
USBN,2014-10-09 00:00:00,0.0243,0.0243,0.022,0.0224,72813.0,3260000,TQBR
USBN,2014-10-10 00:00:00,0.0222,0.0226,0.0211,0.0226,59659.0,2760000,TQBR
USBN,2014-10-13 00:00:00,0.0234,0.0234,0.021,0.021,4526.0,210000,TQBR
USBN,2014-10-14 00:00:00,0.0218,0.0226,0.0189,0.0191,413801.0,21090000,TQBR
USBN,2014-10-15 00:00:00,0.0199,0.0224,0.019,0.0224,123210.0,6120000,TQBR
USBN,2014-10-16 00:00:00,0.02,0.0213,0.0196,0.0213,5391.0,270000,TQBR
USBN,2014-10-17 00:00:00,0.0207,0.0212,0.02,0.0212,1242.0,60000,TQBR
USBN,2014-10-20 00:00:00,0.0217,0.0259,0.02,0.0231,441911.0,18520000,TQBR
USBN,2014-10-21 00:00:00,0.0233,0.0235,0.0163,0.0198,647139.0,32280000,TQBR
USBN,2014-10-22 00:00:00,0.019,0.0245,0.018,0.0215,609742.0,30510000,TQBR
USBN,2014-10-23 00:00:00,0.0201,0.0223,0.0201,0.0207,4156.0,200000,TQBR
USBN,2014-10-24 00:00:00,0.0196,0.0204,0.0195,0.0204,985.0,50000,TQBR
USBN,2014-10-27 00:00:00,0.02,0.0214,0.02,0.0207,43653.0,2180000,TQBR
USBN,2014-10-29 00:00:00,0.0195,0.0208,0.0191,0.0199,15410.0,780000,TQBR
USBN,2014-10-30 00:00:00,0.0192,0.0204,0.0191,0.0204,17516.0,900000,TQBR
USBN,2014-10-31 00:00:00,0.019,0.0208,0.0181,0.0201,269355.0,14110000,TQBR
USBN,2014-11-03 00:00:00,0.0197,0.0207,0.0197,0.0207,1013.0,50000,TQBR
USBN,2014-11-05 00:00:00,0.0218,0.024,0.0183,0.0203,160683.0,8390000,TQBR
USBN,2014-11-06 00:00:00,0.0203,0.0216,0.0198,0.0208,69576.0,3450000,TQBR
USBN,2014-11-07 00:00:00,0.0218,0.0218,0.0195,0.0206,9517.0,480000,TQBR
USBN,2014-11-10 00:00:00,0.0201,0.0201,0.0197,0.02,1794.0,90000,TQBR
USBN,2014-11-11 00:00:00,0.0193,0.0214,0.0192,0.0214,4232.0,210000,TQBR
USBN,2014-11-12 00:00:00,0.0214,0.0228,0.02,0.0208,18722.0,920000,TQBR
USBN,2014-11-13 00:00:00,0.0213,0.0215,0.021,0.0211,9328.0,440000,TQBR
USBN,2014-11-14 00:00:00,0.0216,0.0238,0.0195,0.02,27091.0,1330000,TQBR
USBN,2014-11-17 00:00:00,0.0207,0.0207,0.0207,0.0207,10143.0,490000,TQBR
USBN,2014-11-19 00:00:00,0.0204,0.0204,0.0203,0.0203,2645.0,130000,TQBR
USBN,2014-11-20 00:00:00,0.0211,0.0219,0.0185,0.0206,22715.0,1130000,TQBR
USBN,2014-11-21 00:00:00,0.0217,0.0229,0.019,0.0209,64513.0,3170000,TQBR
USBN,2014-11-24 00:00:00,0.0216,0.0218,0.021,0.0214,30185.0,1410000,TQBR
USBN,2014-11-25 00:00:00,0.0202,0.0215,0.0202,0.0211,9403.0,450000,TQBR
USBN,2014-11-26 00:00:00,0.0205,0.0224,0.0201,0.0208,1020086.0,49760000,TQBR
USBN,2014-11-27 00:00:00,0.0217,0.0234,0.0207,0.0215,18604.0,860000,TQBR
USBN,2014-11-28 00:00:00,0.0206,0.023,0.0206,0.0222,120801.0,5400000,TQBR
USBN,2014-12-01 00:00:00,0.0208,0.0243,0.0207,0.0228,68734.0,3010000,TQBR
USBN,2014-12-02 00:00:00,0.0212,0.0228,0.0212,0.0228,1958.0,90000,TQBR
USBN,2014-12-03 00:00:00,0.0232,0.0234,0.022,0.022,15486.0,700000,TQBR
USBN,2014-12-04 00:00:00,0.0207,0.0219,0.0187,0.0214,186584.0,9170000,TQBR
USBN,2014-12-05 00:00:00,0.0215,0.0215,0.02,0.0209,51438.0,2520000,TQBR
USBN,2014-12-08 00:00:00,0.0201,0.0208,0.02,0.02,43482.0,2170000,TQBR
USBN,2014-12-09 00:00:00,0.0195,0.0195,0.0185,0.019,122519.0,6500000,TQBR
USBN,2014-12-10 00:00:00,0.0198,0.0219,0.0198,0.02,77959.0,3890000,TQBR
USBN,2014-12-11 00:00:00,0.0199,0.0199,0.0188,0.0189,33104.0,1740000,TQBR
USBN,2014-12-12 00:00:00,0.019,0.02,0.0188,0.0188,15724.0,810000,TQBR
USBN,2014-12-15 00:00:00,0.0199,0.0204,0.0182,0.0194,38741.0,2080000,TQBR
USBN,2014-12-16 00:00:00,0.019,0.019,0.0153,0.017,269119.0,15020000,TQBR
USBN,2014-12-17 00:00:00,0.0178,0.0182,0.0171,0.0182,16269.0,930000,TQBR
USBN,2014-12-18 00:00:00,0.0182,0.0208,0.0182,0.0199,24520.0,1270000,TQBR
USBN,2014-12-19 00:00:00,0.0206,0.0209,0.0199,0.0199,7146.0,350000,TQBR
USBN,2014-12-22 00:00:00,0.0201,0.0207,0.018,0.0199,41138.0,2080000,TQBR
USBN,2014-12-23 00:00:00,0.02,0.0201,0.0197,0.0197,24595.0,1230000,TQBR
USBN,2014-12-24 00:00:00,0.019,0.019,0.0189,0.019,62883.0,3310000,TQBR
USBN,2014-12-25 00:00:00,0.0203,0.0203,0.0185,0.0185,11312.0,590000,TQBR
USBN,2014-12-26 00:00:00,0.019,0.021,0.019,0.019,287862.0,14610000,TQBR
USBN,2014-12-29 00:00:00,0.0206,0.0206,0.019,0.0198,1548.0,80000,TQBR
USBN,2014-12-30 00:00:00,0.0184,0.0194,0.0184,0.0194,2123.0,110000,TQBR
USBN,2015-01-05 00:00:00,0.0199,0.0209,0.0194,0.0194,5028.0,250000,TQBR
USBN,2015-01-06 00:00:00,0.0196,0.0205,0.0188,0.0201,3505.0,180000,TQBR
USBN,2015-01-08 00:00:00,0.0188,0.0208,0.0188,0.0208,1226.0,60000,TQBR
USBN,2015-01-12 00:00:00,0.0186,0.02,0.0185,0.0196,10478.0,540000,TQBR
USBN,2015-01-13 00:00:00,0.0189,0.0189,0.0189,0.0189,945.0,50000,TQBR
USBN,2015-01-14 00:00:00,0.0191,0.0214,0.0189,0.02,16825.0,830000,TQBR
USBN,2015-01-15 00:00:00,0.0198,0.0212,0.0195,0.0211,13539.0,670000,TQBR
USBN,2015-01-16 00:00:00,0.0209,0.021,0.0209,0.021,11543.0,550000,TQBR
USBN,2015-01-19 00:00:00,0.0212,0.0212,0.0194,0.02,4158.0,210000,TQBR
USBN,2015-01-20 00:00:00,0.021,0.021,0.0196,0.0209,3555.0,180000,TQBR
USBN,2015-01-21 00:00:00,0.0196,0.0208,0.0195,0.0208,197789.0,9910000,TQBR
USBN,2015-01-22 00:00:00,0.0212,0.0212,0.0193,0.0206,9968.0,490000,TQBR
USBN,2015-01-23 00:00:00,0.0201,0.0212,0.02,0.0207,8025.0,390000,TQBR
USBN,2015-01-26 00:00:00,0.0211,0.0215,0.0195,0.0199,121169.0,5800000,TQBR
USBN,2015-01-27 00:00:00,0.0208,0.0214,0.0196,0.0201,38193.0,1890000,TQBR
USBN,2015-01-28 00:00:00,0.0202,0.0209,0.02,0.02,32296.0,1610000,TQBR
USBN,2015-01-29 00:00:00,0.021,0.021,0.02,0.0206,110729.0,5480000,TQBR
USBN,2015-01-30 00:00:00,0.0209,0.022,0.0191,0.0204,16114.0,800000,TQBR
USBN,2015-02-02 00:00:00,0.0195,0.0285,0.0183,0.021,471679.0,23460000,TQBR
USBN,2015-02-04 00:00:00,0.0249,0.0249,0.0198,0.0206,4207.0,200000,TQBR
USBN,2015-02-05 00:00:00,0.0216,0.0216,0.0196,0.021,91707.0,4510000,TQBR
USBN,2015-02-06 00:00:00,0.0209,0.0212,0.02,0.0206,63062.0,3030000,TQBR
USBN,2015-02-09 00:00:00,0.022,0.0272,0.02,0.0208,187393.0,8990000,TQBR
USBN,2015-02-10 00:00:00,0.0212,0.0215,0.0204,0.0214,195535.0,9310000,TQBR
USBN,2015-02-11 00:00:00,0.0214,0.0218,0.0208,0.0213,35389.0,1660000,TQBR
USBN,2015-02-12 00:00:00,0.0216,0.022,0.02,0.0217,628382.0,29700000,TQBR
USBN,2015-02-13 00:00:00,0.0212,0.022,0.0212,0.0216,188395.0,8640000,TQBR
USBN,2015-02-16 00:00:00,0.0219,0.0219,0.0203,0.0217,73128.0,3510000,TQBR
USBN,2015-02-17 00:00:00,0.0206,0.0255,0.0206,0.0255,846117.0,34630000,TQBR
USBN,2015-02-18 00:00:00,0.0255,0.0355,0.0198,0.0259,2279726.0,94140000,TQBR
USBN,2015-02-19 00:00:00,0.0275,0.028,0.0235,0.0242,227302.0,9210000,TQBR
USBN,2015-02-20 00:00:00,0.0248,0.0252,0.0238,0.0238,35113.0,1420000,TQBR
USBN,2015-02-24 00:00:00,0.0236,0.0265,0.0236,0.0254,451926.0,18740000,TQBR
USBN,2015-02-25 00:00:00,0.0213,0.0285,0.0213,0.0276,279899.0,10880000,TQBR
USBN,2015-02-26 00:00:00,0.029,0.0328,0.026,0.0282,77771.0,2790000,TQBR
USBN,2015-02-27 00:00:00,0.0271,0.0295,0.0271,0.0294,180190.0,6250000,TQBR
USBN,2015-03-02 00:00:00,0.0294,0.0321,0.0284,0.0321,385567.0,12490000,TQBR
USBN,2015-03-03 00:00:00,0.0327,0.0337,0.0318,0.0337,204507.0,6170000,TQBR
USBN,2015-03-04 00:00:00,0.0324,0.0332,0.0316,0.0316,196275.0,6090000,TQBR
USBN,2015-03-05 00:00:00,0.0319,0.0334,0.0305,0.0306,88395.0,2770000,TQBR
USBN,2015-03-06 00:00:00,0.0319,0.0319,0.0288,0.0288,153548.0,5010000,TQBR
USBN,2015-03-10 00:00:00,0.0295,0.0295,0.0261,0.0286,172838.0,6320000,TQBR
USBN,2015-03-11 00:00:00,0.0269,0.0285,0.0257,0.0272,21450.0,790000,TQBR
USBN,2015-03-12 00:00:00,0.0273,0.028,0.0261,0.0279,201578.0,7230000,TQBR
USBN,2015-03-13 00:00:00,0.0273,0.0279,0.027,0.0274,15532.0,570000,TQBR
USBN,2015-03-16 00:00:00,0.0288,0.0288,0.025,0.027,75719.0,2900000,TQBR
USBN,2015-03-17 00:00:00,0.0295,0.0295,0.0257,0.0265,221618.0,8280000,TQBR
USBN,2015-03-18 00:00:00,0.028,0.0299,0.0276,0.0292,432437.0,14650000,TQBR
USBN,2015-03-19 00:00:00,0.0284,0.0315,0.0284,0.0314,762106.0,24550000,TQBR
USBN,2015-03-20 00:00:00,0.0304,0.0325,0.0294,0.032,183278.0,5850000,TQBR
USBN,2015-03-23 00:00:00,0.0314,0.0314,0.0283,0.0295,137213.0,4670000,TQBR
USBN,2015-03-24 00:00:00,0.0281,0.03,0.027,0.03,138994.0,4840000,TQBR
USBN,2015-03-25 00:00:00,0.0284,0.0299,0.0266,0.0299,98421.0,3480000,TQBR
USBN,2015-03-26 00:00:00,0.0303,0.0312,0.0287,0.029,38133.0,1310000,TQBR
USBN,2015-03-27 00:00:00,0.029,0.0298,0.0278,0.0294,5400.0,190000,TQBR
USBN,2015-03-30 00:00:00,0.0297,0.0305,0.0286,0.0303,47847.0,1630000,TQBR
USBN,2015-03-31 00:00:00,0.03,0.0304,0.0299,0.0299,3903.0,130000,TQBR
USBN,2015-04-01 00:00:00,0.0302,0.031,0.0289,0.03,229179.0,7600000,TQBR
USBN,2015-04-02 00:00:00,0.032,0.033,0.0285,0.031,167717.0,5780000,TQBR
USBN,2015-04-03 00:00:00,0.0319,0.0327,0.0285,0.0297,146838.0,4990000,TQBR
USBN,2015-04-06 00:00:00,0.0299,0.03,0.0288,0.03,141012.0,4710000,TQBR
USBN,2015-04-07 00:00:00,0.0295,0.0301,0.0288,0.0296,426492.0,14460000,TQBR
USBN,2015-04-08 00:00:00,0.0308,0.0317,0.0282,0.029,80489.0,2770000,TQBR
USBN,2015-04-09 00:00:00,0.0298,0.0298,0.0283,0.0288,14319.0,500000,TQBR
USBN,2015-04-10 00:00:00,0.0286,0.0297,0.0286,0.0289,24953.0,860000,TQBR
USBN,2015-04-13 00:00:00,0.0298,0.0299,0.0285,0.0297,32587.0,1120000,TQBR
USBN,2015-04-15 00:00:00,0.0295,0.0295,0.0292,0.0292,3507.0,120000,TQBR
USBN,2015-04-16 00:00:00,0.0291,0.0292,0.0287,0.0291,5486.0,190000,TQBR
USBN,2015-04-17 00:00:00,0.0296,0.0309,0.028,0.0291,10101.0,350000,TQBR
USBN,2015-04-20 00:00:00,0.0296,0.0296,0.0291,0.0291,1461.0,50000,TQBR
USBN,2015-04-21 00:00:00,0.03,0.03,0.0277,0.0281,123031.0,4370000,TQBR
USBN,2015-04-22 00:00:00,0.0282,0.0292,0.0273,0.0289,16256.0,570000,TQBR
USBN,2015-04-23 00:00:00,0.0277,0.0292,0.026,0.0272,48239.0,1800000,TQBR
USBN,2015-04-24 00:00:00,0.0275,0.0295,0.0273,0.0286,177882.0,6190000,TQBR
USBN,2015-04-27 00:00:00,0.028,0.0286,0.025,0.0274,208399.0,7920000,TQBR
USBN,2015-04-28 00:00:00,0.028,0.0283,0.0261,0.0267,20393.0,760000,TQBR
USBN,2015-04-29 00:00:00,0.0284,0.0284,0.026,0.0274,8679.0,320000,TQBR
USBN,2015-04-30 00:00:00,0.0274,0.0286,0.0263,0.0281,41276.0,1520000,TQBR
USBN,2015-05-05 00:00:00,0.0284,0.0292,0.0266,0.0281,307313.0,10910000,TQBR
USBN,2015-05-06 00:00:00,0.0295,0.0295,0.0262,0.0275,53354.0,1920000,TQBR
USBN,2015-05-07 00:00:00,0.0289,0.0291,0.0262,0.0277,17258.0,630000,TQBR
USBN,2015-05-08 00:00:00,0.028,0.0289,0.0278,0.0289,17897.0,640000,TQBR
USBN,2015-05-12 00:00:00,0.0294,0.0294,0.0275,0.0289,12509.0,440000,TQBR
USBN,2015-05-13 00:00:00,0.029,0.0295,0.0282,0.0287,21094.0,730000,TQBR
USBN,2015-05-14 00:00:00,0.0287,0.0299,0.0287,0.0299,186358.0,6380000,TQBR
USBN,2015-05-15 00:00:00,0.03,0.031,0.0276,0.0286,1241882.0,41700000,TQBR
USBN,2015-05-18 00:00:00,0.0304,0.0304,0.0262,0.0275,190239.0,6970000,TQBR
USBN,2015-05-19 00:00:00,0.0275,0.0275,0.0253,0.0265,142506.0,5420000,TQBR
USBN,2015-05-20 00:00:00,0.027,0.0274,0.0256,0.0264,149962.0,5730000,TQBR
USBN,2015-05-21 00:00:00,0.027,0.027,0.0259,0.026,57017.0,2190000,TQBR
USBN,2015-05-22 00:00:00,0.0277,0.0277,0.027,0.0273,19604.0,720000,TQBR
USBN,2015-05-25 00:00:00,0.0287,0.029,0.0264,0.0289,155498.0,5460000,TQBR
USBN,2015-05-26 00:00:00,0.0277,0.0288,0.0271,0.0284,48027.0,1730000,TQBR
USBN,2015-05-27 00:00:00,0.029,0.029,0.027,0.0284,39420.0,1400000,TQBR
USBN,2015-05-28 00:00:00,0.028,0.029,0.028,0.0287,399421.0,13790000,TQBR
USBN,2015-05-29 00:00:00,0.0287,0.029,0.0252,0.0275,545409.0,19990000,TQBR
USBN,2015-06-01 00:00:00,0.0276,0.028,0.027,0.028,313782.0,11360000,TQBR
USBN,2015-06-02 00:00:00,0.028,0.0289,0.027,0.0278,61587.0,2270000,TQBR
