ticker,tradedate,open,high,low,close,value,volume,boardid
UTAR,2012-02-27 00:00:00,19.169,19.169,17.5,18.35,5863688.7,323500,TQBR
UTAR,2012-02-28 00:00:00,18.32,18.496,18.0,18.17,6798881.0,374100,TQBR
UTAR,2012-02-29 00:00:00,18.175,18.175,18.0,18.174,6204445.4,342600,TQBR
UTAR,2012-03-01 00:00:00,18.427,18.499,18.18,18.399,3619059.1,198400,TQBR
UTAR,2012-03-02 00:00:00,18.447,18.447,18.011,18.295,2914749.6,160100,TQBR
UTAR,2012-03-05 00:00:00,18.497,18.497,17.53,18.099,3925098.4,217900,TQBR
UTAR,2012-03-06 00:00:00,18.254,18.489,17.999,18.0,1736171.7,96000,TQBR
UTAR,2012-03-07 00:00:00,18.29,18.29,18.02,18.03,1305867.3,72400,TQBR
UTAR,2012-03-11 00:00:00,18.045,18.055,17.999,18.055,645243.2,35800,TQBR
UTAR,2012-03-12 00:00:00,18.0,18.18,18.0,18.1,6717423.0,372300,TQBR
UTAR,2012-03-13 00:00:00,18.11,18.175,18.0,18.175,2136096.8,118000,TQBR
UTAR,2012-03-14 00:00:00,18.0,18.25,17.999,18.25,1575225.5,86900,TQBR
UTAR,2012-03-15 00:00:00,18.26,18.26,18.0,18.03,977125.0,53900,TQBR
UTAR,2012-03-16 00:00:00,18.004,18.498,17.8,18.0,962776.5,53400,TQBR
UTAR,2012-03-19 00:00:00,17.999,18.082,14.301,17.815,7714093.9,431000,TQBR
UTAR,2012-03-20 00:00:00,17.799,18.0,17.2,18.0,1260442.5,70800,TQBR
UTAR,2012-03-21 00:00:00,17.512,18.0,17.206,18.0,999402.7,56000,TQBR
UTAR,2012-03-22 00:00:00,17.999,18.071,17.796,18.071,582670.6,32400,TQBR
UTAR,2012-03-23 00:00:00,18.082,18.695,18.02,18.695,1004464.4,54700,TQBR
UTAR,2012-03-26 00:00:00,18.695,19.47,18.695,19.47,1500912.0,79200,TQBR
UTAR,2012-03-27 00:00:00,19.939,20.497,19.601,20.155,1297752.8,64900,TQBR
UTAR,2012-03-28 00:00:00,20.155,20.155,19.436,19.999,1314605.5,65900,TQBR
UTAR,2012-03-29 00:00:00,19.9,20.0,18.0,19.8,844649.7,44300,TQBR
UTAR,2012-03-30 00:00:00,19.901,20.4,19.901,20.19,967341.1,47900,TQBR
UTAR,2012-04-02 00:00:00,20.189,20.2,19.4,19.913,1484971.3,76000,TQBR
UTAR,2012-04-03 00:00:00,19.849,20.489,18.709,19.6,573004.9,28900,TQBR
UTAR,2012-04-04 00:00:00,19.999,20.0,19.401,19.809,57407.3,2900,TQBR
UTAR,2012-04-05 00:00:00,19.951,19.97,19.951,19.97,13976.8,700,TQBR
UTAR,2012-04-06 00:00:00,19.2,19.344,19.2,19.3,222883.9,11600,TQBR
UTAR,2012-04-09 00:00:00,18.531,19.4,18.53,19.4,34200.6,1800,TQBR
UTAR,2012-04-10 00:00:00,18.625,19.047,18.5,18.5,163409.4,8800,TQBR
UTAR,2012-04-11 00:00:00,18.599,20.231,18.001,18.5,301879.7,15500,TQBR
UTAR,2012-04-12 00:00:00,18.5,18.5,18.211,18.295,18254.6,1000,TQBR
UTAR,2012-04-13 00:00:00,18.121,18.5,18.121,18.3,18281.8,1000,TQBR
UTAR,2012-04-16 00:00:00,18.301,18.637,18.0,18.003,364106.7,20200,TQBR
UTAR,2012-04-17 00:00:00,18.4,18.4,18.021,18.2,950946.0,51700,TQBR
UTAR,2012-04-18 00:00:00,18.203,18.62,18.2,18.62,63833.8,3500,TQBR
UTAR,2012-04-19 00:00:00,18.827,19.171,18.46,19.171,930221.4,49100,TQBR
UTAR,2012-04-20 00:00:00,19.101,19.8,19.0,19.8,977942.2,51200,TQBR
UTAR,2012-04-23 00:00:00,19.8,21.0,19.5,19.5,440336.5,22500,TQBR
UTAR,2012-04-24 00:00:00,20.5,20.6,20.0,20.5,1478110.8,72900,TQBR
UTAR,2012-04-25 00:00:00,20.5,20.6,20.239,20.6,333116.1,16400,TQBR
UTAR,2012-04-26 00:00:00,20.649,20.649,20.649,20.649,2064.9,100,TQBR
UTAR,2012-04-27 00:00:00,20.631,20.631,20.047,20.587,107871.2,5300,TQBR
UTAR,2012-04-28 00:00:00,21.0,21.5,20.04,21.5,974521.6,45800,TQBR
UTAR,2012-05-02 00:00:00,21.151,21.151,20.5,20.5,162955.8,7900,TQBR
UTAR,2012-05-03 00:00:00,20.551,20.551,20.1,20.496,1338161.2,65600,TQBR
UTAR,2012-05-04 00:00:00,20.4,20.4,20.2,20.399,1770776.1,87100,TQBR
UTAR,2012-05-05 00:00:00,18.197,20.3,18.196,20.3,61908.4,3100,TQBR
