ticker,tradedate,open,high,low,close,value,volume,boardid
VEON-RX,2021-11-26 00:00:00,138.82,165.0,133.02,139.0,15357573.8,111700,TQBR
VEON-RX,2021-11-29 00:00:00,135.78,149.0,130.0,136.6,11745157.2,87670,TQBR
VEON-RX,2021-11-30 00:00:00,136.32,136.32,128.0,130.0,4118151.2,30670,TQBR
VEON-RX,2021-12-01 00:00:00,130.02,138.62,130.0,138.6,15041041.4,112090,TQBR
VEON-RX,2021-12-02 00:00:00,138.6,138.6,134.78,137.56,14935830.2,109070,TQBR
VEON-RX,2021-12-03 00:00:00,137.58,138.06,134.62,135.48,4486324.2,32870,TQBR
VEON-RX,2021-12-06 00:00:00,135.48,135.48,132.7,134.44,9799102.8,73090,TQBR
VEON-RX,2021-12-07 00:00:00,133.62,136.74,133.24,135.46,27057701.2,199970,TQBR
VEON-RX,2021-12-08 00:00:00,135.48,136.32,132.82,135.38,13229108.2,97670,TQBR
VEON-RX,2021-12-09 00:00:00,135.4,135.56,133.7,134.74,10419626.6,77230,TQBR
VEON-RX,2021-12-10 00:00:00,134.78,134.92,133.14,133.26,12289914.8,91790,TQBR
VEON-RX,2021-12-13 00:00:00,133.5,133.82,128.52,128.52,17067216.8,129800,TQBR
VEON-RX,2021-12-14 00:00:00,128.84,129.3,127.74,128.84,30583016.8,237710,TQBR
VEON-RX,2021-12-15 00:00:00,129.18,129.54,127.9,129.3,11142624.4,86570,TQBR
VEON-RX,2021-12-16 00:00:00,128.92,131.4,128.92,131.3,9014383.4,69130,TQBR
VEON-RX,2021-12-17 00:00:00,131.4,131.5,130.18,130.7,12910059.0,98780,TQBR
VEON-RX,2021-12-20 00:00:00,130.68,130.7,120.0,122.96,53136475.4,421040,TQBR
VEON-RX,2021-12-21 00:00:00,123.2,127.0,123.2,126.04,31601069.8,253800,TQBR
VEON-RX,2021-12-22 00:00:00,126.0,126.74,125.0,125.64,29291408.4,232720,TQBR
VEON-RX,2021-12-23 00:00:00,125.36,126.88,125.0,125.48,12131082.8,96390,TQBR
