ticker,tradedate,open,high,low,close,value,volume,boardid
VGSB,2014-06-09 00:00:00,0.378,0.3883,0.378,0.3883,766.3,2000,TQBR
VGSB,2014-06-11 00:00:00,0.4395,0.4395,0.4395,0.4395,1318.5,3000,TQBR
VGSB,2014-06-16 00:00:00,0.4001,0.4001,0.4,0.4,12400.1,31000,TQBR
VGSB,2014-06-23 00:00:00,0.4309,0.4309,0.4309,0.4309,430.9,1000,TQBR
VGSB,2014-06-27 00:00:00,0.4291,0.45,0.4291,0.45,57174.6,131000,TQBR
VGSB,2014-06-30 00:00:00,0.45,0.45,0.45,0.45,2250.0,5000,TQBR
VGSB,2014-07-01 00:00:00,0.45,0.5001,0.45,0.5,18722.1,39000,TQBR
VGSB,2014-07-02 00:00:00,0.4499,0.542,0.4499,0.542,6981.1,14000,TQBR
VGSB,2014-07-03 00:00:00,0.5418,0.5418,0.5418,0.5418,3250.8,6000,TQBR
VGSB,2014-07-04 00:00:00,0.5417,0.5417,0.5417,0.5417,1625.1,3000,TQBR
VGSB,2014-07-24 00:00:00,0.417,0.417,0.403,0.403,3682.1,9000,TQBR
VGSB,2014-07-28 00:00:00,0.403,0.4994,0.403,0.4993,26174.0,53000,TQBR
VGSB,2014-07-31 00:00:00,0.4033,0.4033,0.403,0.403,2821.3,7000,TQBR
VGSB,2014-08-01 00:00:00,0.4034,0.4034,0.4034,0.4034,403.4,1000,TQBR
VGSB,2014-08-05 00:00:00,0.403,0.403,0.4029,0.403,17328.9,43000,TQBR
VGSB,2014-08-06 00:00:00,0.403,0.403,0.403,0.403,403.0,1000,TQBR
VGSB,2014-08-14 00:00:00,0.4,0.42,0.3994,0.42,1618.8,4000,TQBR
VGSB,2014-08-28 00:00:00,0.3773,0.3773,0.3766,0.3766,1884.3,5000,TQBR
VGSB,2014-09-01 00:00:00,0.3767,0.3767,0.3767,0.3767,2636.9,7000,TQBR
VGSB,2014-09-04 00:00:00,0.3768,0.3768,0.3767,0.3767,753.5,2000,TQBR
VGSB,2014-09-08 00:00:00,0.3763,0.3763,0.376,0.376,2256.3,6000,TQBR
VGSB,2014-09-09 00:00:00,0.376,0.376,0.376,0.376,376.0,1000,TQBR
VGSB,2014-09-12 00:00:00,0.376,0.376,0.36,0.36,2240.0,6000,TQBR
VGSB,2014-09-16 00:00:00,0.3505,0.4509,0.35,0.4509,1151.4,3000,TQBR
VGSB,2014-10-01 00:00:00,0.35,0.35,0.35,0.35,350.0,1000,TQBR
VGSB,2014-10-03 00:00:00,0.473,0.473,0.467,0.467,940.0,2000,TQBR
VGSB,2014-10-08 00:00:00,0.341,0.399,0.341,0.399,8239.0,23000,TQBR
VGSB,2014-10-16 00:00:00,0.35,0.35,0.35,0.35,350.0,1000,TQBR
VGSB,2014-10-20 00:00:00,0.35,0.35,0.35,0.35,350.0,1000,TQBR
VGSB,2014-10-30 00:00:00,0.394,0.399,0.394,0.399,793.0,2000,TQBR
VGSB,2014-11-03 00:00:00,0.435,0.442,0.351,0.351,2318.0,6000,TQBR
VGSB,2014-11-05 00:00:00,0.379,0.382,0.379,0.38,1521.0,4000,TQBR
VGSB,2014-11-07 00:00:00,0.341,0.341,0.341,0.341,682.0,2000,TQBR
VGSB,2014-11-11 00:00:00,0.424,0.429,0.399,0.41,6260.0,15000,TQBR
VGSB,2014-11-17 00:00:00,0.411,0.452,0.411,0.42,5631.0,13000,TQBR
VGSB,2014-11-18 00:00:00,0.348,0.348,0.348,0.348,348.0,1000,TQBR
VGSB,2014-11-19 00:00:00,0.449,0.497,0.394,0.394,4284.0,10000,TQBR
VGSB,2014-11-25 00:00:00,0.449,0.452,0.43,0.43,4028.0,9000,TQBR
VGSB,2014-11-26 00:00:00,0.498,0.5,0.498,0.5,2496.0,5000,TQBR
VGSB,2014-11-27 00:00:00,0.544,0.547,0.5,0.546,5183.0,10000,TQBR
VGSB,2014-12-04 00:00:00,0.547,0.547,0.547,0.547,1094.0,2000,TQBR
VGSB,2014-12-08 00:00:00,0.41,0.41,0.41,0.41,410.0,1000,TQBR
VGSB,2014-12-15 00:00:00,0.373,0.373,0.372,0.372,745.0,2000,TQBR
VGSB,2014-12-16 00:00:00,0.345,0.345,0.343,0.343,3434.0,10000,TQBR
VGSB,2014-12-17 00:00:00,0.477,0.478,0.477,0.478,1432.0,3000,TQBR
VGSB,2014-12-24 00:00:00,0.537,0.538,0.537,0.538,2151.0,4000,TQBR
VGSB,2014-12-25 00:00:00,0.538,0.538,0.538,0.538,538.0,1000,TQBR
VGSB,2015-01-05 00:00:00,0.5,0.5,0.5,0.5,500.0,1000,TQBR
VGSB,2015-01-22 00:00:00,0.399,0.54,0.398,0.54,9827.0,19000,TQBR
VGSB,2015-01-23 00:00:00,0.546,0.546,0.546,0.546,546.0,1000,TQBR
VGSB,2015-01-27 00:00:00,0.48,0.495,0.48,0.495,125775.0,262000,TQBR
VGSB,2015-01-28 00:00:00,0.45,0.45,0.45,0.45,450.0,1000,TQBR
VGSB,2015-01-29 00:00:00,0.397,0.539,0.397,0.539,936.0,2000,TQBR
VGSB,2015-01-30 00:00:00,0.393,0.393,0.393,0.393,393.0,1000,TQBR
VGSB,2015-02-02 00:00:00,0.404,0.52,0.382,0.52,21177.0,42000,TQBR
VGSB,2015-02-03 00:00:00,0.512,0.547,0.46,0.46,3430.0,7000,TQBR
VGSB,2015-02-06 00:00:00,0.537,0.554,0.47,0.554,7067.0,14000,TQBR
VGSB,2015-02-09 00:00:00,0.53,0.55,0.53,0.55,10250.0,19000,TQBR
VGSB,2015-02-10 00:00:00,0.55,0.55,0.55,0.55,1100.0,2000,TQBR
VGSB,2015-02-11 00:00:00,0.46,0.46,0.46,0.46,460.0,1000,TQBR
VGSB,2015-02-12 00:00:00,0.559,0.602,0.49,0.49,9302.0,17000,TQBR
VGSB,2015-02-17 00:00:00,0.447,0.577,0.447,0.539,5597.0,10000,TQBR
VGSB,2015-02-18 00:00:00,0.601,0.751,0.536,0.751,74074.0,112000,TQBR
VGSB,2015-02-19 00:00:00,0.617,0.811,0.617,0.811,43676.0,67000,TQBR
VGSB,2015-02-20 00:00:00,0.812,0.882,0.8,0.882,13198.0,16000,TQBR
VGSB,2015-02-24 00:00:00,0.88,0.971,0.691,0.971,12076.0,13000,TQBR
VGSB,2015-02-25 00:00:00,1.0,1.0,1.0,1.0,12000.0,12000,TQBR
VGSB,2015-02-27 00:00:00,0.756,1.065,0.756,0.85,14326.0,15000,TQBR
VGSB,2015-03-02 00:00:00,0.986,0.986,0.986,0.986,986.0,1000,TQBR
VGSB,2015-03-03 00:00:00,0.99,0.99,0.99,0.99,4950.0,5000,TQBR
VGSB,2015-03-10 00:00:00,0.809,0.998,0.809,0.998,4801.0,5000,TQBR
VGSB,2015-03-16 00:00:00,0.989,1.32,0.615,0.737,234824.0,306000,TQBR
VGSB,2015-03-17 00:00:00,0.722,0.729,0.622,0.622,25702.0,37000,TQBR
VGSB,2015-03-19 00:00:00,0.619,0.622,0.619,0.619,4957.0,8000,TQBR
VGSB,2015-03-20 00:00:00,0.62,0.639,0.598,0.639,9896.0,16000,TQBR
VGSB,2015-03-25 00:00:00,0.562,0.562,0.562,0.562,3372.0,6000,TQBR
VGSB,2015-03-27 00:00:00,0.668,0.668,0.668,0.668,668.0,1000,TQBR
VGSB,2015-03-31 00:00:00,0.668,0.668,0.668,0.668,668.0,1000,TQBR
