ticker,tradedate,open,high,low,close,value,volume,boardid
VGSBP,2014-06-09 00:00:00,0.45,0.45,0.45,0.45,2250.0,5000,TQBR
VGSBP,2014-06-10 00:00:00,0.45,0.4699,0.45,0.4699,2719.9,6000,TQBR
VGSBP,2014-06-11 00:00:00,0.45,0.45,0.45,0.45,2250.0,5000,TQBR
VGSBP,2014-06-16 00:00:00,0.401,0.4011,0.399,0.4,24790.1,62000,TQBR
VGSBP,2014-06-17 00:00:00,0.43,0.43,0.43,0.43,2150.0,5000,TQBR
VGSBP,2014-06-20 00:00:00,0.41,0.41,0.41,0.41,3690.0,9000,TQBR
VGSBP,2014-06-27 00:00:00,0.41,0.4555,0.41,0.4555,22795.5,55000,TQBR
VGSBP,2014-06-30 00:00:00,0.4499,0.45,0.4499,0.45,2249.8,5000,TQBR
VGSBP,2014-07-01 00:00:00,0.45,0.5294,0.45,0.5294,13676.5,28000,TQBR
VGSBP,2014-07-02 00:00:00,0.45,0.45,0.45,0.45,2250.0,5000,TQBR
VGSBP,2014-07-03 00:00:00,0.4091,0.4799,0.37,0.4799,40414.4,108000,TQBR
VGSBP,2014-07-14 00:00:00,0.4011,0.63,0.4,0.4999,54810.5,103000,TQBR
VGSBP,2014-07-17 00:00:00,0.5,0.638,0.499,0.499,27404.1,46000,TQBR
VGSBP,2014-07-22 00:00:00,0.46,0.46,0.46,0.46,5060.0,11000,TQBR
VGSBP,2014-07-25 00:00:00,0.444,0.444,0.444,0.444,3996.0,9000,TQBR
VGSBP,2014-07-28 00:00:00,0.4599,0.46,0.4599,0.46,19778.9,43000,TQBR
VGSBP,2014-08-11 00:00:00,0.5319,0.5858,0.5319,0.5858,14428.9,25000,TQBR
VGSBP,2014-08-12 00:00:00,0.5,0.5,0.5,0.5,1000.0,2000,TQBR
VGSBP,2014-08-14 00:00:00,0.411,0.411,0.4103,0.4103,2052.2,5000,TQBR
VGSBP,2014-08-18 00:00:00,0.4999,0.4999,0.48,0.49,5903.6,12000,TQBR
VGSBP,2014-09-15 00:00:00,0.5333,0.5855,0.5333,0.5855,1118.8,2000,TQBR
VGSBP,2014-09-16 00:00:00,0.5845,0.5845,0.5845,0.5845,1753.5,3000,TQBR
VGSBP,2014-09-17 00:00:00,0.371,0.3711,0.371,0.371,30051.1,81000,TQBR
VGSBP,2014-09-23 00:00:00,0.3645,0.3645,0.3645,0.3645,7654.5,21000,TQBR
VGSBP,2014-09-24 00:00:00,0.3643,0.3643,0.364,0.364,7647.0,21000,TQBR
VGSBP,2014-09-25 00:00:00,0.3053,0.4,0.3052,0.37,29415.9,93000,TQBR
VGSBP,2014-10-01 00:00:00,0.399,0.488,0.399,0.4,7686.0,19000,TQBR
VGSBP,2014-10-06 00:00:00,0.4,0.4,0.4,0.4,800.0,2000,TQBR
VGSBP,2014-10-30 00:00:00,0.489,0.51,0.489,0.51,999.0,2000,TQBR
VGSBP,2014-11-03 00:00:00,0.6,0.634,0.6,0.634,5668.0,9000,TQBR
