ticker,tradedate,open,high,low,close,value,volume,boardid
VRSB,2014-06-18 00:00:00,18.0,18.0,18.0,18.0,18000,1000,TQBR
VRSB,2014-06-26 00:00:00,19.898,25.144,19.898,23.6,1542688,65000,TQBR
VRSB,2014-07-15 00:00:00,15.0,15.0,15.0,15.0,30000,2000,TQBR
VRSB,2014-08-05 00:00:00,17.0,17.0,17.0,17.0,34000,2000,TQBR
VRSB,2014-08-07 00:00:00,17.0,17.0,17.0,17.0,17000,1000,TQBR
VRSB,2014-08-15 00:00:00,18.999,19.0,18.999,19.0,170999,9000,TQBR
VRSB,2014-09-01 00:00:00,16.5,17.9,12.0,17.0,813613,50000,TQBR
VRSB,2014-09-02 00:00:00,19.0,19.0,19.0,19.0,760000,40000,TQBR
VRSB,2014-09-03 00:00:00,19.0,19.0,19.0,19.0,19000,1000,TQBR
VRSB,2014-10-13 00:00:00,17.75,17.75,17.75,17.75,781000,44000,TQBR
VRSB,2014-10-23 00:00:00,12.0,12.0,12.0,12.0,12000,1000,TQBR
VRSB,2014-10-27 00:00:00,18.15,18.15,12.25,12.25,30400,2000,TQBR
VRSB,2014-10-28 00:00:00,17.6,17.6,13.8,17.6,49000,3000,TQBR
VRSB,2014-10-29 00:00:00,14.0,14.0,14.0,14.0,14000,1000,TQBR
VRSB,2014-10-30 00:00:00,18.0,18.0,12.1,12.1,174100,10000,TQBR
VRSB,2014-11-10 00:00:00,11.3,16.0,11.3,16.0,27300,2000,TQBR
VRSB,2014-11-18 00:00:00,11.5,11.5,11.5,11.5,11500,1000,TQBR
VRSB,2014-11-25 00:00:00,18.15,18.15,18.15,18.15,18150,1000,TQBR
VRSB,2014-11-26 00:00:00,19.0,19.0,19.0,19.0,19000,1000,TQBR
VRSB,2014-11-27 00:00:00,18.95,19.0,12.05,19.0,87950,5000,TQBR
VRSB,2014-11-28 00:00:00,19.0,19.0,19.0,19.0,19000,1000,TQBR
VRSB,2014-12-15 00:00:00,19.0,20.1,12.0,16.0,183250,12000,TQBR
VRSB,2014-12-16 00:00:00,16.0,16.0,16.0,16.0,32000,2000,TQBR
VRSB,2014-12-18 00:00:00,21.95,22.35,21.95,22.0,265700,12000,TQBR
VRSB,2014-12-19 00:00:00,22.35,23.0,22.35,23.0,631000,28000,TQBR
VRSB,2014-12-23 00:00:00,16.0,16.0,16.0,16.0,16000,1000,TQBR
VRSB,2015-03-11 00:00:00,14.0,14.0,14.0,14.0,14000,1000,TQBR
VRSB,2015-04-09 00:00:00,14.0,14.0,10.6,10.6,24600,2000,TQBR
VRSB,2015-06-19 00:00:00,13.55,16.0,13.55,16.0,187100,12000,TQBR
VRSB,2015-07-13 00:00:00,16.0,16.0,16.0,16.0,16000,1000,TQBR
VRSB,2015-07-24 00:00:00,22.0,22.0,16.1,16.1,38100,2000,TQBR
VRSB,2015-08-13 00:00:00,16.1,16.1,16.1,16.1,32200,2000,TQBR
VRSB,2015-08-20 00:00:00,13.7,13.7,13.7,13.7,13700,1000,TQBR
VRSB,2015-08-26 00:00:00,15.5,15.5,15.5,15.5,15500,1000,TQBR
VRSB,2015-09-07 00:00:00,16.0,16.0,16.0,16.0,16000,1000,TQBR
VRSB,2015-09-11 00:00:00,17.0,17.0,17.0,17.0,51000,3000,TQBR
VRSB,2015-09-21 00:00:00,17.75,17.75,17.75,17.75,53250,3000,TQBR
VRSB,2015-11-02 00:00:00,19.15,19.15,19.15,19.15,19150,1000,TQBR
VRSB,2015-11-27 00:00:00,18.25,18.25,18.25,18.25,18250,1000,TQBR
VRSB,2015-12-01 00:00:00,19.1,19.1,19.1,19.1,191000,10000,TQBR
VRSB,2015-12-02 00:00:00,19.75,19.75,19.1,19.1,254800,13000,TQBR
VRSB,2015-12-07 00:00:00,19.1,19.1,19.1,19.1,19100,1000,TQBR
VRSB,2015-12-08 00:00:00,19.1,19.1,19.1,19.1,95500,5000,TQBR
VRSB,2015-12-16 00:00:00,15.5,15.5,15.5,15.5,15500,1000,TQBR
VRSB,2015-12-22 00:00:00,17.15,19.05,17.1,19.05,327700,19000,TQBR
VRSB,2015-12-23 00:00:00,16.7,17.15,16.7,17.15,50550,3000,TQBR
VRSB,2015-12-24 00:00:00,16.7,17.3,16.7,17.25,51250,3000,TQBR
VRSB,2015-12-25 00:00:00,17.1,17.1,17.1,17.1,17100,1000,TQBR
VRSB,2015-12-30 00:00:00,19.9,19.9,17.2,17.3,173800,9000,TQBR
VRSB,2016-01-04 00:00:00,17.2,17.2,17.2,17.2,17200,1000,TQBR
VRSB,2016-01-05 00:00:00,17.1,17.1,12.5,12.5,46650,3000,TQBR
VRSB,2016-01-13 00:00:00,16.25,16.25,16.25,16.25,16250,1000,TQBR
VRSB,2016-01-14 00:00:00,16.1,16.1,16.1,16.1,16100,1000,TQBR
VRSB,2016-01-15 00:00:00,16.85,16.85,16.85,16.85,16850,1000,TQBR
VRSB,2016-01-26 00:00:00,17.6,17.6,17.0,17.0,34600,2000,TQBR
VRSB,2016-01-28 00:00:00,17.7,17.7,17.7,17.7,35400,2000,TQBR
VRSB,2016-01-29 00:00:00,20.1,20.1,20.1,20.1,20100,1000,TQBR
