ticker,tradedate,open,high,low,close,value,volume,boardid
VSYD,2014-11-11 00:00:00,3250,3250,3250,3250,3250.0,1,TQBR
VSYD,2015-04-28 00:00:00,2990,2990,2990,2990,2990.0,1,TQBR
VSYD,2015-05-07 00:00:00,2990,3480,1800,1840,36000.0,14,TQBR
VSYD,2015-05-08 00:00:00,2560,2570,1830,2570,20900.0,9,TQBR
VSYD,2015-05-12 00:00:00,2570,2930,1820,2930,12070.0,5,TQBR
VSYD,2015-05-26 00:00:00,2980,2980,2980,2980,2980.0,1,TQBR
VSYD,2015-06-09 00:00:00,1830,2980,1830,2500,47950.0,18,TQBR
VSYD,2015-06-10 00:00:00,2880,3360,2880,3360,6240.0,2,TQBR
VSYD,2015-06-11 00:00:00,2140,2340,2140,2340,43230.0,19,TQBR
VSYD,2015-06-16 00:00:00,2150,2150,2100,2100,8500.0,4,TQBR
VSYD,2015-06-18 00:00:00,1990,1990,1980,1980,5950.0,3,TQBR
VSYD,2015-06-19 00:00:00,1990,2200,1990,2200,12690.0,6,TQBR
VSYD,2015-06-23 00:00:00,2100,2100,2100,2100,8400.0,4,TQBR
VSYD,2015-06-29 00:00:00,2100,2100,2100,2100,6300.0,3,TQBR
VSYD,2015-06-30 00:00:00,2100,2100,2100,2100,8400.0,4,TQBR
VSYD,2015-07-07 00:00:00,2100,2100,1950,1950,22950.0,11,TQBR
VSYD,2015-07-08 00:00:00,2200,2200,2200,2200,46200.0,21,TQBR
VSYD,2015-07-20 00:00:00,1870,2000,1860,1890,28670.0,15,TQBR
VSYD,2015-07-22 00:00:00,1980,1980,1980,1980,1980.0,1,TQBR
VSYD,2015-08-10 00:00:00,1780,2170,1780,2170,3950.0,2,TQBR
VSYD,2015-08-11 00:00:00,1840,2370,1840,2370,6580.0,3,TQBR
VSYD,2015-08-26 00:00:00,1910,1910,1840,1840,3750.0,2,TQBR
VSYD,2015-08-28 00:00:00,2690,2690,2690,2690,2690.0,1,TQBR
VSYD,2015-09-03 00:00:00,2350,2390,2350,2390,9520.0,4,TQBR
VSYD,2015-09-07 00:00:00,2300,2300,2300,2300,2300.0,1,TQBR
VSYD,2015-09-08 00:00:00,2300,3190,2300,3190,25310.0,9,TQBR
VSYD,2015-09-09 00:00:00,3290,3490,3090,3090,77790.0,24,TQBR
VSYD,2015-09-10 00:00:00,3010,3010,2720,2720,11550.0,4,TQBR
VSYD,2015-09-11 00:00:00,2610,2870,2610,2840,8320.0,3,TQBR
VSYD,2015-09-14 00:00:00,2800,3090,2710,2990,23490.0,8,TQBR
VSYD,2015-09-15 00:00:00,2800,2990,2800,2890,20160.0,7,TQBR
VSYD,2015-09-17 00:00:00,2990,2990,2990,2990,5980.0,2,TQBR
VSYD,2015-09-21 00:00:00,3080,3080,3000,3000,6080.0,2,TQBR
VSYD,2015-09-30 00:00:00,2790,2790,2790,2790,2790.0,1,TQBR
VSYD,2015-10-01 00:00:00,2870,2870,2870,2870,2870.0,1,TQBR
VSYD,2015-10-02 00:00:00,2990,2990,2990,2990,2990.0,1,TQBR
VSYD,2015-10-14 00:00:00,2700,3090,2700,3090,14540.0,5,TQBR
VSYD,2015-10-15 00:00:00,2990,2990,2850,2850,8740.0,3,TQBR
VSYD,2015-10-19 00:00:00,2890,3090,2890,2990,23750.0,8,TQBR
VSYD,2015-10-20 00:00:00,2950,2990,2930,2990,11820.0,4,TQBR
VSYD,2015-10-21 00:00:00,2950,2990,2900,2990,11780.0,4,TQBR
VSYD,2015-10-22 00:00:00,2950,2970,1870,2740,42170.0,17,TQBR
VSYD,2015-10-26 00:00:00,2600,3820,2600,3070,60310.0,19,TQBR
VSYD,2015-10-27 00:00:00,3050,3080,3050,3080,6130.0,2,TQBR
VSYD,2015-10-28 00:00:00,3000,3000,3000,3000,3000.0,1,TQBR
VSYD,2015-10-29 00:00:00,3080,3080,3080,3080,3080.0,1,TQBR
VSYD,2015-10-30 00:00:00,3000,3080,2960,3080,12030.0,4,TQBR
VSYD,2015-11-02 00:00:00,3000,3000,2930,2990,8920.0,3,TQBR
VSYD,2015-11-03 00:00:00,2930,2930,2850,2850,5780.0,2,TQBR
VSYD,2015-11-05 00:00:00,2800,2800,2800,2800,2800.0,1,TQBR
VSYD,2015-11-10 00:00:00,2700,2870,2700,2800,11130.0,4,TQBR
VSYD,2015-11-12 00:00:00,2730,2730,2730,2730,2730.0,1,TQBR
VSYD,2015-11-13 00:00:00,2630,2980,2500,2500,10740.0,4,TQBR
VSYD,2015-11-16 00:00:00,2550,2640,2550,2570,15470.0,6,TQBR
VSYD,2015-11-17 00:00:00,2680,2680,2680,2680,2680.0,1,TQBR
VSYD,2015-11-19 00:00:00,2600,3640,2600,2910,169960.0,63,TQBR
VSYD,2015-11-20 00:00:00,3030,3030,2950,2950,5980.0,2,TQBR
VSYD,2015-11-24 00:00:00,2990,2990,2990,2990,2990.0,1,TQBR
VSYD,2015-11-25 00:00:00,2910,3200,2600,3090,57750.0,20,TQBR
VSYD,2015-11-26 00:00:00,3040,3140,2810,3100,44520.0,15,TQBR
VSYD,2015-11-27 00:00:00,3000,3080,2850,2850,46950.0,16,TQBR
VSYD,2015-11-30 00:00:00,2940,2940,2930,2930,5870.0,2,TQBR
VSYD,2015-12-01 00:00:00,3090,3090,2940,2940,21070.0,7,TQBR
VSYD,2015-12-03 00:00:00,2940,2940,2940,2940,5880.0,2,TQBR
VSYD,2015-12-04 00:00:00,2920,2920,2920,2920,2920.0,1,TQBR
VSYD,2015-12-07 00:00:00,2940,2990,2940,2990,23800.0,8,TQBR
VSYD,2015-12-08 00:00:00,2940,2990,2700,2830,51190.0,18,TQBR
VSYD,2015-12-09 00:00:00,2890,2890,2780,2780,8560.0,3,TQBR
VSYD,2015-12-10 00:00:00,2890,2890,2610,2710,33830.0,12,TQBR
VSYD,2015-12-11 00:00:00,2790,2840,2710,2710,22370.0,8,TQBR
VSYD,2015-12-15 00:00:00,2770,2930,2770,2830,60160.0,21,TQBR
VSYD,2015-12-18 00:00:00,2880,2880,2810,2810,8520.0,3,TQBR
VSYD,2015-12-21 00:00:00,2790,2790,2790,2790,2790.0,1,TQBR
VSYD,2015-12-23 00:00:00,2760,2760,2760,2760,2760.0,1,TQBR
VSYD,2015-12-30 00:00:00,2770,2770,2730,2730,10990.0,4,TQBR
VSYD,2016-01-06 00:00:00,2840,2840,2790,2790,22420.0,8,TQBR
VSYD,2016-01-11 00:00:00,2790,2790,2740,2740,21970.0,8,TQBR
VSYD,2016-01-12 00:00:00,2800,2800,2740,2740,13770.0,5,TQBR
VSYD,2016-01-15 00:00:00,2710,2710,2710,2710,2710.0,1,TQBR
VSYD,2016-01-19 00:00:00,2760,3760,2760,3760,265020.0,81,TQBR
VSYD,2016-01-20 00:00:00,3980,4320,3900,4180,37200.0,9,TQBR
VSYD,2016-01-21 00:00:00,4270,4270,4270,4270,4270.0,1,TQBR
VSYD,2016-01-22 00:00:00,3570,3570,3000,3420,79870.0,26,TQBR
VSYD,2016-01-25 00:00:00,3060,3180,2800,3070,50870.0,17,TQBR
VSYD,2016-01-26 00:00:00,3050,3180,3050,3120,12520.0,4,TQBR
VSYD,2016-01-29 00:00:00,3020,3390,2800,2970,75480.0,25,TQBR
VSYD,2016-02-01 00:00:00,2900,3220,2900,3220,27160.0,9,TQBR
VSYD,2016-02-02 00:00:00,3240,3330,3000,3080,24850.0,8,TQBR
VSYD,2016-02-03 00:00:00,3280,3970,3280,3470,98160.0,27,TQBR
VSYD,2016-02-04 00:00:00,3300,3300,3070,3240,15920.0,5,TQBR
VSYD,2016-02-05 00:00:00,3170,3240,3170,3240,6410.0,2,TQBR
VSYD,2016-02-08 00:00:00,3170,3380,3170,3380,9790.0,3,TQBR
VSYD,2016-02-09 00:00:00,3330,3380,3330,3380,13470.0,4,TQBR
VSYD,2016-02-10 00:00:00,3330,3330,3330,3330,3330.0,1,TQBR
VSYD,2016-02-11 00:00:00,3150,3150,3150,3150,3150.0,1,TQBR
VSYD,2016-02-15 00:00:00,3240,3880,3240,3680,62330.0,17,TQBR
VSYD,2016-02-16 00:00:00,3570,3570,3160,3200,83720.0,26,TQBR
VSYD,2016-02-18 00:00:00,3200,3200,2800,3200,61600.0,20,TQBR
VSYD,2016-02-19 00:00:00,3150,3170,3150,3170,12620.0,4,TQBR
VSYD,2016-02-20 00:00:00,3240,3250,3240,3250,9740.0,3,TQBR
VSYD,2016-02-25 00:00:00,3270,3270,3180,3180,6450.0,2,TQBR
VSYD,2016-02-26 00:00:00,3170,3170,3170,3170,3170.0,1,TQBR
VSYD,2016-02-29 00:00:00,3170,3170,3170,3170,3170.0,1,TQBR
VSYD,2016-03-01 00:00:00,3200,3200,3180,3180,22380.0,7,TQBR
VSYD,2016-03-02 00:00:00,3150,3150,3150,3150,3150.0,1,TQBR
VSYD,2016-03-07 00:00:00,3240,3240,3150,3150,37910.0,12,TQBR
VSYD,2016-03-10 00:00:00,3240,3240,3170,3170,9650.0,3,TQBR
VSYD,2016-03-14 00:00:00,3170,3170,3170,3170,31700.0,10,TQBR
VSYD,2016-03-18 00:00:00,3320,3780,3320,3420,24230.0,7,TQBR
VSYD,2016-03-21 00:00:00,3400,3450,3250,3250,10100.0,3,TQBR
VSYD,2016-03-23 00:00:00,3120,3120,3120,3120,3120.0,1,TQBR
VSYD,2016-03-24 00:00:00,3100,3180,3100,3130,9410.0,3,TQBR
VSYD,2016-03-25 00:00:00,3180,3180,3180,3180,6360.0,2,TQBR
VSYD,2016-03-28 00:00:00,3250,3300,3250,3300,19600.0,6,TQBR
VSYD,2016-03-29 00:00:00,3250,3250,3250,3250,9750.0,3,TQBR
VSYD,2016-03-30 00:00:00,3070,3080,3000,3010,18230.0,6,TQBR
VSYD,2016-03-31 00:00:00,2910,3000,2910,2980,11870.0,4,TQBR
VSYD,2016-04-04 00:00:00,3100,3100,2900,2900,9100.0,3,TQBR
VSYD,2016-04-13 00:00:00,3020,3020,3000,3000,36120.0,12,TQBR
VSYD,2016-04-14 00:00:00,3080,3080,3080,3080,3080.0,1,TQBR
VSYD,2016-04-22 00:00:00,3000,3180,3000,3180,12430.0,4,TQBR
VSYD,2016-04-25 00:00:00,3130,3130,2760,3000,14540.0,5,TQBR
VSYD,2016-05-04 00:00:00,3000,3000,3000,3000,3000.0,1,TQBR
VSYD,2016-05-11 00:00:00,3080,3080,3030,3030,6110.0,2,TQBR
VSYD,2016-05-16 00:00:00,3080,3080,3080,3080,3080.0,1,TQBR
VSYD,2016-05-19 00:00:00,3030,3030,3000,3000,30030.0,10,TQBR
VSYD,2016-05-30 00:00:00,2910,2910,2830,2880,8620.0,3,TQBR
VSYD,2016-06-02 00:00:00,2980,3140,2980,3140,6120.0,2,TQBR
VSYD,2016-06-07 00:00:00,3160,3160,3160,3160,3160.0,1,TQBR
VSYD,2016-06-15 00:00:00,3050,3050,3000,3000,6050.0,2,TQBR
VSYD,2016-06-17 00:00:00,3100,3100,3050,3050,15450.0,5,TQBR
VSYD,2016-06-21 00:00:00,3000,3000,2830,2830,20090.0,7,TQBR
VSYD,2016-06-22 00:00:00,2890,2950,2890,2950,11620.0,4,TQBR
VSYD,2016-06-23 00:00:00,2940,2940,2930,2940,11740.0,4,TQBR
