ticker,tradedate,open,high,low,close,value,volume,boardid
WTCMP,2014-06-09 00:00:00,5.5,5.5,5.5,5.5,55000,10000,TQBR
WTCMP,2014-06-16 00:00:00,5.5,5.5,5.5,5.5,22000,4000,TQBR
WTCMP,2014-06-20 00:00:00,5.2,5.2,5.2,5.2,5200,1000,TQBR
WTCMP,2014-06-24 00:00:00,5.222,5.222,5.222,5.222,10444,2000,TQBR
WTCMP,2014-06-25 00:00:00,5.111,5.111,5.0,5.0,335372,67000,TQBR
WTCMP,2014-06-26 00:00:00,5.0,5.499,4.999,5.0,175491,35000,TQBR
WTCMP,2014-07-08 00:00:00,5.1,5.1,5.1,5.1,102000,20000,TQBR
WTCMP,2014-07-11 00:00:00,5.011,5.011,5.0,5.0,75033,15000,TQBR
WTCMP,2014-07-17 00:00:00,5.0,5.111,5.0,5.0,515504,103000,TQBR
WTCMP,2014-07-23 00:00:00,5.596,6.4,5.596,6.4,748895,133000,TQBR
WTCMP,2014-07-24 00:00:00,6.0,6.0,6.0,6.0,6000,1000,TQBR
WTCMP,2014-07-28 00:00:00,6.2,6.4,6.2,6.4,19000,3000,TQBR
WTCMP,2014-07-30 00:00:00,6.4,7.0,6.0,6.0,570600,92000,TQBR
WTCMP,2014-07-31 00:00:00,6.5,6.5,6.5,6.5,136500,21000,TQBR
WTCMP,2014-08-01 00:00:00,6.001,6.001,6.001,6.001,6001,1000,TQBR
WTCMP,2014-08-07 00:00:00,6.004,6.004,6.0,6.0,138008,23000,TQBR
WTCMP,2014-08-12 00:00:00,5.504,6.001,5.5,6.0,81986,14000,TQBR
WTCMP,2014-08-13 00:00:00,5.999,6.0,5.999,6.0,35999,6000,TQBR
WTCMP,2014-08-14 00:00:00,5.8,5.8,5.8,5.8,11600,2000,TQBR
WTCMP,2014-08-15 00:00:00,6.0,6.5,6.0,6.5,36500,6000,TQBR
WTCMP,2014-08-25 00:00:00,5.7,6.0,5.6,6.0,209570,37000,TQBR
WTCMP,2014-08-26 00:00:00,6.2,6.2,6.2,6.2,403000,65000,TQBR
WTCMP,2014-09-03 00:00:00,6.199,6.5,6.199,6.5,25128,4000,TQBR
