ticker,tradedate,open,high,low,close,value,volume,boardid
YAKG,2014-06-16 00:00:00,11.0,11.0,11.0,11.0,99000.0,9000,TQBR
YAKG,2014-06-20 00:00:00,11.0,11.0,11.0,11.0,44000.0,4000,TQBR
YAKG,2014-07-01 00:00:00,11.0,11.0,11.0,11.0,77000.0,7000,TQBR
YAKG,2014-07-16 00:00:00,15.4,15.4,12.5,12.5,118360.0,9000,TQBR
YAKG,2014-07-17 00:00:00,13.5,13.5,13.5,13.5,13500.0,1000,TQBR
YAKG,2014-07-30 00:00:00,11.0,14.0,11.0,14.0,162990.0,14000,TQBR
YAKG,2014-08-01 00:00:00,14.0,14.0,14.0,14.0,28000.0,2000,TQBR
YAKG,2014-08-07 00:00:00,11.6,11.6,11.6,11.6,11600.0,1000,TQBR
YAKG,2014-08-13 00:00:00,13.5,13.5,13.5,13.5,54000.0,4000,TQBR
YAKG,2014-08-22 00:00:00,12.7,13.2,12.7,13.2,39000.0,3000,TQBR
YAKG,2014-09-15 00:00:00,13.5,13.5,13.5,13.5,13500.0,1000,TQBR
YAKG,2014-09-29 00:00:00,12.4,12.4,12.4,12.4,12400.0,1000,TQBR
YAKG,2014-10-09 00:00:00,15.35,15.35,15.35,15.35,15350.0,1000,TQBR
YAKG,2014-10-10 00:00:00,12.45,12.45,12.45,12.45,12450.0,1000,TQBR
YAKG,2014-10-23 00:00:00,11.25,13.5,11.25,13.5,75800.0,6000,TQBR
YAKG,2014-11-24 00:00:00,15.25,15.25,15.25,15.25,15250.0,1000,TQBR
YAKG,2014-11-25 00:00:00,15.25,15.25,15.25,15.25,15250.0,1000,TQBR
YAKG,2014-12-15 00:00:00,15.0,15.0,15.0,15.0,15000.0,1000,TQBR
YAKG,2014-12-18 00:00:00,15.0,15.0,15.0,15.0,45000.0,3000,TQBR
YAKG,2014-12-19 00:00:00,12.35,15.0,12.35,15.0,27350.0,2000,TQBR
YAKG,2014-12-24 00:00:00,15.0,15.0,15.0,15.0,360000.0,24000,TQBR
YAKG,2014-12-25 00:00:00,15.0,15.0,15.0,15.0,15000.0,1000,TQBR
YAKG,2014-12-26 00:00:00,15.0,15.0,15.0,15.0,15000.0,1000,TQBR
YAKG,2015-01-21 00:00:00,15.0,15.0,15.0,15.0,15000.0,1000,TQBR
YAKG,2015-02-10 00:00:00,15.15,15.15,15.15,15.15,15150.0,1000,TQBR
YAKG,2015-02-26 00:00:00,15.5,16.5,15.5,16.5,1120000.0,70000,TQBR
YAKG,2015-03-02 00:00:00,16.5,16.5,16.5,16.5,1155000.0,70000,TQBR
YAKG,2015-03-04 00:00:00,15.0,16.25,13.05,16.25,87650.0,6000,TQBR
YAKG,2015-03-12 00:00:00,16.25,16.25,16.25,16.25,16250.0,1000,TQBR
YAKG,2015-03-20 00:00:00,20.0,20.0,20.0,20.0,40000.0,2000,TQBR
YAKG,2015-03-23 00:00:00,19.0,19.0,14.0,14.0,33000.0,2000,TQBR
YAKG,2015-03-25 00:00:00,15.0,15.0,8.4,12.2,137650.0,12000,TQBR
YAKG,2015-03-26 00:00:00,15.0,15.25,15.0,15.15,75700.0,5000,TQBR
YAKG,2015-03-30 00:00:00,11.15,11.25,11.15,11.25,33650.0,3000,TQBR
