ticker,tradedate,open,high,low,close,value,volume,boardid
YRSBP,2014-06-16 00:00:00,69.09,69.09,69.09,69.09,6909.0,100,TQBR
YRSBP,2014-06-23 00:00:00,78.0,78.0,78.0,78.0,7800.0,100,TQBR
YRSBP,2014-06-26 00:00:00,68.0,68.0,68.0,68.0,210800.0,3100,TQBR
YRSBP,2014-07-10 00:00:00,65.01,65.01,65.0,65.0,13001.0,200,TQBR
YRSBP,2014-07-14 00:00:00,65.0,65.0,65.0,65.0,6500.0,100,TQBR
YRSBP,2014-07-15 00:00:00,60.0,60.0,60.0,60.0,54000.0,900,TQBR
YRSBP,2014-07-30 00:00:00,62.01,67.95,62.01,67.95,129960.0,2000,TQBR
YRSBP,2014-08-13 00:00:00,62.0,62.0,62.0,62.0,6200.0,100,TQBR
YRSBP,2014-09-15 00:00:00,60.1,60.1,60.1,60.1,24040.0,400,TQBR
YRSBP,2014-09-23 00:00:00,55.05,55.05,55.05,55.05,5505.0,100,TQBR
YRSBP,2014-10-30 00:00:00,50.0,55.0,50.0,55.0,21000.0,400,TQBR
YRSBP,2014-11-25 00:00:00,50.0,50.0,50.0,50.0,50000.0,1000,TQBR
YRSBP,2014-12-02 00:00:00,46.0,46.0,45.0,45.0,22600.0,500,TQBR
YRSBP,2014-12-15 00:00:00,29.4,40.0,29.4,40.0,65400.0,1900,TQBR
YRSBP,2014-12-16 00:00:00,40.0,40.0,40.0,40.0,4000.0,100,TQBR
YRSBP,2014-12-22 00:00:00,41.0,41.0,41.0,41.0,28700.0,700,TQBR
YRSBP,2014-12-23 00:00:00,43.0,43.0,43.0,43.0,4300.0,100,TQBR
YRSBP,2014-12-24 00:00:00,43.0,43.0,43.0,43.0,8600.0,200,TQBR
YRSBP,2014-12-30 00:00:00,45.0,45.0,43.0,43.0,224600.0,5000,TQBR
YRSBP,2015-01-13 00:00:00,43.0,43.0,40.0,40.0,186100.0,4600,TQBR
YRSBP,2015-01-23 00:00:00,45.0,55.0,45.0,55.0,10000.0,200,TQBR
YRSBP,2015-01-26 00:00:00,40.1,40.1,40.1,40.1,4010.0,100,TQBR
YRSBP,2015-02-04 00:00:00,40.0,40.0,40.0,40.0,104000.0,2600,TQBR
YRSBP,2015-02-09 00:00:00,50.0,55.0,50.0,55.0,15500.0,300,TQBR
YRSBP,2015-02-10 00:00:00,55.0,55.0,55.0,55.0,5500.0,100,TQBR
YRSBP,2015-02-16 00:00:00,45.0,47.0,45.0,47.0,9200.0,200,TQBR
YRSBP,2015-03-06 00:00:00,45.0,45.0,45.0,45.0,4500.0,100,TQBR
YRSBP,2015-03-11 00:00:00,47.0,47.0,47.0,47.0,4700.0,100,TQBR
YRSBP,2015-03-23 00:00:00,50.0,50.0,50.0,50.0,5000.0,100,TQBR
YRSBP,2015-03-27 00:00:00,50.0,50.0,50.0,50.0,20000.0,400,TQBR
YRSBP,2015-03-31 00:00:00,50.0,50.0,50.0,50.0,65000.0,1300,TQBR
YRSBP,2015-04-06 00:00:00,45.0,50.0,45.0,50.0,44000.0,900,TQBR
YRSBP,2015-04-08 00:00:00,45.0,45.0,45.0,45.0,13500.0,300,TQBR
YRSBP,2015-04-16 00:00:00,49.0,49.0,47.0,47.0,141300.0,2900,TQBR
YRSBP,2015-04-17 00:00:00,45.0,45.0,41.0,41.0,8600.0,200,TQBR
YRSBP,2015-04-20 00:00:00,49.0,49.0,47.0,47.0,9600.0,200,TQBR
YRSBP,2015-04-21 00:00:00,45.0,45.0,45.0,45.0,45000.0,1000,TQBR
