ticker,tradedate,open,high,low,close,value,volume,boardid
ZILL,2014-06-09 00:00:00,451.0,489.99,451.0,465.01,14060.0,30,TQBR
ZILL,2014-06-10 00:00:00,455.0,455.0,451.0,451.0,40630.0,90,TQBR
ZILL,2014-06-16 00:00:00,435.01,435.01,435.01,435.01,4350.1,10,TQBR
ZILL,2014-06-20 00:00:00,437.5,483.98,437.5,468.97,46357.2,100,TQBR
ZILL,2014-06-23 00:00:00,460.01,472.93,415.0,425.0,213724.2,490,TQBR
ZILL,2014-06-24 00:00:00,479.96,479.96,427.01,449.0,62909.8,140,TQBR
ZILL,2014-06-25 00:00:00,465.5,465.5,439.01,439.01,35935.2,80,TQBR
ZILL,2014-06-27 00:00:00,430.0,430.0,425.0,425.0,12800.0,30,TQBR
ZILL,2014-06-30 00:00:00,411.0,441.0,411.0,441.0,16741.4,40,TQBR
ZILL,2014-07-02 00:00:00,417.0,417.0,402.0,405.0,69060.9,170,TQBR
ZILL,2014-07-03 00:00:00,418.0,418.0,418.0,418.0,4180.0,10,TQBR
ZILL,2014-07-07 00:00:00,439.99,449.97,430.0,440.0,65785.3,150,TQBR
ZILL,2014-07-08 00:00:00,435.0,435.0,435.0,435.0,4350.0,10,TQBR
ZILL,2014-07-09 00:00:00,435.0,438.0,435.0,438.0,8730.0,20,TQBR
ZILL,2014-07-10 00:00:00,435.0,479.0,430.01,478.0,174263.9,380,TQBR
ZILL,2014-07-11 00:00:00,479.0,479.0,479.0,479.0,4790.0,10,TQBR
ZILL,2014-07-14 00:00:00,478.0,478.0,451.64,451.64,13846.4,30,TQBR
ZILL,2014-07-15 00:00:00,470.0,470.0,470.0,470.0,9400.0,20,TQBR
ZILL,2014-07-17 00:00:00,411.11,478.99,411.11,472.25,52499.0,120,TQBR
ZILL,2014-07-21 00:00:00,421.0,421.0,421.0,421.0,4210.0,10,TQBR
ZILL,2014-07-22 00:00:00,450.0,450.0,427.01,450.0,22040.2,50,TQBR
ZILL,2014-07-23 00:00:00,469.97,469.97,420.53,459.97,47515.9,110,TQBR
ZILL,2014-07-24 00:00:00,468.97,468.97,468.97,468.97,4689.7,10,TQBR
ZILL,2014-07-28 00:00:00,415.01,441.99,383.95,435.0,45078.1,110,TQBR
ZILL,2014-07-31 00:00:00,438.97,438.97,438.97,438.97,8779.4,20,TQBR
ZILL,2014-08-01 00:00:00,388.01,390.0,388.01,390.0,7780.1,20,TQBR
ZILL,2014-08-05 00:00:00,400.0,410.0,400.0,400.0,48301.1,120,TQBR
ZILL,2014-08-06 00:00:00,390.0,393.0,377.0,377.0,41926.5,110,TQBR
ZILL,2014-08-07 00:00:00,395.99,395.99,395.99,395.99,11879.7,30,TQBR
ZILL,2014-08-08 00:00:00,371.0,381.99,357.01,374.0,110455.3,300,TQBR
ZILL,2014-08-11 00:00:00,393.5,393.5,393.5,393.5,3935.0,10,TQBR
ZILL,2014-08-12 00:00:00,392.99,394.94,392.99,394.94,23599.2,60,TQBR
ZILL,2014-08-20 00:00:00,371.5,406.6,371.5,400.0,19791.0,50,TQBR
ZILL,2014-08-22 00:00:00,407.99,407.99,407.99,407.99,8159.8,20,TQBR
ZILL,2014-08-29 00:00:00,368.32,369.5,368.31,369.5,11061.3,30,TQBR
ZILL,2014-09-01 00:00:00,369.5,369.5,369.5,369.5,3695.0,10,TQBR
ZILL,2014-09-03 00:00:00,367.05,379.97,367.04,379.97,14811.1,40,TQBR
ZILL,2014-09-04 00:00:00,380.0,380.0,380.0,380.0,3800.0,10,TQBR
ZILL,2014-09-08 00:00:00,380.99,403.99,370.01,403.99,88219.8,230,TQBR
ZILL,2014-09-09 00:00:00,409.0,409.0,377.21,377.21,41811.0,110,TQBR
ZILL,2014-09-12 00:00:00,355.02,425.0,351.0,410.05,135199.8,350,TQBR
ZILL,2014-09-15 00:00:00,366.01,414.99,355.0,405.0,53799.1,140,TQBR
ZILL,2014-09-17 00:00:00,394.68,394.68,394.68,394.68,3946.8,10,TQBR
ZILL,2014-09-19 00:00:00,365.64,386.0,356.55,386.0,29210.9,80,TQBR
ZILL,2014-09-23 00:00:00,356.11,381.97,355.0,381.97,86554.9,240,TQBR
ZILL,2014-09-25 00:00:00,369.99,370.0,369.99,370.0,29599.9,80,TQBR
ZILL,2014-09-26 00:00:00,350.01,350.01,350.0,350.0,10500.1,30,TQBR
ZILL,2014-09-29 00:00:00,387.0,387.0,387.0,387.0,3870.0,10,TQBR
ZILL,2014-09-30 00:00:00,387.0,387.0,387.0,387.0,3870.0,10,TQBR
ZILL,2014-10-01 00:00:00,360.0,425.0,360.0,425.0,55170.0,140,TQBR
ZILL,2014-10-02 00:00:00,400.0,400.0,400.0,400.0,4000.0,10,TQBR
ZILL,2014-10-03 00:00:00,423.0,423.0,423.0,423.0,4230.0,10,TQBR
ZILL,2014-10-06 00:00:00,415.0,415.0,415.0,415.0,20750.0,50,TQBR
ZILL,2014-10-07 00:00:00,353.0,353.0,350.0,350.0,17550.0,50,TQBR
ZILL,2014-10-08 00:00:00,392.0,393.0,392.0,393.0,7850.0,20,TQBR
ZILL,2014-10-10 00:00:00,417.0,417.0,382.0,382.0,11810.0,30,TQBR
ZILL,2014-10-13 00:00:00,420.0,420.0,379.0,379.0,26990.0,70,TQBR
ZILL,2014-10-16 00:00:00,364.0,364.0,360.0,360.0,28890.0,80,TQBR
ZILL,2014-10-17 00:00:00,346.0,360.0,334.0,336.0,223250.0,660,TQBR
ZILL,2014-10-20 00:00:00,341.0,341.0,341.0,341.0,3410.0,10,TQBR
ZILL,2014-10-21 00:00:00,341.0,341.0,341.0,341.0,6820.0,20,TQBR
ZILL,2014-10-22 00:00:00,342.0,342.0,333.0,333.0,66770.0,200,TQBR
ZILL,2014-10-24 00:00:00,332.0,332.0,309.0,309.0,15920.0,50,TQBR
ZILL,2014-10-31 00:00:00,317.0,321.0,310.0,321.0,158570.0,510,TQBR
ZILL,2014-11-03 00:00:00,302.0,310.0,302.0,306.0,15300.0,50,TQBR
ZILL,2014-11-05 00:00:00,318.0,318.0,307.0,309.0,21680.0,70,TQBR
ZILL,2014-11-06 00:00:00,319.0,319.0,310.0,315.0,12540.0,40,TQBR
ZILL,2014-11-07 00:00:00,319.0,319.0,306.0,310.0,12420.0,40,TQBR
ZILL,2014-11-11 00:00:00,328.0,399.0,328.0,365.0,170610.0,480,TQBR
ZILL,2014-11-12 00:00:00,377.0,377.0,360.0,367.0,11040.0,30,TQBR
ZILL,2014-11-13 00:00:00,387.0,387.0,350.0,350.0,10970.0,30,TQBR
ZILL,2014-11-14 00:00:00,322.0,325.0,301.0,313.0,238670.0,770,TQBR
ZILL,2014-11-17 00:00:00,300.0,320.0,297.0,320.0,57460.0,190,TQBR
ZILL,2014-11-18 00:00:00,323.0,323.0,312.0,312.0,15740.0,50,TQBR
ZILL,2014-11-19 00:00:00,323.0,323.0,308.0,308.0,49800.0,160,TQBR
ZILL,2014-11-20 00:00:00,310.0,310.0,287.0,297.0,50700.0,170,TQBR
ZILL,2014-11-21 00:00:00,295.0,305.0,284.0,300.0,69620.0,240,TQBR
ZILL,2014-11-24 00:00:00,300.0,340.0,300.0,303.0,210630.0,650,TQBR
ZILL,2014-11-26 00:00:00,315.0,315.0,308.0,308.0,6230.0,20,TQBR
ZILL,2014-11-27 00:00:00,329.0,347.0,320.0,345.0,181000.0,530,TQBR
ZILL,2014-11-28 00:00:00,320.0,320.0,320.0,320.0,3200.0,10,TQBR
ZILL,2014-12-01 00:00:00,305.0,305.0,302.0,302.0,15160.0,50,TQBR
ZILL,2014-12-02 00:00:00,305.0,325.0,297.0,297.0,18240.0,60,TQBR
ZILL,2014-12-03 00:00:00,303.0,303.0,290.0,300.0,101870.0,340,TQBR
ZILL,2014-12-04 00:00:00,301.0,307.0,301.0,303.0,108740.0,360,TQBR
ZILL,2014-12-10 00:00:00,283.0,285.0,270.0,285.0,149710.0,550,TQBR
ZILL,2014-12-11 00:00:00,290.0,290.0,256.0,264.0,94800.0,350,TQBR
ZILL,2014-12-12 00:00:00,290.0,290.0,250.0,256.0,78880.0,310,TQBR
ZILL,2014-12-15 00:00:00,296.0,296.0,258.0,258.0,11240.0,40,TQBR
ZILL,2014-12-16 00:00:00,281.0,281.0,280.0,280.0,5610.0,20,TQBR
ZILL,2014-12-17 00:00:00,238.0,268.0,238.0,268.0,31660.0,130,TQBR
ZILL,2014-12-18 00:00:00,270.0,270.0,270.0,270.0,2700.0,10,TQBR
ZILL,2014-12-19 00:00:00,250.0,250.0,230.0,230.0,175540.0,760,TQBR
ZILL,2014-12-22 00:00:00,235.0,235.0,222.0,222.0,6920.0,30,TQBR
ZILL,2014-12-23 00:00:00,250.0,250.0,250.0,250.0,2500.0,10,TQBR
ZILL,2014-12-24 00:00:00,259.0,265.0,255.0,255.0,10340.0,40,TQBR
ZILL,2014-12-25 00:00:00,235.0,249.0,232.0,249.0,14120.0,60,TQBR
ZILL,2014-12-26 00:00:00,240.0,250.0,233.0,249.0,91930.0,390,TQBR
ZILL,2014-12-29 00:00:00,250.0,285.0,237.0,285.0,183790.0,700,TQBR
ZILL,2014-12-30 00:00:00,253.0,298.0,253.0,293.0,119040.0,440,TQBR
ZILL,2015-01-09 00:00:00,291.0,292.0,291.0,292.0,5830.0,20,TQBR
ZILL,2015-01-12 00:00:00,290.0,291.0,290.0,291.0,31940.0,110,TQBR
ZILL,2015-01-13 00:00:00,312.0,329.0,303.0,329.0,53420.0,170,TQBR
ZILL,2015-01-15 00:00:00,286.0,286.0,281.0,281.0,22540.0,80,TQBR
ZILL,2015-01-19 00:00:00,345.0,345.0,331.0,335.0,13430.0,40,TQBR
ZILL,2015-01-20 00:00:00,330.0,330.0,329.0,329.0,6590.0,20,TQBR
ZILL,2015-01-22 00:00:00,344.0,344.0,344.0,344.0,3440.0,10,TQBR
ZILL,2015-01-26 00:00:00,320.0,320.0,320.0,320.0,28800.0,90,TQBR
ZILL,2015-01-28 00:00:00,320.0,320.0,272.0,295.0,38480.0,130,TQBR
ZILL,2015-01-30 00:00:00,316.0,335.0,276.0,295.0,63670.0,220,TQBR
ZILL,2015-02-02 00:00:00,312.0,312.0,312.0,312.0,3120.0,10,TQBR
ZILL,2015-02-03 00:00:00,359.0,359.0,331.0,331.0,10350.0,30,TQBR
ZILL,2015-02-04 00:00:00,320.0,320.0,318.0,318.0,15960.0,50,TQBR
ZILL,2015-02-05 00:00:00,293.0,310.0,293.0,310.0,59290.0,200,TQBR
ZILL,2015-02-06 00:00:00,315.0,319.0,315.0,319.0,19090.0,60,TQBR
ZILL,2015-02-09 00:00:00,325.0,325.0,300.0,300.0,117590.0,380,TQBR
ZILL,2015-02-10 00:00:00,300.0,309.0,297.0,297.0,36000.0,120,TQBR
ZILL,2015-02-11 00:00:00,286.0,299.0,271.0,285.0,357400.0,1280,TQBR
ZILL,2015-02-12 00:00:00,298.0,300.0,285.0,300.0,559990.0,1920,TQBR
ZILL,2015-02-13 00:00:00,300.0,300.0,295.0,300.0,176940.0,590,TQBR
ZILL,2015-02-16 00:00:00,295.0,368.0,295.0,368.0,713080.0,2350,TQBR
ZILL,2015-02-17 00:00:00,378.0,410.0,335.0,380.0,1221430.0,3470,TQBR
ZILL,2015-02-18 00:00:00,388.0,388.0,388.0,388.0,3880.0,10,TQBR
ZILL,2015-02-19 00:00:00,350.0,385.0,350.0,385.0,46090.0,130,TQBR
ZILL,2015-02-20 00:00:00,352.0,429.0,340.0,375.0,123100.0,330,TQBR
ZILL,2015-02-24 00:00:00,385.0,385.0,384.0,384.0,11530.0,30,TQBR
ZILL,2015-02-25 00:00:00,380.0,380.0,380.0,380.0,3800.0,10,TQBR
ZILL,2015-02-26 00:00:00,385.0,385.0,310.0,349.0,566860.0,1680,TQBR
ZILL,2015-02-27 00:00:00,341.0,341.0,341.0,341.0,20460.0,60,TQBR
ZILL,2015-03-02 00:00:00,349.0,349.0,349.0,349.0,3490.0,10,TQBR
