SECID,SHORTNAME,ISIN,LISTLEVEL,SECNAME,BOARDID,status,TRADEDATE
ABIO,iАРТГЕН ао,RU000A0JNAB6,2.0,"ПАО ""Артген""",SMAL,active,
ABRD,АбрауДюрсо,RU000A0JS5T7,3.0,Абрау-Дюрсо ПАО ао,SMAL,active,
AFKS,Система ао,RU000A0DQZE3,1.0,"АФК ""Система"" ПАО ао",SMAL,active,
AFLT,Аэрофлот,RU0009062285,1.0,Аэрофлот-росс.авиалин(ПАО)ао,SMAL,active,
ALRS,АЛРОСА ао,RU0007252813,1.0,АЛРОСА ПАО ао,SMAL,active,
AMEZ,АшинскийМЗ,RU000A0B88G6,3.0,Ашинский метзавод ПАО ао,SMAL,active,
APRI,АПРИ,RU000A108LJ5,3.0,АПРИ,SMAL,active,
APTK,Аптеки36и6,RU0008081765,2.0,"ПАО ""Аптечная сеть 36,6"" ао",SMAL,active,
ARSA,Арсагера,RU000A0JP0Q7,3.0,УК Арсагера ПАО-ао,SMAL,active,
ASSB,АстрЭнСб,RU000A0D8MM8,3.0,"""Астраханская ЭСК"" ПАО",SMAL,active,
BISVP,БашИнСв ап,RU0009100176,3.0,Башинформсвязь(ПАО) ап,SMAL,active,
BLNG,Белон ао,RU000A0J2QG8,3.0,Белон ОАО ао,SMAL,active,
BSPB,БСП ао,RU0009100945,1.0,"ПАО ""Банк ""Санкт-Петербург"" ао",SMAL,active,
BSPBP,БСП ап,RU000A0JP0U9,3.0,Банк Санкт-Петербург ап,SMAL,active,
CARM,СТГ,RU000A105NV2,3.0,СТГ ао,SMAL,active,
CBOM,МКБ ао,RU000A0JUG31,1.0,"""МКБ"" ПАО ао",SMAL,active,
CHGZ,РН-ЗапСиб,RU0009082291,3.0,РН-Западная Сибирь ПАО ао,SMAL,active,
CNTL,Телеграф,RU0007665147,3.0,"""Центральный Телеграф"" ПАО ао",SMAL,active,
CNTLP,Телеграф-п,RU0007665139,3.0,"""Центральный Телеграф"" ПАО ап",SMAL,active,
DIOD,ЗаводДИОД,RU000A0JQWC1,3.0,Завод ДИОД ПАО ао,SMAL,active,
DVEC,ДЭК ао,RU000A0JP2W1,3.0,"""ДЭК"" ПАО ао",SMAL,active,
EELT,ЕвроЭлтех,RU000A0JWW54,3.0,"""ЕвропЭлектротехника"" ПАО ао",SMAL,active,
ELFV,ЭЛ5Энер ао,RU000A0F5UN3,1.0,"""ЭЛ5-Энерго"" ПАО",SMAL,active,
ELMT,Элемент,RU000A102093,3.0,Элемент,SMAL,active,
FEES,Россети,RU000A0JPNN9,1.0,"""ФСК - Россети"" ПАО",SMAL,active,
FESH,ДВМП ао,RU0008992318,2.0,ДВ морское пароходство ПАО ао,SMAL,active,
FLOT,Совкомфлот,RU000A0JXNU8,1.0,Совкомфлот ао,SMAL,active,
GAZA,ГАЗ ао,RU0009034268,3.0,ГАЗ ПАО ао,SMAL,active,
GAZAP,ГАЗ ап,RU000A0ZYHF5,3.0,ГАЗ ПАО ап,SMAL,active,
GAZC,ГАЗКОН-ао,RU000A0JQG86,3.0,ГАЗКОН (ПАО) ао,SMAL,active,
GAZP,ГАЗПРОМ ао,RU0007661625,1.0,"""Газпром"" (ПАО) ао",SMAL,active,
GAZS,ГАЗ-сервис,RU000A0JQG78,3.0,ГАЗ-сервис (ПАО) ао,SMAL,active,
GAZT,ГАЗ-Тек ао,RU000A0JS199,3.0,ГАЗ-Тек ПАО ао,SMAL,active,
GECO,iГЕНЕТИКО,RU000A105BN4,3.0,ЦГРМ ГЕНЕТИКО ао,SMAL,active,
GEMA,iММЦБ ао,RU000A100GC7,3.0,ПАО ММЦБ ао,SMAL,active,
GMKN,ГМКНорНик,RU0007288411,1.0,"ГМК ""Нор.Никель"" ПАО ао",SMAL,active,
GTRK,ГТМ ао,RU000A0ZYD22,3.0,"ПАО ""ГТМ"" ао",SMAL,active,
HIMCP,Химпром ап,RU0009099006,3.0,Химпром ПАО ап,SMAL,active,
HYDR,РусГидро,RU000A0JPKH7,1.0,"ПАО ""РусГидро""",SMAL,active,
IRAO,ИнтерРАОао,RU000A0JPNM1,1.0,"""Интер РАО"" ПАО ао",SMAL,active,
IRKT,Яковлев-3,RU0006752979,3.0,"""Яковлев"" ПАО ак.об.-3",SMAL,active,
JNOS,Славн-ЯНОС,RU0009100895,3.0,Славнефть-ЯНОС (ПАО) ао,SMAL,active,
JNOSP,Слав-ЯНОСп,RU0009101927,3.0,Славнефть-ЯНОС (ПАО) ап,SMAL,active,
KAZT,Куйбазот,RU000A0B9BV2,3.0,Куйбышевазот ПАО ао,SMAL,active,
KAZTP,Куйбазот-п,RU000A0B9BW0,3.0,Куйбышевазот ПАО ап,SMAL,active,
KBSB,ТНСэКубань,RU000A0JNJ11,3.0,ТНС энерго Кубань ПАО ао,SMAL,active,
KCHE,КамчатЭ ао,RU0006753498,3.0,Камчатскэнерго ПАО ао,SMAL,active,
KCHEP,КамчатЭ ап,RU0006753480,3.0,Камчатскэнерго ПАО ап,SMAL,active,
KGKC,КурганГКао,RU000A0JP120,3.0,Курганская генер.комп.ПАО ао,SMAL,active,
KGKCP,КурганГКап,RU000A0JP138,3.0,Курганская генер. комп. ПАО ап,SMAL,active,
KLSB,КалужскСК,RU000A0DKZK3,3.0,"ао""Калужская сбыт.комп.""ПАО",SMAL,active,
KLVZ,Кристалл,RU000A107KX0,3.0,Алкогольная Группа Кристалл,SMAL,active,
KMAZ,КАМАЗ,RU0008959580,2.0,КАМАЗ ПАО,SMAL,active,
KRKOP,ТКЗКК ап,RU0009098131,3.0,ТКЗ Красный котельщик ПАО ап,SMAL,active,
KROT,КрасОкт-ао,RU0008913850,3.0,"""КрасныйОктябрь"" ПАО - ао",SMAL,active,
KROTP,КрасОкт-1п,RU0008913868,3.0,КрасныйОктябрь-1п,SMAL,active,
KRSB,Красэсб ао,RU000A0HMLY1,3.0,Красноярскэнергосбыт ао,SMAL,active,
KRSBP,Красэсб ап,RU000A0HMLZ8,3.0,Красноярскэнергосбыт ап,SMAL,active,
KUZB,КузнецкийБ,RU000A0JSQ66,3.0,"Банк ""Кузнецкий"" ПАО ао",SMAL,active,
KZOS,ОргСинт ао,RU0009089825,3.0,"ПАО ""Органический синтез"" ао",SMAL,active,
KZOSP,ОргСинт ап,RU0006753456,3.0,"ПАО ""Органический синтез"" ап",SMAL,active,
LIFE,Фармсинтез,RU000A0JR514,3.0,Фармсинтез ПАО ао,SMAL,active,
LPSB,ЛЭСК ао,RU000A0D8MR7,3.0,Липецкая энергосбыт.ком.ОАО ао,SMAL,active,
LSNG,РСетиЛЭ,RU0009034490,3.0,Россети Ленэнерго ПАО-ао,SMAL,active,
LSNGP,РСетиЛЭ-п,RU0009092134,3.0,Россети Ленэнерго ПАО-ап,SMAL,active,
LVHK,Левенгук,RU000A0JT7Y2,3.0,Левенгук ПАО ао,SMAL,active,
MAGE,МагадЭн ао,RU0006758919,3.0,"""Магаданэнерго"" ПАО ао",SMAL,active,
MAGEP,МагадЭн ап,RU0006758893,3.0,"""Магаданэнерго"" ПАО ап",SMAL,active,
MAGN,ММК,RU0009084396,1.0,"""Магнитогорск.мет.комб"" ПАО ао",SMAL,active,
MFGS,Мегион-ао,RU0009011126,3.0,"ао ""Славнефть-Мегионнефтегаз""",SMAL,active,
MFGSP,Мегион-ап,RU0009011134,3.0,ап Мегионнефтегаз,SMAL,active,
MGKL,МГКЛ,RU000A0JVJQ8,3.0,МГКЛ ао,SMAL,active,
MISB,ТНСэнМарЭл,RU000A0D8K33,3.0,ТНС энерго Марий Эл ПАО ао,SMAL,active,
MISBP,ТНСэМаЭл-п,RU000A0D8K41,3.0,ТНС энерго Марий Эл ПАО ап,SMAL,active,
MOEX,МосБиржа,RU000A0JR4A1,1.0,ПАО Московская Биржа,SMAL,active,
MRKC,РоссЦентр,RU000A0JPPL8,2.0,"ПАО ""Россети Центр"" ао",SMAL,active,
MRKK,Россети СК,RU000A0JPPQ7,3.0,Россети Сев. Кавказ ао,SMAL,active,
MRKP,РСетиЦП ао,RU000A0JPN96,2.0,Россети Центр и Приволжье ао,SMAL,active,
MRKS,РсетСиб ао,RU000A0JPPF0,2.0,Россети Сибирь ао,SMAL,active,
MRKU,Россети Ур,RU000A0JPPT1,2.0,Россети Урал (ПАО) ао,SMAL,active,
MRKV,РсетВол ао,RU000A0JPPN4,2.0,Россети Волга ао,SMAL,active,
MRKY,РоссЮг ао,RU000A0JPPG8,3.0,Россети Юг  (ПАО) ао,SMAL,active,
MRKZ,РСетиСЗ ао,RU000A0JPPB9,2.0,ПАО Россети Северо-Запад ао,SMAL,active,
MRSB,МордЭнСб,RU000A0D9AJ7,3.0,Мордовск.энергсбыт.комп.ПАО ао,SMAL,active,
MSNG,+МосЭнерго,RU0008958863,1.0,МосЭнерго акции обыкн.,SMAL,active,
