SECID,SHORTNAME,SECNAME,ISIN,PREVPRICE,LOTSIZE,FACEVALUE,FACEUNIT,PREVDATE
AKAI,AKAI ETF,БПИФ Антиинфляционный,RU000A109PQ9,102.94,1,0,SUR,2025-04-04
AKBC,AKBC ETF,БПИФ Альфа Индекс голуб фишек,RU000A10B6F8,,1,0,SUR,0000-00-00
AKFB,AKFB ETF,БПИФ Альфа Обл с перем купоном,RU000A109T66,107.66,1,0,SUR,2025-04-04
AKGD,AKGD ETF,БПИФ Альфа Капитал Золото,RU000A1045N8,192.52,1,0,SUR,2025-04-04
AKHT,AKHT ETF,БПИФ Альфа Капитал ИТ Лидеры,RU000A109VF0,95.25,1,0,SUR,2025-04-04
AKIE,ETF AKIE,БПИФ Альфа Упр Акции с доходом,RU000A109JU4,982.98,1,0,SUR,2025-04-04
AKMB,ETF AKMB,БПИФ Альфа Управляем облигации,RU000A101PN3,1.5884,1,0,SUR,2025-04-04
AKME,ETF AKME,БПИФ Альфа Управляем Акции,RU000A102E78,179.78,1,0,SUR,2025-04-04
AKMM,AKMM ETF,БПИФ Альфа Денежный рынок,RU000A104X08,141.19,1,0,SUR,2025-04-04
AKMP,AKMP ETF,БПИФ Альфа Денежный рынок Плюс,RU000A10AU81,1.0236,1,0,SUR,2025-04-04
AKPP,AKPP ETF,БПИФ Альфа Платина-Палладий,RU000A10AUA6,92.26,1,0,SUR,2025-04-04
AKQU,AKQU ETF,БПИФ Альфа Капитал Квант,RU000A103NR5,72.5,1,0,SUR,2025-04-04
AKUP,AKUP ETF,Альфа-Капитал Умный портфель,RU000A107KJ9,11.22,1,0,SUR,2025-04-04
AMFL,AMFL ETF,БПИФ АТОН – Флоатеры,RU000A10AFG4,105.0,1,0,SUR,2025-04-04
AMGB,AMGB ETF,БПИФ АТОН - Длинные ОФЗ,RU000A10AFH2,105.6,1,0,SUR,2025-04-04
AMNR,AMNR ETF,АТОН – Накопительный в рублях,RU000A107H96,124.161,1,0,SUR,2025-04-04
AMNY,AMNY ETF,АТОН - Накопительный в юанях,RU000A108P04,1231.48,1,0,SUR,2025-04-04
AMRE,AMRE ETF,БПИФ АТОН – Российские акции +,RU000A102XX4,104.6,1,0,SUR,2025-04-04
AMRH,AMRH ETF,БПИФ АТОН Высокодох. рос. обл.,RU000A103FW1,130.4,1,0,SUR,2025-04-04
BCSB,BCSB ETF,БКС Облигации повыш доход,RU000A102ST2,12.704,1,0,SUR,2025-04-04
BCSD,BCSD ETF,БПИФ БКС Денежный рынок,RU000A108ZJ5,11.402,1,0,SUR,2025-04-04
BCSR,BCSR ETF,БПИФ БКС Индекс Росс рынка,RU000A10A0N6,10.94,1,0,SUR,2025-04-04
BOND,BOND ETF,ДОХОДЪ Сбондс Корп. обл. РФ,RU000A104Z22,1273.4,1,0,SUR,2025-04-04
CASH,CASH ETF,ААА БПИФ Ежедневный процент,RU000A109X11,10.8795,1,0,SUR,2025-04-04
CNYM,CNYM ETF,Ликвидность. Юань,RU000A107D41,132.19,1,0,CNY,2025-04-04
DIVD,ETF DIVD,БПИФ ДОХОДЪ Инд дивид акций,RU000A102N02,1118.0,1,0,SUR,2025-04-04
EQMX,EQMX ETF,БПИФ Индекс МосБиржи УК ВИМ,RU000A101EJ5,132.85,1,0,SUR,2025-04-04
ESGE,ESGE ETF,БПИФ УстойчРазвРоссКомп УК ВИМ,RU000A103LL2,83.15,1,0,SUR,2025-04-04
ESGR,ESGR ETF,БПИФ РСХБ-МосБиржа-РСПП Вектор,RU000A101R66,1195.5,1,0,SUR,2025-04-04
FINC,FINC ETF,ФИНСТАР Денежный рынок +,RU000A109866,1122.3,1,0,SUR,2025-04-04
FMMM,FMMM ETF,БПИФ Финам Денежный рынок,RU000A109LD6,11.007,1,0,SUR,2025-04-04
GOLD,GOLD ETF,БПИФ Золото.Биржевой УК ВИМ,RU000A101NZ2,2.1365,1,0,USD,2025-04-04
GOOD,GOOD ETF,ДОХОДЪ Стратегии денеж. рынка,RU000A10A7V4,1080.3,1,0,SUR,2025-04-04
GROD,ETF GROD,БПИФ ДОХОДЪ Инд акций роста,RU000A1037V8,778.5,1,0,SUR,2025-04-04
INFL,INFL ETF,БПИФ Ингосстрах Инфляционный,RU000A1047H6,111.08,1,0,SUR,2025-04-04
INGO,INGO ETF,БПИФ Ингосстрах Корп облигации,RU000A103CA4,129.35,1,0,SUR,2025-04-04
LQDT,LQDT ETF,БПИФ Ликвидность УК ВИМ,RU000A1014L8,1.6494,1,0,SUR,2025-04-04
MKBD,MKBD ETF,БПИФ МКБ Российские Див. Акции,RU000A103BX8,977.0,1,0,SUR,2025-04-04
MONY,MONY ETF,БПИФ АК БАРС Денежный рынок,RU000A10AF15,105.45,1,0,SUR,2025-04-04
OBLG,OBLG ETF,БПИФ Российскиеоблигации УКВИМ,RU000A1002S8,159.44,1,0,SUR,2025-04-04
OPNB,OPNB ETF,БПИФ Открытие - Облигации РФ,RU000A103HB1,93.92,1,0,SUR,2025-04-04
OPNR,OPNR ETF,БПИФ Открытие - Акции РФ,RU000A103H90,99.7,1,0,SUR,2025-04-04
PRIE,PRIE ETF,БПИФ РСХБ-Облигации ИЭсДжи,RU000A1030R1,880.0,1,0,USD,2025-04-04
PSMM,PSMM ETF,БПИФ РФИ ПСБ–Денежный рынок,RU000A108G96,11.674,1,0,SUR,2025-04-04
PSRB,PSRB ETF,ПСБ  Рублевые облигации,RU000A10A0X5,10.868,1,0,SUR,2025-04-04
RSHU,RSHU ETF,БПИФ РСХБ Корп обл смарт бета,RU000A101368,121.02,1,0,USD,2025-04-04
SBBY,SBBY ETF,БПИФ Фонд Инструменты в юанях,RU000A106J53,10.388,1,0,CNY,2025-04-04
SBCB,SBCB ETF,БПИФ Первая Фонд валютн. облиг,RU000A1000Q6,1408.0,1,0,USD,2025-04-04
SBCN,SBCN ETF,БПИФ Первая Сберегат. в юанях,RU000A105PU9,12.51,1,0,CNY,2025-04-04
SBCS,SBCS ETF,БПИФ Первая Консерватив смарт,RU000A1035N9,14.575,1,0,SUR,2025-04-04
SBDS,SBDS ETF,БПИФ Первая Фонд Моя цель 2045,RU000A1035L3,3.235,1,0,SUR,2025-04-04
SBFR,SBFR ETF,БПИФ Первая Облигации флоатеры,RU000A107KW2,12.0,1,0,SUR,2025-04-04
SBGB,SBGB ETF,БПИФ Первая Гос. облигации,RU000A1000F9,12.662,1,0,SUR,2025-04-04
SBGD,SBGD ETF,БПИФ Первая Доступное золото,RU000A105385,25.005,1,0,SUR,2025-04-04
SBHI,SBHI ETF,БПИФ Первая Халяльные инвест,RU000A103ZQ1,8.002,1,0,SUR,2025-04-04
SBLB,SBLB ETF,БПИФПервая Долгосроч.гособлиг.,RU000A108355,10.15,1,0,SUR,2025-04-04
SBMM,SBMM ETF,БПИФ Первая Сберегательный,RU000A103RF1,15.33,1,0,SUR,2025-04-04
SBMX,SBMX ETF,БПИФ Первая Топ Рос. акций,RU000A0ZZH92,17.551,1,0,SUR,2025-04-04
SBPS,SBPS ETF,БПИФ Первая Фонд Моя цель 2035,RU000A1035R0,2.565,1,0,SUR,2025-04-04
SBRB,SBRB ETF,БПИФ  Первая Корп облигации,RU000A100P44,14.925,1,0,SUR,2025-04-04
SBRI,SBRI ETF,БПИФ Первая Ответствен инвест,RU000A1024P8,11.7,1,0,SUR,2025-04-04
SBRS,SBRS ETF,БПИФ Первая Осторожный смарт,RU000A1035Q2,11.945,1,0,SUR,2025-04-04
SBSC,SBSC ETF,БПИФ Первая Акции ср.и мал.кап,RU000A106XY3,8.146,1,0,SUR,2025-04-04
SBWS,SBWS ETF,БПИФ Первая Взвешенный смарт,RU000A1035S8,3.64,1,0,SUR,2025-04-04
SCFT,SCFT ETF,БПИФ Технологии будущего,RU000A104FE7,4.608,1,0,SUR,2025-04-04
SCLI,SCLI ETF,БПИФ Ликвидный,RU000A108VV9,5.7145,1,0,SUR,2025-04-04
SIPO,SIPO ETF,БПИФ Первая Индекс IPO,RU000A108X20,8.3,1,0,SUR,2025-04-04
SMCF,SMCF ETF,БПИФ СОЛИД Денежный поток,RU000A10ASR4,1001.0,1,0,SUR,2025-04-04
SUGB,SUGB ETF,БПИФ МКБ – ОФЗ 1-3 г,RU000A1020A8,1230.0,1,0,SUR,2025-04-04
TBEU,TBEU ETF,БПИФ ТКАПИТАЛ ОБЛИГАЦИИ Е,RU000A103TD2,9.24,1,0,SUR,2025-04-04
TBRU,TBRU ETF,БПИФ Т-Капитал ОБЛИГАЦИИ,RU000A1039N1,6.32,1,0,SUR,2025-04-04
TDIV,TDIV ETF,Т-Капитал ДИВИДЕНДНЫЕ АКЦИИ,RU000A107563,9.55,1,0,SUR,2025-04-04
TEUR,TEUR ETF,БПИФ ТКАПИТАЛ ВЕЧНЫЙ ПОРТФ Е,RU000A1011T7,5.53,1,0,SUR,2025-04-04
TGLD,TGLD ETF,БПИФ Т-Капитал ЗОЛОТО,RU000A101X50,10.62,1,0,SUR,2025-04-04
TITR,TITR ETF,Т-Капитал Российские Технологи,RU000A108BL2,6.5,1,0,SUR,2025-04-04
TLCB,TLCB ETF,Т-КАПИТАЛ ВАЛЮТНЫЕ ОБЛИГАЦИИ,RU000A107597,10.18,1,0,SUR,2025-04-04
TMON,TMON ETF,T-КАПИТАЛ ДЕНЕЖНЫЙ РЫНОК,RU000A106DL2,132.08,1,0,SUR,2025-04-04
TMOS,TMOS ETF,БПИФ Т-КАПИТАЛ ИНДЕКС МОСБИРЖИ,RU000A101X76,6.06,1,0,SUR,2025-04-04
TOFZ,TOFZ ETF,БПИФ Т-Капитал ОФЗ,RU000A10A1L8,11.47,1,0,SUR,2025-04-04
TPAY,TPAY ETF,Т-Капитал Пассивный Доход,RU000A108WX3,94.86,1,0,SUR,2025-04-04
TRND,TRND ETF,БПИФ Т-Капитал Трендовые акции,RU000A10B0G9,8.76,1,0,SUR,2025-04-04
TRUR,TRUR ETF,БПИФ Т-Кап ВЕЧНЫЙ ПОРТФ РУБ,RU000A1011U5,8.54,1,0,SUR,2025-04-04
TUSD,TUSD ETF,БПИФ ТКАПИТАЛ ВЕЧНЫЙ ПОРТФ Д,RU000A1011S9,5.75,1,0,SUR,2025-04-04
YUAN,YUAN ETF,БПИФ Облигации в юанях,RU000A105SN8,113.18,1,0,SUR,2025-04-04
