SECID,BOARDID,NAME,DECIMALS,SHORTNAME,ANNUALHIGH,ANNUALLOW,CURRENCYID,CALCMODE
AKCBI,RTSI,Индикатор «Альфа-Капитал. Облигации»,4,iАльфа-Капитал Облигации,1354.81,1243.99,RUB,Совокупный д
AKEUBI,RTSI,Индекс «Альфа- Капитал Управляемые еврооблигации»,2,AKEUBI,100.86,67.78,USD,TR
AKREI,RTSI,Индекс Альфа Капитал Российские Акции,2,Альфа Капитал Российские Акции,2063.95,1602.33,RUB,Совокупный д
AKREPI,RTSI,Индекс Альфа Капитал Российские Акции Ценовой,2,Альфа Капитал РосАкции Ценовой,1485.16,1021.26,RUB,Ценовой инде
AKSFPI,RTSI,Альфа Капитал Стратегия Будущего,2,AKSFPI,101.15,86.02,USD,PR
AKSPRU,RTSI,Индекс Альфа Капитал Космос Ценовой Рублевый,2,Индекс Альфа Капитал Космос,128.21,92.17,RUB,PR
AKSPSP,RTSI,Индекс Альфа Капитал Космос Ценовой Доллары,2,Индекс Альфа Капитал Космос,66.98,50.64,USD,CP
AKVGRU,RTSI,Индекс Альфа Капитал Видеоигры Рублевый,2,Альфа-Капитал Видеоигры,175.77,97.85,RUB,PR
AKVGSP,RTSI,Альфа-Капитал Видеоигры,2,Альфа-Капитал Видеоигры,114.18,65.67,USD,CP
ARHYB,RTSI,Атон – Российские высокодоходные облигации,2,ARHYB,143.69,127.03,RUB,TR
BEMRAIF,RTSI,«Райффайзен - Еврооблигации EM»,2,Райффайзен - Еврооблигации,115.68,103.82,USD,TR
BPSI,RTSI,Субиндекс облигаций активов пенсионных накоплений,4,Субиндекс облигаций,3879.06,3391.87,RUB,TR
BPSIG,RTSI,Субиндекс облигаций ОФЗ активов пенсионных накоплений,4,Субиндекс облигаций ОФЗ,2144.18,1766.05,RUB,TR
BRFOB,RTSI,Индекс ячменя FOB регион Черного моря,1,BRFOB,215.9,163.0,USD,CP
CREI,RTSI,Индекс МосБиржи складской недвижимости,2,CREI,1703.67,1422.64,RUB,PR
CREITR,RTSI,Индекс МосБиржи складской недвижимости полной доходности,2,CREITR,3348.53,2560.52,RUB,TRB
CRFOB,RTSI,Индекс кукурузы FOB регион Черного моря,1,CRFOB,250.5,164.9,USD,CP
DOMMBSCP,RTSI,Индекс МосБиржи ипотечных облигаций ДОМ.РФ Ценовой,2,DOMMBSCP,97.0,84.63,RUB,CP
DOMMBSTR,RTSI,Индекс МосБиржи ипотечных облигаций ДОМ.РФ Совокупный Доход,2,DOMMBSTR,148.46,129.51,RUB,TR
EPSI,RTSI,Субиндекс акций активов пенсионных накоплений,4,Субиндекс акций,1961.39,1343.98,RUB,EP
EPSITR,RTSI,Субиндекс акций полной дох-ти,2,Субиндекс акций полной доходности,2620.05,1848.26,RUB,Совокупный д
EPSITRR,RTSI,Индекс МосБиржи пенсионных накоплений - акции (полной доходности с учетом налогообложения),2,Индекс МосБиржи EPSITRR,2564.48,1810.58,RUB,TRN
FDIVAR,RTSI,Финам. Индекс дивидендных аристократов РФ,2,Финам. Див. аристократы,1418.05,1000.63,RUB,CP
FDIVARTR,RTSI,Финам. Индекс дивидендных аристократов РФ (полной доходности),2,Финам. Див. аристократы TR,2610.46,1775.85,RUB,TR
GPBCBI2Y,RTSI,Индикатор GPBCBI2Y,4,Индикатор GPBCBI2Y,1406.78,1330.9,RUB,
GPBCBI4Y,RTSI,Индикатор GPBCBI4Y,4,Индикатор GPBCBI4Y,1350.09,1270.4,RUB,
HCAP,RTSI,Индекс Райффайзен 15,2,HCAP,1034.45,799.39,RUB,PR
HCAPTR,RTSI,Индекс Райффайзен 15 полной доходности,2,HCAPTR,1034.45,808.23,RUB,TRB
IMOEXCNY,RTSI,Индекс МосБиржи в юанях,2,Индекс МосБиржи в юанях,1346.29,753.28,CNY,PR
IMOEXDIV,RTSI,Индекс дивидендов МосБиржи «брутто»,2,Индекс дивидендов МосБиржи,52.14,0.0,RUB,DIV
IMOEXDIVN,RTSI,Индекс дивидендов МосБиржи «нетто» (по налоговым ставкам российских организаций),2,Индекс див МосБиржи нетто-рез,45.36,0.0,RUB,DIV
IMOEXW,RTSI,Индекс МосБиржи – активное управление,2,IMOEXW,3561.11,2371.83,RUB,PR
INFLTR,RTSI,Ингосстрах Индекс Инфляционных ОФЗ,2,INFLTR,121.37,106.36,RUB,TR
IRDIV,RTSI,ДОХОДЪ Индекс дивидендных акций РФ (ценовой),2,ДОХОДЪ Дивидендные акции РФ,125.06,81.56,RUB,Ценовой инде
IRDIVTR,RTSI,ДОХОДЪ Индекс дивидендных акций РФ (полной доходности),2,ДОХОДЪ Дивидендные акции РФ TR,170.51,121.54,RUB,TR
IRGLV,RTSI,ДОХОДЪ Индекс глобальных акций низкой волатильности,2,ДОХОДЪ низкой вол-ти,103.05,91.91,USD,PR
IRGQG,RTSI,ДОХОДЪ Индекс глобальных акций роста и качества,2,ДОХОДЪ акции роста,99.33,79.85,USD,PR
IRGRO,RTSI,ДОХОДЪ Индекс акций роста РФ (ценовой),2,ДОХОДЪ Акции роста РФ,451.23,279.88,RUB,CP
IRGROTR,RTSI,ДОХОДЪ Индекс акций роста РФ (полной доходности),2,ДОХОДЪ Акции роста РФ TR,1004.52,678.45,RUB,CP
IRGSC,RTSI,ДОХОДЪ Индекс глобальных акций малой капитализации,2,ДОХОДЪ малой кап-ции,101.14,88.4,USD,PR
KOSRUB,RTSI,«Коган – Уверенный»,2,«Коган – Уверенный»,1460.11,968.26,RUB,MX
MCF2TR,RTSI,Индекс МосБиржи полной доходности 2,2,Индекс МосБиржи полной доходност,0.0,0.0,RUB,TRB
MCF2TRN,RTSI,"Индекс МосБиржи полной доходности 2 ""нетто"" (по налоговым ставкам иностранных организаций)",2,Индекс МосБиржи TR 2 нетто-иност,0.0,0.0,RUB,TRN
MCF2TRR,RTSI,"Индекс МосБиржи полной доходности 2 ""нетто"" (по налоговым ставкам российских организаций)",2,Индекс МосБиржи TR 2 нетто-росс,0.0,0.0,RUB,TRN
MCFCNYTR,RTSI,Индекс МосБиржи в юанях полной доходности,2,Индекс МосБиржи в юанях ПД,1568.21,888.42,CNY,TRB
MCFCNYTRN,RTSI,Индекс МосБиржи в юанях полной доходности «нетто» (по налоговым ставкам иностранных организаций),2,Индекс МосБиржи в юанях ПД нерез,1531.21,870.46,CNY,TRN
MCFCNYTRR,RTSI,Индекс МосБиржи в юанях полной доходности «нетто» (по налоговым ставкам российских организаций),2,Индекс МосБиржи в юанях ПД рез,1536.05,872.85,CNY,TRN
MCFTR,RTSI,Индекс МосБиржи полной доходности «брутто»,4,MOEX Russia Total Return,8243.63,5863.37,RUB,TR
MCFTRN,RTSI,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам иностранных организаций),4,MOEX Russia Net-TR-NR,7197.56,5123.02,RUB,TRN
MCFTRR,RTSI,Индекс МосБиржи полной доходности «нетто» (по налоговым ставкам российских организаций),4,MOEX Russia Net-TR-Res,7402.63,5268.45,RUB,TRR
MCFWTR,RTSI,Индекс МосБиржи – активное управление полной доходности,2,MCFWTR,6512.1,4628.56,RUB,TRB
MCFWTRN,RTSI,Индекс МосБиржи – активное управление полной доходности «нетто» (по налог.ставкам ин.орг-й),2,MCFWTRN,6015.59,4244.38,RUB,TRN
MCFWTRR,RTSI,Индекс МосБиржи – активное управление полной доходности «нетто» (по налог.ставкам рос.орг-й),2,MCFWTRR,6067.47,4286.82,RUB,TRN
MCXSM,RTSI,Индекс МосБиржи средней и малой капитализации,4,Индекс МосБиржи SMID,2262.98,1331.91,RUB,
MDIAMD,RTSI,Индекс МосБиржи бриллиантового набора,2,MDIAMD,791.79,665.01,USD,PR
MDIAMD2,RTSI,Индекс МосБиржи инвестиционных бриллиантов,2,MDIAMD2,904.41,823.36,USD,PR
MDIAMR,RTSI,Индекс МосБиржи бриллиантового набора в рублях,2,MDIAMR,1254.01,985.56,RUB,PR
MDIAMR2,RTSI,Индекс МосБиржи инвестиционных бриллиантов в рублях,2,MDIAMR2,1541.76,1184.4,RUB,PR
MDIV,RTSI,МКБ ценовой Индекс Дивидендных Акций,2,MDIV,750.49,479.86,RUB,CP
MDIVTR,RTSI,МКБ Индекс Дивидендных Акций,2,MDIVTR,1847.1,1283.22,RUB,TR
MEBCTR,RTSI,Индекс МосБиржи голубых фишек полной доходности «брутто»,4,MOEX Blue Chip Total Return,51079.89,35921.0,RUB,TR
MEBCTRN,RTSI,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам иностр. орг.),4,MOEX Blue Chip Net-TR-NR,44915.75,31612.87,RUB,TRN
MEBCTRR,RTSI,Индекс МосБиржи голубых фишек полной доходности «нетто» (по налоговым ставкам росс. орг.),4,MOEX Blue Chip Net-TR-Res,46014.16,32382.33,RUB,TRR
MEITTR,RTSI,Индекс МосБиржи информационных технологий полной доходности,2,MOEX IT TR Index,4271.23,2387.98,RUB,TR
MEITTRN,RTSI,Индекс МосБиржи информационных технологий полной доходности «нетто» (по налог. ставкам ин. организаций),2,MOEX IT Net TR-NR,4265.26,2373.0,RUB,TR
MEITTRR,RTSI,Индекс МосБиржи информационных технологий полной доходности «нетто» (по налог. ставкам рос. организаций),2,MOEX IT Net TR-Res,4266.0,2374.94,RUB,TR
MERETR,RTSI,Индекс МосБиржи строительных компаний полной доходности,2,MOEX RE Total Return,12368.1,5060.42,RUB,TR
MERETRN,RTSI,Индекс МосБиржи строительных компаний полной доходности «нетто» (по налоговым ставкам иностранных организаций),2,MOEX RE Net TR-NR,12203.98,4981.03,RUB,TR
