SECID,BOARDID,NAME,DECIMALS,SHORTNAME,ANNUALHIGH,ANNUALLOW,CURRENCYID,CALCMODE
IMOEX,SNDX,Индекс МосБиржи,2,Индекс МосБиржи,3521.72,2370.28,RUB,
IMOEX2,SNDX,"IMOEX2 – значения индекса МосБиржи за весь торговый день, включая дополнительные сессии",2,Индекс МосБиржи (все сессии),3521.72,2370.28,RUB,PR
MECHTR,SNDX,Индекс МосБиржи химии и нефтехимии полной доходности «брутто»,4,MOEX Chemicals Total Return,76206.41,59246.36,RUB,
MECHTRN,SNDX,Индекс МосБиржи химии и нефтехимии полной доходности «нетто» (по налог.ставкам ин.орг-й),4,MOEX Chemicals Net TR-NR,68275.98,52768.76,RUB,
MECHTRR,SNDX,Индекс МосБиржи химии и нефтехимии полной доходности «нетто» (по налог.ставкам рос.орг-й),4,MOEX Chemicals Net TR-Res,69398.0,53678.16,RUB,
MECNTR,SNDX,Индекс МосБиржи потребительского сектора полной доходности «брутто»,4,MOEX Consumer Total Return,14499.5,9658.84,RUB,
MECNTRN,SNDX,Индекс МосБиржи потребит. сектора полной доходности «нетто» (по налог.ставкам ин.орг-й),4,MOEX Consumer Net TR-NR,13667.59,9053.19,RUB,
MECNTRR,SNDX,Индекс МосБиржи потреб. сектора полной доходности «нетто» (по налог.ставкам рос.орг-й),4,MOEX Consumer Net TR-Res,13803.85,9150.38,RUB,
MEEUTR,SNDX,Индекс МосБиржи электроэнергетики полной доходности «брутто»,4,MOEX El.Utilities Total Return,3632.77,2497.24,RUB,
MEEUTRN,SNDX,Индекс МосБиржи электроэнергетики полной доходности «нетто» (по налог.ставкам ин.орг-й),4,MOEX El. Utilities Net TR-NR,3356.31,2289.94,RUB,
MEEUTRR,SNDX,Индекс МосБиржи электроэнергетики полной доходности «нетто» (по налог.ставкам рос.орг-й),4,MOEX El. Utilities Net TR-Res,3397.82,2320.54,RUB,
MEFNTR,SNDX,Индекс МосБиржи финансов полной доходности «брутто»,4,MOEX Financials Total Return,18433.62,12816.78,RUB,
MEFNTRN,SNDX,Индекс МосБиржи финансов полной доходности «нетто» (по налог.ставкам ин.орг-й),4,MOEX Financials Net TR-NR,17239.2,12001.38,RUB,
MEFNTRR,SNDX,Индекс МосБиржи финансов полной доходности «нетто» (по налог.ставкам рос.орг-й),4,MOEX Financials Net TR-Res,17418.3,12124.03,RUB,
MEMMTR,SNDX,Индекс МосБиржи металлов и добычи полной доходности «брутто»,4,MOEX Metals & Min Total Return,17175.88,10908.88,RUB,
MEMMTRN,SNDX,Индекс МосБиржи металлов и добычи полной доходности «нетто» (по налог.ставкам ин.орг-й),4,MOEX Metals & Mining Net TR-NR,15642.36,9815.52,RUB,
MEMMTRR,SNDX,Индекс МосБиржи металлов и добычи полной доходности «нетто» (по налог.ставкам рос.орг-й),4,MOEX Metals & Min Net TR-Res,15876.35,9978.5,RUB,
MEOGTR,SNDX,Индекс МосБиржи нефти и газа полной доходности «брутто»,4,MOEX Oil & Gas Total Return,19383.79,13743.55,RUB,
MEOGTRN,SNDX,Индекс МосБиржи нефти и газа полной доходности «нетто» (по налог.ставкам ин.орг-й),4,MOEX Oil & Gas Net TR-NR,17340.19,12321.43,RUB,
MEOGTRR,SNDX,Индекс МосБиржи нефти и газа полной доходности «нетто» (по налог.ставкам рос.орг-й),4,MOEX Oil & Gas Net TR-Res,17631.64,12524.87,RUB,
MESMTR,SNDX,Индекс МосБиржи средней и малой капитализации полной доходности «брутто»,4,MOEX SMID Total Return,3564.4,2195.0,RUB,
MESMTRN,SNDX,Индекс МосБиржи средней капитализации полной доходности «нетто» (по нал.ставкам ин.орг-й),4,MOEX SMID Net TR-NR,3329.86,2041.45,RUB,
MESMTRR,SNDX,Индекс МосБиржи средней капитализации полной доходности «нетто» (по нал.ставкам рос.орг-й),4,MOEX SMID Net TR-Res,3367.15,2066.12,RUB,
METLTR,SNDX,Индекс МосБиржи телекоммуникаций полной доходности «брутто»,4,MOEX Telecom Total Return,6016.95,3350.08,RUB,
METLTRN,SNDX,Индекс МосБиржи телекоммуникаций полной доходности «нетто» (по налог.ставкам ин.орг-й),4,MOEX Telecom Net TR-NR,5246.72,2883.46,RUB,
METLTRR,SNDX,Индекс МосБиржи телекоммуникаций полной доходности «нетто» (по налог.ставкам рос.орг-й),4,MOEX Telecom Net TR-Res,5359.76,2950.66,RUB,
METNTR,SNDX,Индекс МосБиржи транспорта полной доходности «брутто»,4,MOEX Transport Total Return,3253.68,2112.7,RUB,
METNTRN,SNDX,Индекс МосБиржи транспорта полной доходности «нетто» (по налог.ставкам ин.орг-й),4,MOEX Transport Net TR-NR,3051.05,1969.56,RUB,
METNTRR,SNDX,Индекс МосБиржи транспорта полной доходности «нетто» (по налог.ставкам рос.орг-й),4,MOEX Transport Net TR-Res,3080.61,1990.21,RUB,
MICEXBORR1W,SNDX,ММВБ РЕПО обл 7 дней,4,MCX BO 1W,,,RUB,
MICEXBORR2W,SNDX,ММВБ РЕПО обл 14 дней,4,MCX BO 2W,,,RUB,
MICEXBORRON,SNDX,ММВБ РЕПО обл 1 день,4,MCX BO ON,,,RUB,
MICEXEQRR1W,SNDX,ММВБ РЕПО акц 7 дней,4,MCX EQ 1W,,,RUB,
MICEXEQRR2W,SNDX,ММВБ РЕПО акц 14 дней,4,MCX EQ 2W,,,RUB,
MICEXEQRRON,SNDX,ММВБ РЕПО акц 1 день,4,MCX EQ ON,,,RUB,
MOEX10,SNDX,Индекс МосБиржи 10,2,Индекс МосБиржи 10,6655.42,4357.37,RUB,
MOEXBMI,SNDX,Индекс МосБиржи широкого рынка,2,Индекс широкого рынка,2558.71,1714.64,RUB,
MOEXCH,SNDX,Индекс МосБиржи химии и нефтехимии,2,Индекс химии и нефтехимии,36669.43,26909.59,RUB,
MOEXCN,SNDX,Индекс МосБиржи потребительского сектора,2,Индекс потребительского сектора / Индекс потребит сектора,9781.42,6227.92,RUB,
MOEXEU,SNDX,Индекс МосБиржи электроэнергетики,2,Индекс электроэнергетики,2160.82,1392.73,RUB,
MOEXFN,SNDX,Индекс МосБиржи финансов,2,Индекс финансов,11847.71,8198.45,RUB,
MOEXINN,SNDX,Индекс МосБиржи инноваций,2,Индекс МосБиржи инноваций,723.03,382.64,RUB,
MOEXMM,SNDX,Индекс МосБиржи металлов и добычи,2,Индекс металлов и добычи,9255.58,5358.17,RUB,
MOEXOG,SNDX,Индекс МосБиржи нефти и газа,2,Индекс нефти и газа,9511.73,6589.76,RUB,
MOEXREPO,SNDX,MOEXREPO обл 12:30,2,MXREPO,21.85,15.1,RUB,
MOEXREPO1W,SNDX,MOEXREPO 1 неделя 12:30,2,MOEXREPO1W,22.19,14.61,RUB,
MOEXREPO1WE,SNDX,MOEXREPO 1 неделя 19:00,2,MOEXREPO1WE,22.09,14.41,RUB,
MOEXREPOE,SNDX,MOEXREPO обл 19:00,2,MXREPOE,21.85,15.01,RUB,
MOEXREPOEQ,SNDX,MOEXREPO акц 12:30,2,MXREPOEQ,22.03,15.31,RUB,
MOEXREPOEQE,SNDX,MOEXREPO акц 19:00,2,MXREPOEQE,21.92,15.15,RUB,
MOEXREPOUSD,SNDX,MOEXREPO USD 12:30,2,MOEXREPOUSD,119.82,0.05,USD,
MOEXREPOUSDE,SNDX,MOEXREPO USD 19:00,2,MOEXREPOUSDE,201.32,0.1,USD,
MOEXTL,SNDX,Индекс МосБиржи телекоммуникаций,2,Индекс телекоммуникаций,2382.05,1209.05,RUB,
MOEXTN,SNDX,Индекс МосБиржи транспорта,2,Индекс транспорта,2121.73,1307.26,RUB,
MRBC,SNDX,Индекс МосБиржи 15,2,Индекс МосБиржи 15,1687.85,1119.61,RUB,Индекс акций
RGBI,SNDX,Индекс Мосбиржи государственных облигаций ценовой,2,Индекс Мосбиржи гос обл RGBI,115.29,96.31,RUB,CP
RGBITR,SNDX,Индекс Мосбиржи государственных облигаций,2,Индекс Мосбиржи гос обл RGBITR,655.75,536.36,RUB,TR
RPGCC,SNDX,MOEXREPO КСУ 12:30,2,MOEXREPOGCC,21.91,15.1,RUB,
