SECID,SHORTNAME,SECNAME,ISIN,PREVPRICE,LOTSIZE,FACEVALUE,FACEUNIT,PREVDATE
ABIO,iАРТГЕН ао,"ПАО ""Артген""",RU000A0JNAB6,83.74,10,0.1,SUR,2025-04-04
ABRD,АбрауДюрсо,Абрау-Дюрсо ПАО ао,RU000A0JS5T7,181.0,10,1.0,SUR,2025-04-04
AFKS,Система ао,"АФК ""Система"" ПАО ао",RU000A0DQZE3,15.671,100,0.09,SUR,2025-04-04
AFLT,Аэрофлот,Аэрофлот-росс.авиалин(ПАО)ао,RU0009062285,66.46,10,1.0,SUR,2025-04-04
AGRO,AGRO-гдр,ГДР ROS AGRO PLC ORD SHS,US7496552057,1083.8,1,0.0,USD,2025-04-04
AKRN,Акрон,Акрон ПАО ао,RU0009028674,16116.0,1,5.0,SUR,2025-04-04
ALRS,АЛРОСА ао,АЛРОСА ПАО ао,RU0007252813,48.81,10,0.5,SUR,2025-04-04
AMEZ,АшинскийМЗ,Ашинский метзавод ПАО ао,RU000A0B88G6,68.05,100,1.0,SUR,2025-04-04
APRI,АПРИ,АПРИ,RU000A108LJ5,13.77,10,1.0,SUR,2025-04-04
APTK,Аптеки36и6,"ПАО ""Аптечная сеть 36,6"" ао",RU0008081765,10.498,10,0.64,SUR,2025-04-04
AQUA,ИНАРКТИКА,ПАО ИНАРКТИКА,RU000A0JQTS3,672.5,1,100.0,SUR,2025-04-04
ARSA,Арсагера,УК Арсагера ПАО-ао,RU000A0JP0Q7,10.6,100,1.0,SUR,2025-04-04
ASSB,АстрЭнСб,"""Астраханская ЭСК"" ПАО",RU000A0D8MM8,1.725,1000,0.007,SUR,2025-04-04
ASTR,Астра ао,Группа Астра ао,RU000A106T36,406.85,1,0.05,SUR,2025-04-04
AVAN,Авангрд-ао,"АКБ ""АВАНГАРД"" ПАО ао",RU000A0DM7B3,740.0,1,30.0,SUR,2025-04-04
BANE,Башнефт ао,Башнефть АНК ао,RU0007976957,2212.5,1,1.0,SUR,2025-04-04
BANEP,Башнефт ап,Башнефть АНК ап,RU0007976965,1139.5,1,1.0,SUR,2025-04-04
BELU,НоваБев ао,НоваБев Групп ПАО ао,RU000A0HL5M1,508.5,1,100.0,SUR,2025-04-04
BISVP,БашИнСв ап,Башинформсвязь(ПАО) ап,RU0009100176,9.1,100,1.0,SUR,2025-04-04
BLNG,Белон ао,Белон ОАО ао,RU000A0J2QG8,15.22,100,0.01,SUR,2025-04-04
BRZL,БурЗолото,Бурятзолото ПАО ао,RU0009288658,1812.0,1,0.025,SUR,2025-04-04
BSPB,БСП ао,"ПАО ""Банк ""Санкт-Петербург"" ао",RU0009100945,382.25,10,1.0,SUR,2025-04-04
BSPBP,БСП ап,Банк Санкт-Петербург ап,RU000A0JP0U9,72.5,100,1.0,SUR,2025-04-04
CARM,СТГ,СТГ ао,RU000A105NV2,1.532,100,1.0,SUR,2025-04-04
CBOM,МКБ ао,"""МКБ"" ПАО ао",RU000A0JUG31,8.053,100,1.0,SUR,2025-04-04
CHGZ,РН-ЗапСиб,РН-Западная Сибирь ПАО ао,RU0009082291,97.0,10,0.1,SUR,2025-04-04
CHKZ,ЧКПЗ ао,"""ЧКПЗ"" ПАО ао",RU000A0JNST0,18650.0,1,200.0,SUR,2025-04-04
CHMF,СевСт-ао,Северсталь (ПАО)ао,RU0009046510,1081.4,1,0.01,SUR,2025-04-04
CHMK,ЧМК ао,"""ЧМК"" ПАО ао",RU0007665170,5190.0,1,1.0,SUR,2025-04-04
CNRU,ЦИАН,"МКПАО ""ЦИАН""",RU000A10ANA1,555.8,1,0.0337,SUR,2025-04-04
CNTL,Телеграф,"""Центральный Телеграф"" ПАО ао",RU0007665147,10.2,100,1.0,SUR,2025-04-04
CNTLP,Телеграф-п,"""Центральный Телеграф"" ПАО ап",RU0007665139,7.2,100,1.0,SUR,2025-04-04
DATA,iАренадата,Группа Аренадата,RU000A108ZR8,128.68,1,0.05,SUR,2025-04-04
DELI,iКаршеринг,Каршеринг Руссия ао,RU000A107J11,182.95,1,0.000625,SUR,2025-04-04
DIAS,iДиасофт,Диасофт ао,RU000A107ER5,3285.0,1,0.01,SUR,2025-04-04
DIOD,ЗаводДИОД,Завод ДИОД ПАО ао,RU000A0JQWC1,11.2,100,0.01,SUR,2025-04-04
DVEC,ДЭК ао,"""ДЭК"" ПАО ао",RU000A0JP2W1,2.188,1000,1.0,SUR,2025-04-04
